,date,CO,NO_2,NOx,O_3,PM10,PM25,SO_2,city,year,population,month,quarter
47,2008-01-24,,62,108,14,65,,17,hong kong,2008,6964000,2008-01,2008Q1
48,2008-01-25,0.4767190221254998,61.9470692049478,118.51930742985576,21.02487175770295,30.55891932479797,15.918593771755695,15.085861499374808,madrid,2008,6327594,2008-01,2008Q1
49,2008-01-25,,52,84,11,56,,14,hong kong,2008,6964000,2008-01,2008Q1
50,2008-01-26,,50,125,7,42,,21,hong kong,2008,6964000,2008-01,2008Q1
51,2008-01-26,0.50220486021135,61.325160261912224,113.74394251291568,20.646816613764912,27.797435887731037,14.766753905730722,15.288733958433836,madrid,2008,6327594,2008-01,2008Q1
52,2008-01-27,0.6021354163660564,70.37179490236136,141.827500080451,17.745271201861108,30.656169913900204,15.812408323063277,18.46527246901622,madrid,2008,6327594,2008-01,2008Q1
53,2008-01-27,,48,140,3,27,,26,hong kong,2008,6964000,2008-01,2008Q1
54,2008-01-28,0.9539062506325232,105.24525613204027,267.71636231128986,11.0427504233472,51.46914927572921,24.836492258528764,26.379326953719822,madrid,2008,6327594,2008-01,2008Q1
55,2008-01-28,,70,224,5,57,,43,hong kong,2008,6964000,2008-01,2008Q1
56,2008-01-29,,59,232,3,47,,52,hong kong,2008,6964000,2008-01,2008Q1
57,2008-01-29,0.7133333313912671,89.07352563356741,203.89153879728073,10.365178293607029,46.48924681773553,21.586718833694857,21.24621795805601,madrid,2008,6327594,2008-01,2008Q1
58,2008-01-30,0.8054166654862153,99.86548064305232,241.63908624037717,9.212750422731927,60.757387833717544,28.85947910944621,23.96203526434226,madrid,2008,6327594,2008-01,2008Q1
59,2008-01-30,,48,144,5,19,,23,hong kong,2008,6964000,2008-01,2008Q1
60,2008-01-31,,56,145,4,20,,21,hong kong,2008,6964000,2008-01,2008Q1
61,2008-01-31,0.5633275240387131,73.81291004929129,151.72829571107576,21.246752119471886,27.33433871249999,12.108854172130426,17.000257232948133,madrid,2008,6327594,2008-01,2008Q1
62,2008-02-01,,48,107,8,34,,22,hong kong,2008,6964000,2008-02,2008Q1
63,2008-02-01,0.7899468057121791,96.5765850154403,235.15903537101994,7.303702438166397,51.96798026346416,24.616878375805243,21.840964087863373,madrid,2008,6327594,2008-02,2008Q1
64,2008-02-02,0.4485763886283773,57.230865257672775,100.47112185985614,22.162512744829083,24.618061399999075,15.00326199646302,13.189182672745142,madrid,2008,6327594,2008-02,2008Q1
65,2008-02-02,,57,144,3,19,,26,hong kong,2008,6964000,2008-02,2008Q1
66,2008-02-03,,77,116,18,56,,34,hong kong,2008,6964000,2008-02,2008Q1
67,2008-02-03,0.38673611093933385,47.92075322071711,76.56926273993956,22.539949009900184,16.53929032164235,10.897958107019594,10.737516026848402,madrid,2008,6327594,2008-02,2008Q1
68,2008-02-04,,66,117,18,70,,28,hong kong,2008,6964000,2008-02,2008Q1
69,2008-02-04,0.38512237721702436,46.65241925178036,72.51029022739779,33.35704774986762,16.022025880975892,8.817486922154252,10.781241913764708,madrid,2008,6327594,2008-02,2008Q1
70,2008-02-05,0.5947442679900866,71.47092682753151,150.29969093818974,12.407413803297898,37.242081314179956,19.877760402237374,14.443479699623294,madrid,2008,6327594,2008-02,2008Q1
71,2008-02-05,,57,122,17,67,,25,hong kong,2008,6964000,2008-02,2008Q1
72,2008-02-06,0.751684027898591,78.5269551735658,185.27160258782214,11.755653646077285,42.2057532117917,22.356439842603592,20.29254802679404,madrid,2008,6327594,2008-02,2008Q1
73,2008-02-06,,63,89,25,40,,15,hong kong,2008,6964000,2008-02,2008Q1
74,2008-02-07,0.6187326393297149,72.74536866713792,156.87078572083743,18.396237261820648,30.969006440100763,15.283385436361035,18.405849342926956,madrid,2008,6327594,2008-02,2008Q1
75,2008-02-07,,56,78,19,67,,15,hong kong,2008,6964000,2008-02,2008Q1
76,2008-02-08,,51,67,33,81,,19,hong kong,2008,6964000,2008-02,2008Q1
77,2008-02-08,0.7041319429279409,81.3849519261947,178.89096180903607,14.892299822688711,33.38455868570992,16.559635463170707,20.433124988507,madrid,2008,6327594,2008-02,2008Q1
78,2008-02-09,0.5416579397613049,68.29937200960906,122.19595832947563,22.073202695716585,27.497467709741287,14.517936527413665,16.444025768749956,madrid,2008,6327594,2008-02,2008Q1
79,2008-02-09,,59,73,44,78,,24,hong kong,2008,6964000,2008-02,2008Q1
80,2008-02-10,,62,81,36,92,,29,hong kong,2008,6964000,2008-02,2008Q1
81,2008-02-10,0.5108854150554786,65.41134626590289,111.81540080522879,27.121288120140463,24.22719550018127,13.650000015584132,15.243830122435705,madrid,2008,6327594,2008-02,2008Q1
82,2008-02-11,,69,101,21,89,,23,hong kong,2008,6964000,2008-02,2008Q1
83,2008-02-11,0.5888194446516637,79.07651695661713,155.33126595692758,18.890881331896377,34.292227586970114,15.956874954824647,17.190977563460667,madrid,2008,6327594,2008-02,2008Q1
84,2008-02-12,,62,80,44,60,,23,hong kong,2008,6964000,2008-02,2008Q1
85,2008-02-12,0.41578125012003714,57.60325331107164,92.79142618790651,33.87033950736041,25.80271266283614,14.036145820592841,13.518733953722776,madrid,2008,6327594,2008-02,2008Q1
86,2008-02-13,0.4112326381534028,57.54600329881304,88.63417343151895,33.131508520094016,22.956388455715455,12.376510389149189,13.905561065516457,madrid,2008,6327594,2008-02,2008Q1
87,2008-02-13,,73,89,42,83,,32,hong kong,2008,6964000,2008-02,2008Q1
88,2008-02-14,,78,104,41,103,,34,hong kong,2008,6964000,2008-02,2008Q1
89,2008-02-14,0.4438086950649386,61.29677881453282,96.9506570307108,29.403446592985066,34.848044847639706,15.034739582644155,15.472466908543316,madrid,2008,6327594,2008-02,2008Q1
90,2008-02-15,,73,89,55,78,,25,hong kong,2008,6964000,2008-02,2008Q1
91,2008-02-15,0.5125520826356175,66.91541672093818,119.16889429722244,20.505331047524418,34.06796478499205,17.392135420193274,15.329535258121979,madrid,2008,6327594,2008-02,2008Q1
92,2008-02-16,,76,92,60,77,,27,hong kong,2008,6964000,2008-02,2008Q1
93,2008-02-16,0.5452083305119433,59.76508018145194,119.80567312393433,22.91947281036247,42.13022438837932,21.240364597489435,15.670881404708593,madrid,2008,6327594,2008-02,2008Q1
94,2008-02-17,,50,56,69,56,,15,hong kong,2008,6964000,2008-02,2008Q1
95,2008-02-17,0.35121527822533,42.135368547951565,55.330689135843365,45.937086954230544,31.10144234314943,16.524218765397865,11.883733975581634,madrid,2008,6327594,2008-02,2008Q1
96,2008-02-18,,65,91,55,69,,23,hong kong,2008,6964000,2008-02,2008Q1
97,2008-02-18,0.43655052191159244,58.97966232856921,93.13651116723584,28.212942163960463,17.06961416824454,11.543789485881202,11.568987146451159,madrid,2008,6327594,2008-02,2008Q1
98,2008-02-19,,68,100,44,74,,22,hong kong,2008,6964000,2008-02,2008Q1
99,2008-02-19,0.43954545400151007,57.61120954867332,100.41864505121785,17.454427340091804,17.642790315228122,13.562648679436863,11.202693557162439,madrid,2008,6327594,2008-02,2008Q1
100,2008-02-20,,77,120,36,61,,23,hong kong,2008,6964000,2008-02,2008Q1
101,2008-02-20,0.5759050966042416,71.73735819759399,142.86288499523022,14.077791077633426,30.901426234546705,18.51382192392,13.112495969141708,madrid,2008,6327594,2008-02,2008Q1
102,2008-02-21,,66,81,61,54,,25,hong kong,2008,6964000,2008-02,2008Q1
103,2008-02-21,0.47159722096855855,60.15262824755449,111.4077082765408,19.077283550806484,26.875945488229775,14.150364616885781,13.372323721647263,madrid,2008,6327594,2008-02,2008Q1
104,2008-02-22,,83,184,38,69,,40,hong kong,2008,6964000,2008-02,2008Q1
105,2008-02-22,0.4651999992909639,59.74254014177721,104.30062682835619,24.577866869981786,24.621559471946053,13.876157894887422,13.024301741326028,madrid,2008,6327594,2008-02,2008Q1
106,2008-02-23,,59,114,35,36,,20,hong kong,2008,6964000,2008-02,2008Q1
107,2008-02-23,0.3573784716039275,50.291961514777306,69.54557863553428,34.12823425367449,15.203124988155487,9.0438541850696,12.610144196412502,madrid,2008,6327594,2008-02,2008Q1
108,2008-02-24,0.30782608698891556,41.33140234238715,55.78889812491772,40.49901527216965,14.941861963960944,10.013229169572393,9.795617979564025,madrid,2008,6327594,2008-02,2008Q1
109,2008-02-24,,38,43,72,68,,19,hong kong,2008,6964000,2008-02,2008Q1
110,2008-02-25,,46,57,39,,,17,hong kong,2008,6964000,2008-02,2008Q1
111,2008-02-25,0.5308362357058799,67.95983636437774,125.4216858345631,17.21368599873761,28.88808991591391,17.576387464063956,12.11285946923812,madrid,2008,6327594,2008-02,2008Q1
112,2008-02-26,,60,145,15,49,,32,hong kong,2008,6964000,2008-02,2008Q1
113,2008-02-26,0.7778014169332195,82.56421036155601,204.80088792662872,11.608324700686598,52.48446082289702,27.43062831718884,17.814156933897525,madrid,2008,6327594,2008-02,2008Q1
114,2008-02-27,,66,92,29,56,,23,hong kong,2008,6964000,2008-02,2008Q1
115,2008-02-27,0.6419791660931272,73.47503230956293,158.74453245439838,16.418362102015266,48.0109295799182,23.369947808484238,16.343225292100705,madrid,2008,6327594,2008-02,2008Q1
116,2008-02-28,,96,161,33,97,,63,hong kong,2008,6964000,2008-02,2008Q1
117,2008-02-28,0.494233449064325,67.51083595576394,122.263617477233,16.81196582093198,25.721618580130432,15.382447897767028,12.51445161056134,madrid,2008,6327594,2008-02,2008Q1
118,2008-02-29,0.5985590267389651,69.68588043915436,146.15295165738752,14.556803429432405,31.423109024572067,18.29468751108895,14.745996772284677,madrid,2008,6327594,2008-02,2008Q1
119,2008-03-01,,90,147,41,85,,36,hong kong,2008,6964000,2008-03,2008Q1
