Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-07-2017,CENTRAL/WESTERN,N.A.,6,14,21,26,10,6
02-07-2017,CENTRAL/WESTERN,N.A.,7,16,19,32,16,5
03-07-2017,CENTRAL/WESTERN,N.A.,8,28,45,28,18,6
04-07-2017,CENTRAL/WESTERN,N.A.,7,40,69,15,13,5
05-07-2017,CENTRAL/WESTERN,N.A.,6,30,43,18,12,5
06-07-2017,CENTRAL/WESTERN,N.A.,4,25,36,24,10,4
07-07-2017,CENTRAL/WESTERN,N.A.,5,24,34,27,11,6
08-07-2017,CENTRAL/WESTERN,N.A.,7,24,41,22,16,6
09-07-2017,CENTRAL/WESTERN,N.A.,7,11,14,33,13,6
10-07-2017,CENTRAL/WESTERN,N.A.,6,14,20,32,12,6
11-07-2017,CENTRAL/WESTERN,N.A.,6,15,21,31,10,6
12-07-2017,CENTRAL/WESTERN,N.A.,7,29,47,22,13,7
13-07-2017,CENTRAL/WESTERN,N.A.,5,22,34,21,11,6
14-07-2017,CENTRAL/WESTERN,N.A.,5,24,40,17,11,6
15-07-2017,CENTRAL/WESTERN,N.A.,5,25,36,19,11,5
16-07-2017,CENTRAL/WESTERN,N.A.,5,21,29,18,13,5
17-07-2017,CENTRAL/WESTERN,N.A.,4,25,46,16,9,6
18-07-2017,CENTRAL/WESTERN,N.A.,6,32,69,13,12,7
19-07-2017,CENTRAL/WESTERN,N.A.,6,30,52,16,12,7
20-07-2017,CENTRAL/WESTERN,N.A.,6,28,44,15,14,7
21-07-2017,CENTRAL/WESTERN,N.A.,7,28,39,21,15,6
22-07-2017,CENTRAL/WESTERN,N.A.,6,22,32,25,12,6
23-07-2017,CENTRAL/WESTERN,N.A.,8,31,41,23,14,7
24-07-2017,CENTRAL/WESTERN,N.A.,6,32,47,19,11,7
25-07-2017,CENTRAL/WESTERN,N.A.,6,30,42,27,12,7
26-07-2017,CENTRAL/WESTERN,N.A.,9,39,82,20,15,16
27-07-2017,CENTRAL/WESTERN,N.A.,N.A.,30,44,25,N.A.,7
28-07-2017,CENTRAL/WESTERN,N.A.,N.A.,35,41,53,N.A.,8
29-07-2017,CENTRAL/WESTERN,N.A.,39,62,72,103,N.A.,17
30-07-2017,CENTRAL/WESTERN,N.A.,64,59,71,109,N.A.,25
31-07-2017,CENTRAL/WESTERN,N.A.,23,19,22,65,N.A.,4
