Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-05-2014,CENTRAL/WESTERN,N.A.,25,32,35,76,37,1
02-05-2014,CENTRAL/WESTERN,N.A.,15,41,45,73,25,2
03-05-2014,CENTRAL/WESTERN,N.A.,23,35,38,97,39,3
04-05-2014,CENTRAL/WESTERN,N.A.,30,39,41,77,46,1
05-05-2014,CENTRAL/WESTERN,N.A.,14,55,70,42,24,4
06-05-2014,CENTRAL/WESTERN,N.A.,25,34,35,73,39,2
07-05-2014,CENTRAL/WESTERN,N.A.,21,53,59,57,31,0
08-05-2014,CENTRAL/WESTERN,N.A.,19,63,86,25,27,1
09-05-2014,CENTRAL/WESTERN,N.A.,8,59,74,33,13,0
10-05-2014,CENTRAL/WESTERN,N.A.,8,45,55,37,18,1
11-05-2014,CENTRAL/WESTERN,N.A.,9,51,65,19,21,2
12-05-2014,CENTRAL/WESTERN,N.A.,16,72,152,18,27,6
13-05-2014,CENTRAL/WESTERN,N.A.,11,29,51,16,19,1
14-05-2014,CENTRAL/WESTERN,N.A.,9,28,48,12,18,1
15-05-2014,CENTRAL/WESTERN,N.A.,11,19,26,25,21,0
16-05-2014,CENTRAL/WESTERN,N.A.,11,N.A.,N.A.,N.A.,21,N.A.
17-05-2014,CENTRAL/WESTERN,N.A.,7,18,27,20,14,3
18-05-2014,CENTRAL/WESTERN,N.A.,5,18,29,20,11,5
19-05-2014,CENTRAL/WESTERN,N.A.,6,24,38,21,13,8
20-05-2014,CENTRAL/WESTERN,N.A.,10,49,142,17,19,15
21-05-2014,CENTRAL/WESTERN,N.A.,12,41,99,20,21,16
22-05-2014,CENTRAL/WESTERN,N.A.,7,25,41,19,18,17
23-05-2014,CENTRAL/WESTERN,N.A.,10,42,90,14,21,8
24-05-2014,CENTRAL/WESTERN,N.A.,12,33,53,17,21,8
25-05-2014,CENTRAL/WESTERN,N.A.,7,17,33,24,12,10
26-05-2014,CENTRAL/WESTERN,N.A.,7,16,24,28,13,4
27-05-2014,CENTRAL/WESTERN,N.A.,12,28,43,38,19,13
28-05-2014,CENTRAL/WESTERN,N.A.,9,18,29,30,16,6
29-05-2014,CENTRAL/WESTERN,N.A.,9,15,21,32,17,4
30-05-2014,CENTRAL/WESTERN,N.A.,8,18,27,30,15,5
31-05-2014,CENTRAL/WESTERN,N.A.,10,25,40,25,17,10
