Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-08-2011,CENTRAL/WESTERN,N.A.,16,44,128,12,24,31
02-08-2011,CENTRAL/WESTERN,N.A.,11,26,61,25,18,14
03-08-2011,CENTRAL/WESTERN,N.A.,10,22,51,25,N.A.,14
04-08-2011,CENTRAL/WESTERN,N.A.,10,34,70,19,20,14
05-08-2011,CENTRAL/WESTERN,N.A.,10,32,58,31,21,13
06-08-2011,CENTRAL/WESTERN,N.A.,10,28,47,33,19,14
07-08-2011,CENTRAL/WESTERN,N.A.,12,21,38,34,23,11
08-08-2011,CENTRAL/WESTERN,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
09-08-2011,CENTRAL/WESTERN,N.A.,10,33,67,16,16,5
10-08-2011,CENTRAL/WESTERN,N.A.,N.A.,33,59,15,14,4
11-08-2011,CENTRAL/WESTERN,N.A.,N.A.,27,49,17,22,4
12-08-2011,CENTRAL/WESTERN,N.A.,N.A.,22,41,19,22,6
13-08-2011,CENTRAL/WESTERN,N.A.,10,22,41,19,19,8
14-08-2011,CENTRAL/WESTERN,N.A.,9,20,41,16,16,9
15-08-2011,CENTRAL/WESTERN,N.A.,10,26,58,15,18,11
16-08-2011,CENTRAL/WESTERN,N.A.,6,19,31,20,14,7
17-08-2011,CENTRAL/WESTERN,N.A.,7,22,44,15,12,9
18-08-2011,CENTRAL/WESTERN,N.A.,6,28,60,12,14,7
19-08-2011,CENTRAL/WESTERN,N.A.,10,31,55,17,20,8
20-08-2011,CENTRAL/WESTERN,N.A.,10,34,56,21,20,7
21-08-2011,CENTRAL/WESTERN,N.A.,13,38,84,12,22,15
22-08-2011,CENTRAL/WESTERN,N.A.,11,38,99,7,23,18
23-08-2011,CENTRAL/WESTERN,N.A.,7,20,43,13,14,8
24-08-2011,CENTRAL/WESTERN,N.A.,9,24,46,19,17,9
25-08-2011,CENTRAL/WESTERN,N.A.,43,107,177,26,60,29
26-08-2011,CENTRAL/WESTERN,N.A.,38,88,160,30,52,29
27-08-2011,CENTRAL/WESTERN,N.A.,53,106,159,64,71,26
28-08-2011,CENTRAL/WESTERN,N.A.,57,86,107,74,75,38
29-08-2011,CENTRAL/WESTERN,N.A.,50,83,121,57,76,35
30-08-2011,CENTRAL/WESTERN,N.A.,71,77,96,89,98,39
31-08-2011,CENTRAL/WESTERN,N.A.,67,85,103,74,94,35
