Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-01-2018,CENTRAL/WESTERN,N.A.,57,31,34,87,82,6
02-01-2018,CENTRAL/WESTERN,N.A.,47,39,42,84,79,5
03-01-2018,CENTRAL/WESTERN,N.A.,23,32,35,74,46,5
04-01-2018,CENTRAL/WESTERN,N.A.,19,32,37,51,33,3
05-01-2018,CENTRAL/WESTERN,N.A.,22,42,57,36,30,3
06-01-2018,CENTRAL/WESTERN,N.A.,9,30,35,33,13,2
07-01-2018,CENTRAL/WESTERN,N.A.,5,23,27,41,7,2
08-01-2018,CENTRAL/WESTERN,N.A.,12,38,92,14,16,5
09-01-2018,CENTRAL/WESTERN,N.A.,29,46,58,34,35,3
10-01-2018,CENTRAL/WESTERN,N.A.,17,41,48,49,28,3
11-01-2018,CENTRAL/WESTERN,N.A.,14,39,45,62,26,4
12-01-2018,CENTRAL/WESTERN,N.A.,13,42,50,61,25,3
13-01-2018,CENTRAL/WESTERN,N.A.,25,31,35,82,46,5
14-01-2018,CENTRAL/WESTERN,N.A.,16,31,35,73,30,3
15-01-2018,CENTRAL/WESTERN,N.A.,25,45,51,70,41,4
16-01-2018,CENTRAL/WESTERN,N.A.,29,77,136,36,44,10
17-01-2018,CENTRAL/WESTERN,N.A.,84,135,184,47,115,24
18-01-2018,CENTRAL/WESTERN,N.A.,43,50,64,80,60,6
19-01-2018,CENTRAL/WESTERN,N.A.,34,49,54,53,42,3
20-01-2018,CENTRAL/WESTERN,N.A.,31,42,47,63,41,5
21-01-2018,CENTRAL/WESTERN,N.A.,46,59,85,64,61,11
22-01-2018,CENTRAL/WESTERN,N.A.,95,115,180,34,119,22
23-01-2018,CENTRAL/WESTERN,N.A.,42,58,65,77,62,6
24-01-2018,CENTRAL/WESTERN,N.A.,31,33,36,75,49,4
25-01-2018,CENTRAL/WESTERN,N.A.,23,35,38,64,38,4
26-01-2018,CENTRAL/WESTERN,N.A.,27,40,43,53,49,4
27-01-2018,CENTRAL/WESTERN,N.A.,25,34,40,38,41,4
28-01-2018,CENTRAL/WESTERN,N.A.,27,48,74,23,46,5
29-01-2018,CENTRAL/WESTERN,N.A.,10,44,68,11,16,9
30-01-2018,CENTRAL/WESTERN,N.A.,26,39,65,9,32,17
31-01-2018,CENTRAL/WESTERN,N.A.,14,41,70,12,17,16
