Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-02-2012,CENTRAL/WESTERN,N.A.,37,67,97,36,50,10
02-02-2012,CENTRAL/WESTERN,N.A.,37,52,65,48,55,9
03-02-2012,CENTRAL/WESTERN,N.A.,27,44,93,20,42,11
04-02-2012,CENTRAL/WESTERN,N.A.,29,50,76,16,41,6
05-02-2012,CENTRAL/WESTERN,N.A.,30,54,72,30,42,8
06-02-2012,CENTRAL/WESTERN,N.A.,32,72,232,14,51,12
07-02-2012,CENTRAL/WESTERN,N.A.,26,53,100,14,42,11
08-02-2012,CENTRAL/WESTERN,N.A.,50,42,74,15,60,8
09-02-2012,CENTRAL/WESTERN,N.A.,49,45,64,23,71,10
10-02-2012,CENTRAL/WESTERN,N.A.,47,54,132,10,67,13
11-02-2012,CENTRAL/WESTERN,N.A.,33,50,129,5,49,15
12-02-2012,CENTRAL/WESTERN,N.A.,29,50,73,20,40,7
13-02-2012,CENTRAL/WESTERN,N.A.,45,76,212,21,64,16
14-02-2012,CENTRAL/WESTERN,N.A.,27,60,99,25,43,6
15-02-2012,CENTRAL/WESTERN,N.A.,26,58,94,17,35,4
16-02-2012,CENTRAL/WESTERN,N.A.,37,56,117,14,53,12
17-02-2012,CENTRAL/WESTERN,N.A.,33,54,91,15,50,11
18-02-2012,CENTRAL/WESTERN,N.A.,39,45,66,33,55,11
19-02-2012,CENTRAL/WESTERN,N.A.,64,40,51,59,88,15
20-02-2012,CENTRAL/WESTERN,N.A.,37,55,73,45,58,11
21-02-2012,CENTRAL/WESTERN,N.A.,25,55,75,41,36,6
22-02-2012,CENTRAL/WESTERN,N.A.,41,66,110,23,50,5
23-02-2012,CENTRAL/WESTERN,N.A.,34,74,256,3,45,N.A.
24-02-2012,CENTRAL/WESTERN,N.A.,15,51,112,9,23,6
25-02-2012,CENTRAL/WESTERN,N.A.,21,49,92,18,29,6
26-02-2012,CENTRAL/WESTERN,N.A.,15,36,74,5,25,9
27-02-2012,CENTRAL/WESTERN,N.A.,21,36,79,5,31,9
28-02-2012,CENTRAL/WESTERN,N.A.,20,53,150,5,30,11
