Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-09-2011,CENTRAL/WESTERN,N.A.,35,74,104,19,48,31
02-09-2011,CENTRAL/WESTERN,N.A.,47,64,91,34,61,27
03-09-2011,CENTRAL/WESTERN,N.A.,31,65,87,34,41,7
04-09-2011,CENTRAL/WESTERN,N.A.,36,64,102,24,47,14
05-09-2011,CENTRAL/WESTERN,N.A.,41,55,121,25,52,34
06-09-2011,CENTRAL/WESTERN,N.A.,34,37,65,33,47,9
07-09-2011,CENTRAL/WESTERN,N.A.,42,38,48,74,57,7
08-09-2011,CENTRAL/WESTERN,N.A.,34,35,45,50,47,6
09-09-2011,CENTRAL/WESTERN,N.A.,32,40,49,50,46,6
10-09-2011,CENTRAL/WESTERN,N.A.,33,36,43,53,48,7
11-09-2011,CENTRAL/WESTERN,N.A.,22,23,28,43,34,6
12-09-2011,CENTRAL/WESTERN,N.A.,20,30,40,35,32,6
13-09-2011,CENTRAL/WESTERN,N.A.,16,23,30,41,26,7
14-09-2011,CENTRAL/WESTERN,N.A.,14,31,44,35,28,7
15-09-2011,CENTRAL/WESTERN,N.A.,15,33,49,32,30,7
16-09-2011,CENTRAL/WESTERN,N.A.,15,32,49,26,24,6
17-09-2011,CENTRAL/WESTERN,N.A.,10,30,46,23,18,6
18-09-2011,CENTRAL/WESTERN,N.A.,19,32,39,40,29,7
19-09-2011,CENTRAL/WESTERN,N.A.,34,42,51,63,49,7
20-09-2011,CENTRAL/WESTERN,N.A.,40,58,82,26,57,11
21-09-2011,CENTRAL/WESTERN,N.A.,39,61,76,42,58,11
22-09-2011,CENTRAL/WESTERN,N.A.,42,53,65,50,64,13
23-09-2011,CENTRAL/WESTERN,N.A.,47,45,57,55,68,12
24-09-2011,CENTRAL/WESTERN,N.A.,50,41,49,64,69,12
25-09-2011,CENTRAL/WESTERN,N.A.,36,33,37,54,48,9
26-09-2011,CENTRAL/WESTERN,N.A.,28,36,44,56,45,10
27-09-2011,CENTRAL/WESTERN,N.A.,35,52,60,60,54,12
28-09-2011,CENTRAL/WESTERN,N.A.,27,46,59,43,46,13
29-09-2011,CENTRAL/WESTERN,N.A.,10,10,16,36,29,4
30-09-2011,CENTRAL/WESTERN,N.A.,12,20,44,17,29,5
