Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-10-2010,CENTRAL/WESTERN,N.A.,N.A.,30,34,67,28,3
02-10-2010,CENTRAL/WESTERN,N.A.,N.A.,38,48,55,34,4
03-10-2010,CENTRAL/WESTERN,N.A.,N.A.,44,53,43,50,7
04-10-2010,CENTRAL/WESTERN,N.A.,N.A.,59,77,41,62,9
05-10-2010,CENTRAL/WESTERN,N.A.,N.A.,55,63,55,76,10
06-10-2010,CENTRAL/WESTERN,N.A.,N.A.,53,57,96,72,9
07-10-2010,CENTRAL/WESTERN,N.A.,N.A.,58,64,87,67,8
08-10-2010,CENTRAL/WESTERN,N.A.,N.A.,57,63,86,79,9
09-10-2010,CENTRAL/WESTERN,N.A.,N.A.,43,48,63,42,5
10-10-2010,CENTRAL/WESTERN,N.A.,N.A.,42,45,61,42,3
11-10-2010,CENTRAL/WESTERN,N.A.,N.A.,50,61,43,50,3
12-10-2010,CENTRAL/WESTERN,N.A.,N.A.,42,60,33,34,5
13-10-2010,CENTRAL/WESTERN,N.A.,N.A.,50,70,36,35,4
14-10-2010,CENTRAL/WESTERN,N.A.,N.A.,54,65,48,51,5
15-10-2010,CENTRAL/WESTERN,N.A.,N.A.,54,83,30,38,7
16-10-2010,CENTRAL/WESTERN,N.A.,N.A.,38,42,61,37,5
17-10-2010,CENTRAL/WESTERN,N.A.,N.A.,34,37,88,61,6
18-10-2010,CENTRAL/WESTERN,N.A.,N.A.,60,71,73,73,7
19-10-2010,CENTRAL/WESTERN,N.A.,N.A.,53,63,56,69,10
20-10-2010,CENTRAL/WESTERN,N.A.,N.A.,51,60,57,78,10
21-10-2010,CENTRAL/WESTERN,N.A.,N.A.,40,50,46,56,6
22-10-2010,CENTRAL/WESTERN,N.A.,N.A.,48,59,40,60,12
23-10-2010,CENTRAL/WESTERN,N.A.,N.A.,73,87,56,77,29
24-10-2010,CENTRAL/WESTERN,N.A.,N.A.,60,73,51,47,20
25-10-2010,CENTRAL/WESTERN,N.A.,N.A.,47,58,42,36,8
26-10-2010,CENTRAL/WESTERN,N.A.,N.A.,42,64,16,28,7
27-10-2010,CENTRAL/WESTERN,N.A.,N.A.,44,54,47,51,9
28-10-2010,CENTRAL/WESTERN,N.A.,N.A.,50,58,58,54,10
29-10-2010,CENTRAL/WESTERN,N.A.,N.A.,53,61,77,69,15
30-10-2010,CENTRAL/WESTERN,N.A.,N.A.,61,67,83,93,22
31-10-2010,CENTRAL/WESTERN,N.A.,N.A.,65,71,81,79,17
