Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-12-2011,CENTRAL/WESTERN,N.A.,42,54,85,24,65,11
02-12-2011,CENTRAL/WESTERN,N.A.,24,58,93,23,42,13
03-12-2011,CENTRAL/WESTERN,N.A.,22,69,110,22,37,12
04-12-2011,CENTRAL/WESTERN,N.A.,31,52,64,53,53,11
05-12-2011,CENTRAL/WESTERN,N.A.,50,55,70,46,74,10
06-12-2011,CENTRAL/WESTERN,N.A.,42,60,94,22,58,7
07-12-2011,CENTRAL/WESTERN,N.A.,50,79,153,11,77,17
08-12-2011,CENTRAL/WESTERN,N.A.,34,61,95,19,60,11
09-12-2011,CENTRAL/WESTERN,N.A.,27,47,80,16,42,14
10-12-2011,CENTRAL/WESTERN,N.A.,36,47,69,35,60,16
11-12-2011,CENTRAL/WESTERN,N.A.,29,49,62,39,47,17
12-12-2011,CENTRAL/WESTERN,N.A.,47,82,123,21,73,25
13-12-2011,CENTRAL/WESTERN,N.A.,58,116,189,17,85,29
14-12-2011,CENTRAL/WESTERN,N.A.,74,117,176,15,106,27
15-12-2011,CENTRAL/WESTERN,N.A.,74,104,156,24,104,24
16-12-2011,CENTRAL/WESTERN,N.A.,75,74,92,38,105,27
17-12-2011,CENTRAL/WESTERN,N.A.,76,58,69,59,103,21
18-12-2011,CENTRAL/WESTERN,N.A.,63,61,71,61,88,17
19-12-2011,CENTRAL/WESTERN,N.A.,47,60,75,51,71,13
20-12-2011,CENTRAL/WESTERN,N.A.,51,76,101,30,75,15
21-12-2011,CENTRAL/WESTERN,N.A.,59,93,146,22,83,21
22-12-2011,CENTRAL/WESTERN,N.A.,76,81,99,51,106,21
23-12-2011,CENTRAL/WESTERN,N.A.,88,76,112,28,120,24
24-12-2011,CENTRAL/WESTERN,N.A.,63,53,65,53,94,32
25-12-2011,CENTRAL/WESTERN,N.A.,47,58,68,55,75,26
26-12-2011,CENTRAL/WESTERN,N.A.,45,56,66,55,75,19
27-12-2011,CENTRAL/WESTERN,N.A.,36,38,45,55,64,12
28-12-2011,CENTRAL/WESTERN,N.A.,54,97,156,27,85,17
29-12-2011,CENTRAL/WESTERN,N.A.,44,59,77,42,65,10
30-12-2011,CENTRAL/WESTERN,N.A.,67,60,81,31,89,11
31-12-2011,CENTRAL/WESTERN,N.A.,69,73,112,22,89,16
