Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-11-2011,CENTRAL/WESTERN,N.A.,28,44,52,78,48,10
02-11-2011,CENTRAL/WESTERN,N.A.,31,52,68,55,53,10
03-11-2011,CENTRAL/WESTERN,N.A.,28,38,51,51,46,9
04-11-2011,CENTRAL/WESTERN,N.A.,17,39,57,28,30,7
05-11-2011,CENTRAL/WESTERN,N.A.,26,50,71,28,42,8
06-11-2011,CENTRAL/WESTERN,N.A.,22,27,33,52,37,8
07-11-2011,CENTRAL/WESTERN,N.A.,17,25,36,32,28,6
08-11-2011,CENTRAL/WESTERN,N.A.,7,34,66,16,11,4
09-11-2011,CENTRAL/WESTERN,N.A.,5,25,54,11,9,4
10-11-2011,CENTRAL/WESTERN,N.A.,17,33,61,15,26,6
11-11-2011,CENTRAL/WESTERN,N.A.,38,72,139,8,58,13
12-11-2011,CENTRAL/WESTERN,N.A.,35,71,149,10,48,19
13-11-2011,CENTRAL/WESTERN,N.A.,41,63,87,36,54,15
14-11-2011,CENTRAL/WESTERN,N.A.,52,42,50,72,72,11
15-11-2011,CENTRAL/WESTERN,N.A.,64,44,51,103,91,12
16-11-2011,CENTRAL/WESTERN,N.A.,40,41,50,64,61,8
17-11-2011,CENTRAL/WESTERN,N.A.,24,35,57,23,34,5
18-11-2011,CENTRAL/WESTERN,N.A.,15,37,124,8,23,13
19-11-2011,CENTRAL/WESTERN,N.A.,30,42,89,13,39,13
20-11-2011,CENTRAL/WESTERN,N.A.,41,29,38,68,56,8
21-11-2011,CENTRAL/WESTERN,N.A.,35,33,40,68,60,9
22-11-2011,CENTRAL/WESTERN,N.A.,35,58,81,42,63,11
23-11-2011,CENTRAL/WESTERN,N.A.,40,53,67,44,62,13
24-11-2011,CENTRAL/WESTERN,N.A.,49,46,59,62,74,13
25-11-2011,CENTRAL/WESTERN,N.A.,47,49,57,69,80,12
26-11-2011,CENTRAL/WESTERN,N.A.,28,58,75,38,51,9
27-11-2011,CENTRAL/WESTERN,N.A.,25,59,74,37,42,8
28-11-2011,CENTRAL/WESTERN,N.A.,25,53,68,42,41,7
29-11-2011,CENTRAL/WESTERN,N.A.,18,48,64,39,33,6
30-11-2011,CENTRAL/WESTERN,N.A.,38,83,120,32,58,14
