Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-06-2010,CENTRAL/WESTERN,N.A.,N.A.,N.A.,N.A.,N.A.,40,N.A.
02-06-2010,CENTRAL/WESTERN,N.A.,N.A.,50,60,44,18,2
03-06-2010,CENTRAL/WESTERN,N.A.,N.A.,70,91,39,24,7
04-06-2010,CENTRAL/WESTERN,N.A.,N.A.,83,117,34,50,17
05-06-2010,CENTRAL/WESTERN,N.A.,N.A.,60,74,57,36,9
06-06-2010,CENTRAL/WESTERN,N.A.,N.A.,39,44,81,34,6
07-06-2010,CENTRAL/WESTERN,N.A.,N.A.,43,51,76,36,6
08-06-2010,CENTRAL/WESTERN,N.A.,N.A.,38,49,50,36,4
09-06-2010,CENTRAL/WESTERN,N.A.,N.A.,50,116,21,23,9
10-06-2010,CENTRAL/WESTERN,N.A.,N.A.,64,204,5,26,13
11-06-2010,CENTRAL/WESTERN,N.A.,N.A.,56,143,19,41,23
12-06-2010,CENTRAL/WESTERN,N.A.,N.A.,69,134,37,67,37
13-06-2010,CENTRAL/WESTERN,N.A.,N.A.,16,22,28,16,2
14-06-2010,CENTRAL/WESTERN,N.A.,N.A.,17,28,21,18,5
15-06-2010,CENTRAL/WESTERN,N.A.,N.A.,19,28,29,25,4
16-06-2010,CENTRAL/WESTERN,N.A.,N.A.,21,30,25,23,4
17-06-2010,CENTRAL/WESTERN,N.A.,N.A.,24,39,22,25,9
18-06-2010,CENTRAL/WESTERN,N.A.,N.A.,19,35,19,20,8
19-06-2010,CENTRAL/WESTERN,N.A.,N.A.,16,29,21,16,6
20-06-2010,CENTRAL/WESTERN,N.A.,N.A.,14,21,28,15,4
21-06-2010,CENTRAL/WESTERN,N.A.,N.A.,18,31,23,13,5
22-06-2010,CENTRAL/WESTERN,N.A.,N.A.,20,33,22,13,5
23-06-2010,CENTRAL/WESTERN,N.A.,N.A.,28,64,20,17,6
24-06-2010,CENTRAL/WESTERN,N.A.,N.A.,17,24,33,25,3
25-06-2010,CENTRAL/WESTERN,N.A.,N.A.,23,35,32,22,5
26-06-2010,CENTRAL/WESTERN,N.A.,N.A.,33,56,22,10,6
27-06-2010,CENTRAL/WESTERN,N.A.,N.A.,39,79,11,13,5
28-06-2010,CENTRAL/WESTERN,N.A.,N.A.,43,106,5,21,7
29-06-2010,CENTRAL/WESTERN,N.A.,N.A.,35,72,12,20,6
30-06-2010,CENTRAL/WESTERN,N.A.,N.A.,31,78,12,17,9
