Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-09-2010,CENTRAL/WESTERN,N.A.,N.A.,90,105,89,101,34
02-09-2010,CENTRAL/WESTERN,N.A.,N.A.,84,105,34,78,31
03-09-2010,CENTRAL/WESTERN,N.A.,N.A.,54,76,37,40,13
04-09-2010,CENTRAL/WESTERN,N.A.,N.A.,40,59,37,26,5
05-09-2010,CENTRAL/WESTERN,N.A.,N.A.,40,53,30,17,4
06-09-2010,CENTRAL/WESTERN,N.A.,N.A.,30,43,34,24,6
07-09-2010,CENTRAL/WESTERN,N.A.,N.A.,20,31,30,16,3
08-09-2010,CENTRAL/WESTERN,N.A.,N.A.,51,67,68,45,18
09-09-2010,CENTRAL/WESTERN,N.A.,N.A.,65,100,43,33,23
10-09-2010,CENTRAL/WESTERN,N.A.,N.A.,49,73,72,38,19
11-09-2010,CENTRAL/WESTERN,N.A.,N.A.,53,90,18,14,9
12-09-2010,CENTRAL/WESTERN,N.A.,N.A.,41,83,17,14,11
13-09-2010,CENTRAL/WESTERN,N.A.,N.A.,35,92,9,17,9
14-09-2010,CENTRAL/WESTERN,N.A.,N.A.,41,69,14,18,3
15-09-2010,CENTRAL/WESTERN,N.A.,N.A.,32,54,18,16,3
16-09-2010,CENTRAL/WESTERN,N.A.,N.A.,41,109,10,23,22
17-09-2010,CENTRAL/WESTERN,N.A.,N.A.,42,77,15,19,20
18-09-2010,CENTRAL/WESTERN,N.A.,N.A.,40,61,37,25,14
19-09-2010,CENTRAL/WESTERN,N.A.,N.A.,50,58,103,67,26
20-09-2010,CENTRAL/WESTERN,N.A.,N.A.,52,61,53,47,23
21-09-2010,CENTRAL/WESTERN,N.A.,N.A.,38,66,31,14,5
22-09-2010,CENTRAL/WESTERN,N.A.,N.A.,39,78,14,14,3
23-09-2010,CENTRAL/WESTERN,N.A.,N.A.,46,89,17,26,7
24-09-2010,CENTRAL/WESTERN,N.A.,N.A.,47,73,30,34,8
25-09-2010,CENTRAL/WESTERN,N.A.,N.A.,49,58,46,33,3
26-09-2010,CENTRAL/WESTERN,N.A.,N.A.,43,47,68,34,4
27-09-2010,CENTRAL/WESTERN,N.A.,N.A.,48,60,42,32,5
28-09-2010,CENTRAL/WESTERN,N.A.,N.A.,44,57,39,30,5
29-09-2010,CENTRAL/WESTERN,N.A.,N.A.,42,49,55,35,3
30-09-2010,CENTRAL/WESTERN,N.A.,N.A.,43,52,55,38,4
