Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-03-2018,CENTRAL/WESTERN,N.A.,45,86,245,28,58,30
02-03-2018,CENTRAL/WESTERN,N.A.,30,49,55,70,44,8
03-03-2018,CENTRAL/WESTERN,N.A.,42,55,69,34,61,9
04-03-2018,CENTRAL/WESTERN,N.A.,23,34,61,15,28,13
05-03-2018,CENTRAL/WESTERN,N.A.,20,47,191,8,27,34
06-03-2018,CENTRAL/WESTERN,N.A.,21,39,94,52,38,17
07-03-2018,CENTRAL/WESTERN,N.A.,17,41,46,61,30,6
08-03-2018,CENTRAL/WESTERN,N.A.,9,39,51,23,13,6
09-03-2018,CENTRAL/WESTERN,N.A.,16,42,50,60,26,12
10-03-2018,CENTRAL/WESTERN,N.A.,25,38,43,94,42,11
11-03-2018,CENTRAL/WESTERN,N.A.,19,34,37,91,34,11
12-03-2018,CENTRAL/WESTERN,N.A.,20,55,62,68,35,6
13-03-2018,CENTRAL/WESTERN,N.A.,24,58,65,59,39,3
14-03-2018,CENTRAL/WESTERN,N.A.,26,63,78,45,38,2
15-03-2018,CENTRAL/WESTERN,N.A.,37,85,234,22,58,14
16-03-2018,CENTRAL/WESTERN,N.A.,40,96,211,15,54,20
17-03-2018,CENTRAL/WESTERN,N.A.,27,36,39,74,40,1
18-03-2018,CENTRAL/WESTERN,N.A.,24,34,38,79,42,1
19-03-2018,CENTRAL/WESTERN,N.A.,26,45,64,53,44,3
20-03-2018,CENTRAL/WESTERN,N.A.,21,57,91,41,34,8
21-03-2018,CENTRAL/WESTERN,N.A.,17,50,57,75,30,2
22-03-2018,CENTRAL/WESTERN,N.A.,21,53,59,N.A.,35,3
23-03-2018,CENTRAL/WESTERN,N.A.,26,44,48,N.A.,52,1
24-03-2018,CENTRAL/WESTERN,N.A.,30,42,45,100,61,1
25-03-2018,CENTRAL/WESTERN,N.A.,29,36,38,106,58,3
26-03-2018,CENTRAL/WESTERN,N.A.,32,68,99,66,63,8
27-03-2018,CENTRAL/WESTERN,N.A.,42,77,96,56,66,11
28-03-2018,CENTRAL/WESTERN,N.A.,36,53,58,78,53,3
29-03-2018,CENTRAL/WESTERN,N.A.,31,48,54,73,46,2
30-03-2018,CENTRAL/WESTERN,N.A.,24,33,36,84,38,4
31-03-2018,CENTRAL/WESTERN,N.A.,14,25,29,81,29,2
