Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-04-2013,CENTRAL/WESTERN,N.A.,30,50,61,73,44,9
02-04-2013,CENTRAL/WESTERN,N.A.,38,77,130,32,48,11
03-04-2013,CENTRAL/WESTERN,N.A.,60,61,71,92,83,10
04-04-2013,CENTRAL/WESTERN,N.A.,41,56,70,50,54,8
05-04-2013,CENTRAL/WESTERN,N.A.,21,47,94,19,33,7
06-04-2013,CENTRAL/WESTERN,N.A.,30,56,81,37,41,13
07-04-2013,CENTRAL/WESTERN,N.A.,33,49,59,67,51,12
08-04-2013,CENTRAL/WESTERN,N.A.,47,62,74,75,77,14
09-04-2013,CENTRAL/WESTERN,N.A.,35,72,111,26,47,10
10-04-2013,CENTRAL/WESTERN,N.A.,37,62,99,15,46,8
11-04-2013,CENTRAL/WESTERN,N.A.,50,81,103,54,70,9
12-04-2013,CENTRAL/WESTERN,N.A.,36,69,88,31,47,6
13-04-2013,CENTRAL/WESTERN,N.A.,34,86,101,54,56,11
14-04-2013,CENTRAL/WESTERN,N.A.,101,148,197,59,132,54
15-04-2013,CENTRAL/WESTERN,N.A.,N.A.,126,213,118,N.A.,25
16-04-2013,CENTRAL/WESTERN,N.A.,62,108,207,46,73,15
17-04-2013,CENTRAL/WESTERN,N.A.,25,53,101,27,32,5
18-04-2013,CENTRAL/WESTERN,N.A.,21,44,103,12,27,5
19-04-2013,CENTRAL/WESTERN,N.A.,16,45,105,16,23,4
20-04-2013,CENTRAL/WESTERN,N.A.,26,72,96,36,35,3
21-04-2013,CENTRAL/WESTERN,N.A.,25,59,107,39,35,4
22-04-2013,CENTRAL/WESTERN,N.A.,37,58,65,69,50,2
23-04-2013,CENTRAL/WESTERN,N.A.,38,74,96,50,54,5
24-04-2013,CENTRAL/WESTERN,N.A.,28,87,245,14,43,18
25-04-2013,CENTRAL/WESTERN,N.A.,25,N.A.,N.A.,12,36,18
26-04-2013,CENTRAL/WESTERN,N.A.,20,67,91,59,31,11
27-04-2013,CENTRAL/WESTERN,N.A.,56,53,57,116,79,9
28-04-2013,CENTRAL/WESTERN,N.A.,44,33,37,83,62,4
29-04-2013,CENTRAL/WESTERN,N.A.,31,59,84,37,52,5
30-04-2013,CENTRAL/WESTERN,N.A.,14,53,72,29,21,3
