Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-07-2009,CENTRAL/WESTERN,N.A.,N.A.,10,21,19,15,12
02-07-2009,CENTRAL/WESTERN,N.A.,N.A.,15,28,20,19,9
03-07-2009,CENTRAL/WESTERN,N.A.,N.A.,19,33,22,21,16
04-07-2009,CENTRAL/WESTERN,N.A.,N.A.,22,34,28,23,6
05-07-2009,CENTRAL/WESTERN,N.A.,N.A.,45,78,14,17,8
06-07-2009,CENTRAL/WESTERN,N.A.,N.A.,35,61,23,18,7
07-07-2009,CENTRAL/WESTERN,N.A.,N.A.,34,84,17,23,40
08-07-2009,CENTRAL/WESTERN,N.A.,N.A.,29,60,16,18,28
09-07-2009,CENTRAL/WESTERN,N.A.,N.A.,26,44,25,15,12
10-07-2009,CENTRAL/WESTERN,N.A.,N.A.,68,91,85,62,27
11-07-2009,CENTRAL/WESTERN,N.A.,N.A.,27,42,25,19,4
12-07-2009,CENTRAL/WESTERN,N.A.,N.A.,17,29,23,15,4
13-07-2009,CENTRAL/WESTERN,N.A.,N.A.,46,122,10,24,41
14-07-2009,CENTRAL/WESTERN,N.A.,N.A.,30,70,18,18,23
15-07-2009,CENTRAL/WESTERN,N.A.,N.A.,30,48,21,16,4
16-07-2009,CENTRAL/WESTERN,N.A.,N.A.,22,40,22,14,4
17-07-2009,CENTRAL/WESTERN,N.A.,N.A.,28,58,12,16,12
18-07-2009,CENTRAL/WESTERN,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
19-07-2009,CENTRAL/WESTERN,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
20-07-2009,CENTRAL/WESTERN,N.A.,N.A.,21,37,30,N.A.,4
21-07-2009,CENTRAL/WESTERN,N.A.,N.A.,21,42,30,17,6
22-07-2009,CENTRAL/WESTERN,N.A.,N.A.,26,59,17,16,10
23-07-2009,CENTRAL/WESTERN,N.A.,N.A.,26,53,19,16,21
24-07-2009,CENTRAL/WESTERN,N.A.,N.A.,22,42,22,21,22
25-07-2009,CENTRAL/WESTERN,N.A.,N.A.,18,35,25,20,12
26-07-2009,CENTRAL/WESTERN,N.A.,N.A.,25,52,19,23,23
27-07-2009,CENTRAL/WESTERN,N.A.,N.A.,32,83,22,24,11
28-07-2009,CENTRAL/WESTERN,N.A.,N.A.,30,56,23,31,7
29-07-2009,CENTRAL/WESTERN,N.A.,N.A.,22,38,28,26,6
30-07-2009,CENTRAL/WESTERN,N.A.,N.A.,23,44,16,15,5
31-07-2009,CENTRAL/WESTERN,N.A.,N.A.,24,41,19,14,5
