Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-02-2014,CENTRAL/WESTERN,N.A.,36,65,97,36,50,7
02-02-2014,CENTRAL/WESTERN,N.A.,25,58,96,32,37,10
03-02-2014,CENTRAL/WESTERN,N.A.,33,88,195,27,47,26
04-02-2014,CENTRAL/WESTERN,N.A.,37,54,85,51,55,6
05-02-2014,CENTRAL/WESTERN,N.A.,16,33,41,49,25,1
06-02-2014,CENTRAL/WESTERN,N.A.,13,48,63,28,18,2
07-02-2014,CENTRAL/WESTERN,N.A.,26,74,187,12,36,12
08-02-2014,CENTRAL/WESTERN,N.A.,35,44,97,7,47,9
09-02-2014,CENTRAL/WESTERN,N.A.,12,34,54,21,22,2
10-02-2014,CENTRAL/WESTERN,N.A.,23,43,68,16,30,5
11-02-2014,CENTRAL/WESTERN,N.A.,37,52,80,17,47,7
12-02-2014,CENTRAL/WESTERN,N.A.,46,58,99,11,58,5
13-02-2014,CENTRAL/WESTERN,N.A.,22,55,95,9,28,7
14-02-2014,CENTRAL/WESTERN,N.A.,41,64,87,26,50,8
15-02-2014,CENTRAL/WESTERN,N.A.,38,54,67,28,50,6
16-02-2014,CENTRAL/WESTERN,N.A.,44,44,50,45,66,5
17-02-2014,CENTRAL/WESTERN,N.A.,44,79,128,18,63,3
18-02-2014,CENTRAL/WESTERN,N.A.,49,79,214,4,70,15
19-02-2014,CENTRAL/WESTERN,N.A.,11,49,66,19,18,4
20-02-2014,CENTRAL/WESTERN,N.A.,19,69,103,27,34,7
21-02-2014,CENTRAL/WESTERN,N.A.,33,38,42,80,56,7
22-02-2014,CENTRAL/WESTERN,N.A.,35,42,48,81,55,6
23-02-2014,CENTRAL/WESTERN,N.A.,30,35,38,79,46,6
24-02-2014,CENTRAL/WESTERN,N.A.,24,50,58,58,40,4
25-02-2014,CENTRAL/WESTERN,N.A.,31,60,72,47,48,3
26-02-2014,CENTRAL/WESTERN,N.A.,34,81,210,21,51,17
27-02-2014,CENTRAL/WESTERN,N.A.,30,53,64,37,44,3
28-02-2014,CENTRAL/WESTERN,N.A.,30,54,63,48,51,2
