Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-10-2015,CENTRAL/WESTERN,N.A.,33,69,91,45,42,12
02-10-2015,CENTRAL/WESTERN,N.A.,24,39,46,55,35,7
03-10-2015,CENTRAL/WESTERN,N.A.,20,24,27,53,31,7
04-10-2015,CENTRAL/WESTERN,N.A.,9,16,18,38,20,8
05-10-2015,CENTRAL/WESTERN,N.A.,N.A.,24,35,17,N.A.,8
06-10-2015,CENTRAL/WESTERN,N.A.,12,32,39,28,20,8
07-10-2015,CENTRAL/WESTERN,N.A.,10,30,57,19,17,10
08-10-2015,CENTRAL/WESTERN,N.A.,25,62,78,54,38,19
09-10-2015,CENTRAL/WESTERN,N.A.,18,54,61,54,28,10
10-10-2015,CENTRAL/WESTERN,N.A.,18,42,50,38,27,9
11-10-2015,CENTRAL/WESTERN,N.A.,13,29,30,58,21,7
12-10-2015,CENTRAL/WESTERN,N.A.,19,47,52,61,32,13
13-10-2015,CENTRAL/WESTERN,N.A.,37,34,35,137,60,14
14-10-2015,CENTRAL/WESTERN,N.A.,49,39,40,153,76,16
15-10-2015,CENTRAL/WESTERN,N.A.,45,47,49,129,68,14
16-10-2015,CENTRAL/WESTERN,N.A.,55,65,69,119,77,21
17-10-2015,CENTRAL/WESTERN,N.A.,39,51,55,115,58,14
18-10-2015,CENTRAL/WESTERN,N.A.,39,55,58,113,61,18
19-10-2015,CENTRAL/WESTERN,N.A.,46,64,68,93,67,17
20-10-2015,CENTRAL/WESTERN,N.A.,39,66,73,80,57,17
21-10-2015,CENTRAL/WESTERN,N.A.,27,53,60,60,38,17
22-10-2015,CENTRAL/WESTERN,N.A.,22,47,59,72,33,17
23-10-2015,CENTRAL/WESTERN,N.A.,31,58,63,83,51,19
24-10-2015,CENTRAL/WESTERN,N.A.,27,35,37,86,40,11
25-10-2015,CENTRAL/WESTERN,N.A.,21,22,23,73,34,11
26-10-2015,CENTRAL/WESTERN,N.A.,24,34,37,66,38,11
27-10-2015,CENTRAL/WESTERN,N.A.,26,65,93,39,41,18
28-10-2015,CENTRAL/WESTERN,N.A.,32,54,79,43,45,N.A.
29-10-2015,CENTRAL/WESTERN,N.A.,28,35,37,78,43,1
30-10-2015,CENTRAL/WESTERN,N.A.,N.A.,37,41,64,N.A.,2
31-10-2015,CENTRAL/WESTERN,N.A.,21,30,33,78,35,2
