Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-05-2018,CENTRAL/WESTERN,N.A.,15,36,72,15,23,14
02-05-2018,CENTRAL/WESTERN,N.A.,14,21,34,30,20,10
03-05-2018,CENTRAL/WESTERN,N.A.,27,46,76,61,40,7
04-05-2018,CENTRAL/WESTERN,N.A.,21,30,33,100,36,2
05-05-2018,CENTRAL/WESTERN,N.A.,20,33,38,72,47,4
06-05-2018,CENTRAL/WESTERN,N.A.,9,21,29,34,18,5
07-05-2018,CENTRAL/WESTERN,N.A.,8,17,25,23,14,8
08-05-2018,CENTRAL/WESTERN,N.A.,12,62,102,22,18,9
09-05-2018,CENTRAL/WESTERN,N.A.,17,32,35,72,30,4
10-05-2018,CENTRAL/WESTERN,N.A.,20,28,31,87,42,2
11-05-2018,CENTRAL/WESTERN,N.A.,23,35,39,73,51,3
12-05-2018,CENTRAL/WESTERN,N.A.,18,45,63,31,36,6
13-05-2018,CENTRAL/WESTERN,N.A.,12,24,36,37,20,6
14-05-2018,CENTRAL/WESTERN,N.A.,10,13,19,39,17,4
15-05-2018,CENTRAL/WESTERN,N.A.,10,15,20,35,15,4
16-05-2018,CENTRAL/WESTERN,N.A.,10,17,24,34,15,5
17-05-2018,CENTRAL/WESTERN,N.A.,9,19,31,26,13,5
18-05-2018,CENTRAL/WESTERN,N.A.,11,20,33,28,15,6
19-05-2018,CENTRAL/WESTERN,N.A.,10,19,27,31,14,5
20-05-2018,CENTRAL/WESTERN,N.A.,9,20,31,29,12,6
21-05-2018,CENTRAL/WESTERN,N.A.,11,26,36,30,14,8
22-05-2018,CENTRAL/WESTERN,N.A.,10,18,25,40,12,8
23-05-2018,CENTRAL/WESTERN,N.A.,13,35,45,53,19,11
24-05-2018,CENTRAL/WESTERN,N.A.,11,18,27,55,16,7
25-05-2018,CENTRAL/WESTERN,N.A.,8,17,25,35,11,6
26-05-2018,CENTRAL/WESTERN,N.A.,9,14,19,32,13,5
27-05-2018,CENTRAL/WESTERN,N.A.,11,27,34,29,15,6
28-05-2018,CENTRAL/WESTERN,N.A.,26,53,69,79,38,15
29-05-2018,CENTRAL/WESTERN,N.A.,12,26,37,64,18,7
30-05-2018,CENTRAL/WESTERN,N.A.,11,20,30,35,14,7
31-05-2018,CENTRAL/WESTERN,N.A.,9,19,26,35,12,6
