Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-02-2018,CENTRAL/WESTERN,N.A.,33,52,69,38,42,17
02-02-2018,CENTRAL/WESTERN,N.A.,33,45,57,36,44,16
03-02-2018,CENTRAL/WESTERN,N.A.,37,51,60,44,54,18
04-02-2018,CENTRAL/WESTERN,N.A.,48,47,52,57,73,19
05-02-2018,CENTRAL/WESTERN,N.A.,43,53,65,43,65,18
06-02-2018,CENTRAL/WESTERN,N.A.,32,49,57,69,46,17
07-02-2018,CENTRAL/WESTERN,N.A.,35,62,71,59,55,18
08-02-2018,CENTRAL/WESTERN,N.A.,30,49,62,55,44,17
09-02-2018,CENTRAL/WESTERN,N.A.,26,56,90,58,43,12
10-02-2018,CENTRAL/WESTERN,N.A.,52,100,187,21,71,20
11-02-2018,CENTRAL/WESTERN,N.A.,56,49,56,62,72,13
12-02-2018,CENTRAL/WESTERN,N.A.,41,60,82,51,54,10
13-02-2018,CENTRAL/WESTERN,N.A.,33,44,49,77,68,7
14-02-2018,CENTRAL/WESTERN,N.A.,24,56,62,63,54,6
15-02-2018,CENTRAL/WESTERN,N.A.,28,81,160,31,59,12
16-02-2018,CENTRAL/WESTERN,N.A.,41,74,211,36,59,21
17-02-2018,CENTRAL/WESTERN,N.A.,37,40,107,57,51,12
18-02-2018,CENTRAL/WESTERN,N.A.,23,25,28,69,35,7
19-02-2018,CENTRAL/WESTERN,N.A.,22,56,90,35,33,10
20-02-2018,CENTRAL/WESTERN,N.A.,26,61,163,19,36,11
21-02-2018,CENTRAL/WESTERN,N.A.,20,30,34,60,33,3
22-02-2018,CENTRAL/WESTERN,N.A.,12,35,54,32,20,6
23-02-2018,CENTRAL/WESTERN,N.A.,11,37,50,33,16,7
24-02-2018,CENTRAL/WESTERN,N.A.,21,46,53,63,33,7
25-02-2018,CENTRAL/WESTERN,N.A.,34,56,84,40,49,10
26-02-2018,CENTRAL/WESTERN,N.A.,16,36,44,38,25,6
27-02-2018,CENTRAL/WESTERN,N.A.,21,55,72,48,34,8
28-02-2018,CENTRAL/WESTERN,N.A.,29,83,251,N.A.,52,16
