Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-06-2011,CENTRAL/WESTERN,N.A.,N.A.,75,103,45,54,18
02-06-2011,CENTRAL/WESTERN,N.A.,N.A.,60,81,40,63,8
03-06-2011,CENTRAL/WESTERN,N.A.,N.A.,27,36,54,45,6
04-06-2011,CENTRAL/WESTERN,N.A.,N.A.,12,32,29,29,3
05-06-2011,CENTRAL/WESTERN,N.A.,N.A.,6,17,25,12,3
06-06-2011,CENTRAL/WESTERN,N.A.,N.A.,6,17,23,10,5
07-06-2011,CENTRAL/WESTERN,N.A.,N.A.,N.A.,N.A.,19,10,5
08-06-2011,CENTRAL/WESTERN,N.A.,N.A.,5,23,15,12,4
09-06-2011,CENTRAL/WESTERN,N.A.,N.A.,12,33,19,13,5
10-06-2011,CENTRAL/WESTERN,N.A.,N.A.,19,63,15,15,14
11-06-2011,CENTRAL/WESTERN,N.A.,N.A.,20,56,19,19,8
12-06-2011,CENTRAL/WESTERN,N.A.,N.A.,28,82,18,16,12
13-06-2011,CENTRAL/WESTERN,N.A.,N.A.,15,49,22,17,7
14-06-2011,CENTRAL/WESTERN,N.A.,N.A.,13,41,19,14,6
15-06-2011,CENTRAL/WESTERN,N.A.,N.A.,12,32,25,15,4
16-06-2011,CENTRAL/WESTERN,N.A.,N.A.,28,103,10,14,5
17-06-2011,CENTRAL/WESTERN,N.A.,N.A.,23,66,15,15,3
18-06-2011,CENTRAL/WESTERN,N.A.,N.A.,12,32,24,14,4
19-06-2011,CENTRAL/WESTERN,N.A.,N.A.,15,34,22,13,5
20-06-2011,CENTRAL/WESTERN,N.A.,N.A.,19,46,22,14,5
21-06-2011,CENTRAL/WESTERN,N.A.,N.A.,22,38,26,17,6
22-06-2011,CENTRAL/WESTERN,N.A.,N.A.,27,48,28,16,6
23-06-2011,CENTRAL/WESTERN,N.A.,N.A.,24,49,27,22,6
24-06-2011,CENTRAL/WESTERN,N.A.,N.A.,21,51,21,17,7
25-06-2011,CENTRAL/WESTERN,N.A.,N.A.,25,48,34,22,10
26-06-2011,CENTRAL/WESTERN,N.A.,N.A.,25,43,38,24,13
27-06-2011,CENTRAL/WESTERN,N.A.,N.A.,26,58,32,44,14
28-06-2011,CENTRAL/WESTERN,N.A.,N.A.,37,115,19,37,10
29-06-2011,CENTRAL/WESTERN,N.A.,N.A.,27,60,24,27,7
30-06-2011,CENTRAL/WESTERN,N.A.,N.A.,27,56,21,23,7
