Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-06-2012,CENTRAL/WESTERN,N.A.,13,39,46,73,30,3
02-06-2012,CENTRAL/WESTERN,N.A.,21,51,60,57,39,5
03-06-2012,CENTRAL/WESTERN,N.A.,21,42,48,66,37,3
04-06-2012,CENTRAL/WESTERN,N.A.,18,52,69,52,37,5
05-06-2012,CENTRAL/WESTERN,N.A.,25,65,100,24,40,10
06-06-2012,CENTRAL/WESTERN,N.A.,23,40,55,48,37,4
07-06-2012,CENTRAL/WESTERN,N.A.,21,43,58,40,34,4
08-06-2012,CENTRAL/WESTERN,N.A.,10,32,54,21,18,4
09-06-2012,CENTRAL/WESTERN,N.A.,10,36,63,26,20,11
10-06-2012,CENTRAL/WESTERN,N.A.,10,18,24,37,25,4
11-06-2012,CENTRAL/WESTERN,N.A.,12,25,40,35,32,3
12-06-2012,CENTRAL/WESTERN,N.A.,26,60,96,37,41,17
13-06-2012,CENTRAL/WESTERN,N.A.,20,67,105,20,29,11
14-06-2012,CENTRAL/WESTERN,N.A.,46,51,61,75,60,4
15-06-2012,CENTRAL/WESTERN,N.A.,28,48,57,62,41,4
16-06-2012,CENTRAL/WESTERN,N.A.,12,50,76,28,20,2
17-06-2012,CENTRAL/WESTERN,N.A.,8,42,62,20,20,2
18-06-2012,CENTRAL/WESTERN,N.A.,11,49,76,26,23,2
19-06-2012,CENTRAL/WESTERN,N.A.,9,45,65,33,22,4
20-06-2012,CENTRAL/WESTERN,N.A.,35,59,94,55,53,23
21-06-2012,CENTRAL/WESTERN,N.A.,18,39,64,33,31,3
22-06-2012,CENTRAL/WESTERN,N.A.,12,36,60,23,27,6
23-06-2012,CENTRAL/WESTERN,N.A.,13,23,33,37,30,3
24-06-2012,CENTRAL/WESTERN,N.A.,14,19,26,38,34,3
25-06-2012,CENTRAL/WESTERN,N.A.,14,28,49,33,34,4
26-06-2012,CENTRAL/WESTERN,N.A.,17,33,49,33,38,3
27-06-2012,CENTRAL/WESTERN,N.A.,18,32,46,32,36,4
28-06-2012,CENTRAL/WESTERN,N.A.,18,45,79,24,32,8
29-06-2012,CENTRAL/WESTERN,N.A.,27,59,89,32,47,18
30-06-2012,CENTRAL/WESTERN,N.A.,10,35,68,25,18,2
