Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-10-2013,CENTRAL/WESTERN,N.A.,38,41,48,96,55,8
02-10-2013,CENTRAL/WESTERN,N.A.,48,77,90,83,69,18
03-10-2013,CENTRAL/WESTERN,N.A.,53,67,78,98,81,15
04-10-2013,CENTRAL/WESTERN,N.A.,78,82,96,97,110,21
05-10-2013,CENTRAL/WESTERN,N.A.,52,71,82,106,76,20
06-10-2013,CENTRAL/WESTERN,N.A.,45,73,83,101,68,22
07-10-2013,CENTRAL/WESTERN,N.A.,41,64,78,72,63,16
08-10-2013,CENTRAL/WESTERN,N.A.,74,74,91,62,93,13
09-10-2013,CENTRAL/WESTERN,N.A.,34,54,67,52,46,7
10-10-2013,CENTRAL/WESTERN,N.A.,26,54,67,49,38,6
11-10-2013,CENTRAL/WESTERN,N.A.,41,80,107,51,58,16
12-10-2013,CENTRAL/WESTERN,N.A.,41,56,66,103,74,9
13-10-2013,CENTRAL/WESTERN,N.A.,27,37,44,91,60,8
14-10-2013,CENTRAL/WESTERN,N.A.,24,37,44,78,48,7
15-10-2013,CENTRAL/WESTERN,N.A.,35,48,58,89,61,10
16-10-2013,CENTRAL/WESTERN,N.A.,51,46,53,101,76,8
17-10-2013,CENTRAL/WESTERN,N.A.,47,45,53,95,74,9
18-10-2013,CENTRAL/WESTERN,N.A.,32,53,60,92,56,8
19-10-2013,CENTRAL/WESTERN,N.A.,54,83,94,72,81,13
20-10-2013,CENTRAL/WESTERN,N.A.,60,57,60,106,81,13
21-10-2013,CENTRAL/WESTERN,N.A.,72,71,77,86,95,13
22-10-2013,CENTRAL/WESTERN,N.A.,68,84,95,67,90,19
23-10-2013,CENTRAL/WESTERN,N.A.,82,85,91,118,111,21
24-10-2013,CENTRAL/WESTERN,N.A.,59,78,83,115,88,19
25-10-2013,CENTRAL/WESTERN,N.A.,60,62,65,108,92,20
26-10-2013,CENTRAL/WESTERN,N.A.,66,65,71,117,93,17
27-10-2013,CENTRAL/WESTERN,N.A.,54,50,53,128,81,10
28-10-2013,CENTRAL/WESTERN,N.A.,43,52,57,104,67,6
29-10-2013,CENTRAL/WESTERN,N.A.,30,52,57,82,50,6
30-10-2013,CENTRAL/WESTERN,N.A.,24,48,55,72,40,4
31-10-2013,CENTRAL/WESTERN,N.A.,27,57,64,73,46,7
