Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-04-2015,CENTRAL/WESTERN,N.A.,17,32,49,23,25,8
02-04-2015,CENTRAL/WESTERN,N.A.,16,22,28,31,23,7
03-04-2015,CENTRAL/WESTERN,N.A.,15,21,25,32,22,8
04-04-2015,CENTRAL/WESTERN,N.A.,14,14,18,38,19,8
05-04-2015,CENTRAL/WESTERN,N.A.,21,33,43,37,27,9
06-04-2015,CENTRAL/WESTERN,N.A.,17,46,106,11,28,14
07-04-2015,CENTRAL/WESTERN,N.A.,20,30,33,51,31,11
08-04-2015,CENTRAL/WESTERN,N.A.,17,44,68,17,28,12
09-04-2015,CENTRAL/WESTERN,N.A.,26,50,67,16,37,9
10-04-2015,CENTRAL/WESTERN,N.A.,19,61,129,5,28,12
11-04-2015,CENTRAL/WESTERN,N.A.,10,54,85,10,14,13
12-04-2015,CENTRAL/WESTERN,N.A.,29,75,101,37,38,20
13-04-2015,CENTRAL/WESTERN,N.A.,49,88,107,94,72,24
14-04-2015,CENTRAL/WESTERN,N.A.,24,67,73,84,53,21
15-04-2015,CENTRAL/WESTERN,N.A.,22,66,85,107,45,23
16-04-2015,CENTRAL/WESTERN,N.A.,25,84,110,73,42,24
17-04-2015,CENTRAL/WESTERN,N.A.,20,58,68,56,32,15
18-04-2015,CENTRAL/WESTERN,N.A.,18,28,34,28,29,12
19-04-2015,CENTRAL/WESTERN,N.A.,17,22,26,32,27,14
20-04-2015,CENTRAL/WESTERN,N.A.,21,36,51,29,36,8
21-04-2015,CENTRAL/WESTERN,N.A.,20,71,88,36,32,15
22-04-2015,CENTRAL/WESTERN,N.A.,29,39,44,72,44,10
23-04-2015,CENTRAL/WESTERN,N.A.,30,48,51,91,48,10
24-04-2015,CENTRAL/WESTERN,N.A.,45,76,89,84,71,16
25-04-2015,CENTRAL/WESTERN,N.A.,33,45,47,98,53,13
26-04-2015,CENTRAL/WESTERN,N.A.,27,35,37,102,49,12
27-04-2015,CENTRAL/WESTERN,N.A.,29,63,83,63,48,13
28-04-2015,CENTRAL/WESTERN,N.A.,21,45,64,24,34,14
29-04-2015,CENTRAL/WESTERN,N.A.,20,37,58,27,31,19
30-04-2015,CENTRAL/WESTERN,N.A.,20,40,71,25,30,22
