Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-04-2010,CENTRAL/WESTERN,N.A.,N.A.,69,183,17,61,15
02-04-2010,CENTRAL/WESTERN,N.A.,N.A.,69,262,20,50,35
03-04-2010,CENTRAL/WESTERN,N.A.,N.A.,41,49,56,38,2
04-04-2010,CENTRAL/WESTERN,N.A.,N.A.,56,72,34,59,3
05-04-2010,CENTRAL/WESTERN,N.A.,N.A.,65,93,25,54,2
06-04-2010,CENTRAL/WESTERN,N.A.,N.A.,58,119,15,53,5
07-04-2010,CENTRAL/WESTERN,N.A.,N.A.,53,73,47,38,2
08-04-2010,CENTRAL/WESTERN,N.A.,N.A.,71,153,41,42,9
09-04-2010,CENTRAL/WESTERN,N.A.,N.A.,74,134,19,36,7
10-04-2010,CENTRAL/WESTERN,N.A.,N.A.,74,109,31,35,2
11-04-2010,CENTRAL/WESTERN,N.A.,N.A.,42,61,21,32,2
12-04-2010,CENTRAL/WESTERN,N.A.,N.A.,36,68,23,33,8
13-04-2010,CENTRAL/WESTERN,N.A.,N.A.,40,72,27,31,2
14-04-2010,CENTRAL/WESTERN,N.A.,N.A.,56,79,44,50,2
15-04-2010,CENTRAL/WESTERN,N.A.,N.A.,51,108,23,25,5
16-04-2010,CENTRAL/WESTERN,N.A.,N.A.,58,111,14,25,11
17-04-2010,CENTRAL/WESTERN,N.A.,N.A.,63,89,42,40,5
18-04-2010,CENTRAL/WESTERN,N.A.,N.A.,50,61,48,39,3
19-04-2010,CENTRAL/WESTERN,N.A.,N.A.,71,107,34,63,5
20-04-2010,CENTRAL/WESTERN,N.A.,N.A.,49,97,18,38,3
21-04-2010,CENTRAL/WESTERN,N.A.,N.A.,32,50,24,26,2
22-04-2010,CENTRAL/WESTERN,N.A.,N.A.,44,90,27,32,11
23-04-2010,CENTRAL/WESTERN,N.A.,N.A.,54,71,49,30,5
24-04-2010,CENTRAL/WESTERN,N.A.,N.A.,55,66,84,69,10
25-04-2010,CENTRAL/WESTERN,N.A.,N.A.,41,46,108,57,6
26-04-2010,CENTRAL/WESTERN,N.A.,N.A.,77,127,47,69,16
27-04-2010,CENTRAL/WESTERN,N.A.,N.A.,81,117,26,43,16
28-04-2010,CENTRAL/WESTERN,N.A.,N.A.,101,176,35,58,21
29-04-2010,CENTRAL/WESTERN,N.A.,N.A.,100,233,48,77,32
30-04-2010,CENTRAL/WESTERN,N.A.,N.A.,64,81,64,53,5
