Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-07-2011,CENTRAL/WESTERN,N.A.,N.A.,14,29,27,24,8
02-07-2011,CENTRAL/WESTERN,N.A.,N.A.,19,41,25,23,9
03-07-2011,CENTRAL/WESTERN,N.A.,N.A.,18,36,30,19,12
04-07-2011,CENTRAL/WESTERN,N.A.,N.A.,20,47,28,19,11
05-07-2011,CENTRAL/WESTERN,N.A.,N.A.,20,46,24,14,10
06-07-2011,CENTRAL/WESTERN,N.A.,N.A.,20,51,N.A.,14,11
07-07-2011,CENTRAL/WESTERN,N.A.,N.A.,18,44,26,14,10
08-07-2011,CENTRAL/WESTERN,N.A.,N.A.,21,44,30,16,9
09-07-2011,CENTRAL/WESTERN,N.A.,N.A.,30,56,32,22,10
10-07-2011,CENTRAL/WESTERN,N.A.,N.A.,46,71,68,48,25
11-07-2011,CENTRAL/WESTERN,N.A.,N.A.,71,100,45,62,25
12-07-2011,CENTRAL/WESTERN,N.A.,N.A.,78,117,29,36,14
13-07-2011,CENTRAL/WESTERN,N.A.,N.A.,39,63,27,13,7
14-07-2011,CENTRAL/WESTERN,N.A.,N.A.,48,87,18,14,10
15-07-2011,CENTRAL/WESTERN,N.A.,N.A.,44,108,25,15,10
16-07-2011,CENTRAL/WESTERN,N.A.,N.A.,21,40,37,13,8
17-07-2011,CENTRAL/WESTERN,N.A.,N.A.,18,37,37,17,9
18-07-2011,CENTRAL/WESTERN,N.A.,N.A.,47,84,30,38,16
19-07-2011,CENTRAL/WESTERN,N.A.,N.A.,47,102,16,28,20
20-07-2011,CENTRAL/WESTERN,N.A.,N.A.,27,59,22,17,10
21-07-2011,CENTRAL/WESTERN,N.A.,N.A.,24,48,31,16,9
22-07-2011,CENTRAL/WESTERN,N.A.,N.A.,20,42,28,28,8
23-07-2011,CENTRAL/WESTERN,N.A.,N.A.,25,58,21,25,13
24-07-2011,CENTRAL/WESTERN,N.A.,N.A.,27,47,37,26,13
25-07-2011,CENTRAL/WESTERN,N.A.,N.A.,57,97,31,37,20
26-07-2011,CENTRAL/WESTERN,N.A.,N.A.,23,57,22,21,12
27-07-2011,CENTRAL/WESTERN,N.A.,N.A.,22,60,13,18,9
28-07-2011,CENTRAL/WESTERN,N.A.,N.A.,38,70,40,34,16
29-07-2011,CENTRAL/WESTERN,N.A.,N.A.,23,49,19,22,8
30-07-2011,CENTRAL/WESTERN,N.A.,N.A.,29,59,14,17,11
31-07-2011,CENTRAL/WESTERN,N.A.,N.A.,32,56,19,16,12
