Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-08-2017,CENTRAL/WESTERN,N.A.,12,12,14,58,23,4
02-08-2017,CENTRAL/WESTERN,N.A.,12,25,34,44,23,6
03-08-2017,CENTRAL/WESTERN,N.A.,N.A.,45,78,20,N.A.,11
04-08-2017,CENTRAL/WESTERN,N.A.,9,46,78,17,15,12
05-08-2017,CENTRAL/WESTERN,N.A.,N.A.,32,57,28,N.A.,12
06-08-2017,CENTRAL/WESTERN,N.A.,10,15,18,44,17,9
07-08-2017,CENTRAL/WESTERN,N.A.,6,15,19,39,11,7
08-08-2017,CENTRAL/WESTERN,N.A.,5,12,16,35,13,6
09-08-2017,CENTRAL/WESTERN,N.A.,8,16,21,37,17,7
10-08-2017,CENTRAL/WESTERN,N.A.,11,18,24,41,22,7
11-08-2017,CENTRAL/WESTERN,N.A.,13,19,23,39,24,8
12-08-2017,CENTRAL/WESTERN,N.A.,10,14,18,40,19,7
13-08-2017,CENTRAL/WESTERN,N.A.,7,14,18,29,13,8
14-08-2017,CENTRAL/WESTERN,N.A.,7,13,18,26,13,8
15-08-2017,CENTRAL/WESTERN,N.A.,5,14,22,22,10,8
16-08-2017,CENTRAL/WESTERN,N.A.,7,19,35,23,11,9
17-08-2017,CENTRAL/WESTERN,N.A.,8,25,44,28,12,10
18-08-2017,CENTRAL/WESTERN,N.A.,12,41,78,23,16,15
19-08-2017,CENTRAL/WESTERN,N.A.,10,36,82,12,13,18
20-08-2017,CENTRAL/WESTERN,N.A.,11,28,46,46,14,15
21-08-2017,CENTRAL/WESTERN,N.A.,24,49,58,99,35,20
22-08-2017,CENTRAL/WESTERN,N.A.,40,61,72,43,57,12
23-08-2017,CENTRAL/WESTERN,N.A.,7,12,14,49,16,6
24-08-2017,CENTRAL/WESTERN,N.A.,9,16,26,36,20,7
25-08-2017,CENTRAL/WESTERN,N.A.,9,33,48,24,16,9
26-08-2017,CENTRAL/WESTERN,N.A.,10,24,33,49,15,8
27-08-2017,CENTRAL/WESTERN,N.A.,4,7,11,43,10,6
28-08-2017,CENTRAL/WESTERN,N.A.,7,33,70,18,11,8
29-08-2017,CENTRAL/WESTERN,N.A.,12,51,95,42,19,15
30-08-2017,CENTRAL/WESTERN,N.A.,35,95,120,61,50,24
31-08-2017,CENTRAL/WESTERN,N.A.,22,85,128,24,32,28
