Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-01-2013,CENTRAL/WESTERN,N.A.,30,82,112,23,51,18
02-01-2013,CENTRAL/WESTERN,N.A.,38,89,136,26,59,14
03-01-2013,CENTRAL/WESTERN,N.A.,52,60,85,28,79,14
04-01-2013,CENTRAL/WESTERN,N.A.,48,53,144,2,71,15
05-01-2013,CENTRAL/WESTERN,N.A.,49,75,155,2,75,27
06-01-2013,CENTRAL/WESTERN,N.A.,55,67,131,10,83,25
07-01-2013,CENTRAL/WESTERN,N.A.,64,96,170,11,93,24
08-01-2013,CENTRAL/WESTERN,N.A.,80,121,228,16,113,30
09-01-2013,CENTRAL/WESTERN,N.A.,68,86,146,22,99,18
10-01-2013,CENTRAL/WESTERN,N.A.,64,68,107,28,84,15
11-01-2013,CENTRAL/WESTERN,N.A.,70,85,124,32,98,18
12-01-2013,CENTRAL/WESTERN,N.A.,86,N.A.,N.A.,N.A.,118,N.A.
13-01-2013,CENTRAL/WESTERN,N.A.,95,N.A.,N.A.,N.A.,133,N.A.
14-01-2013,CENTRAL/WESTERN,N.A.,45,N.A.,N.A.,N.A.,64,N.A.
15-01-2013,CENTRAL/WESTERN,N.A.,38,75,120,42,61,7
16-01-2013,CENTRAL/WESTERN,N.A.,51,113,202,31,71,13
17-01-2013,CENTRAL/WESTERN,N.A.,46,66,80,57,68,9
18-01-2013,CENTRAL/WESTERN,N.A.,57,58,73,37,72,8
19-01-2013,CENTRAL/WESTERN,N.A.,47,66,76,62,70,10
20-01-2013,CENTRAL/WESTERN,N.A.,26,58,67,54,42,5
21-01-2013,CENTRAL/WESTERN,N.A.,21,72,99,44,40,5
22-01-2013,CENTRAL/WESTERN,N.A.,39,113,227,30,60,23
23-01-2013,CENTRAL/WESTERN,N.A.,68,78,110,26,85,7
24-01-2013,CENTRAL/WESTERN,N.A.,79,117,206,40,99,20
25-01-2013,CENTRAL/WESTERN,N.A.,68,79,115,57,86,14
26-01-2013,CENTRAL/WESTERN,N.A.,81,83,98,63,107,9
27-01-2013,CENTRAL/WESTERN,N.A.,69,67,80,31,80,7
28-01-2013,CENTRAL/WESTERN,N.A.,53,64,72,87,79,12
29-01-2013,CENTRAL/WESTERN,N.A.,25,75,99,48,44,7
30-01-2013,CENTRAL/WESTERN,N.A.,33,66,79,62,51,7
31-01-2013,CENTRAL/WESTERN,N.A.,44,87,107,59,61,9
