Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-03-2017,CENTRAL/WESTERN,N.A.,71,97,130,68,100,22
02-03-2017,CENTRAL/WESTERN,N.A.,31,56,63,84,59,N.A.
03-03-2017,CENTRAL/WESTERN,N.A.,35,45,48,102,65,7
04-03-2017,CENTRAL/WESTERN,N.A.,34,51,55,85,57,7
05-03-2017,CENTRAL/WESTERN,N.A.,36,73,142,40,59,11
06-03-2017,CENTRAL/WESTERN,N.A.,31,79,183,29,46,12
07-03-2017,CENTRAL/WESTERN,N.A.,37,40,43,85,57,7
08-03-2017,CENTRAL/WESTERN,N.A.,30,55,74,26,39,7
09-03-2017,CENTRAL/WESTERN,N.A.,46,45,49,66,61,8
10-03-2017,CENTRAL/WESTERN,N.A.,49,69,81,55,88,7
11-03-2017,CENTRAL/WESTERN,N.A.,19,44,48,66,29,5
12-03-2017,CENTRAL/WESTERN,N.A.,25,50,54,64,34,6
13-03-2017,CENTRAL/WESTERN,N.A.,38,67,130,32,55,8
14-03-2017,CENTRAL/WESTERN,N.A.,20,55,98,34,29,6
15-03-2017,CENTRAL/WESTERN,N.A.,22,36,38,79,41,7
16-03-2017,CENTRAL/WESTERN,N.A.,30,41,45,73,48,8
17-03-2017,CENTRAL/WESTERN,N.A.,36,42,47,53,48,5
18-03-2017,CENTRAL/WESTERN,N.A.,33,41,46,59,44,4
19-03-2017,CENTRAL/WESTERN,N.A.,30,42,47,46,41,6
20-03-2017,CENTRAL/WESTERN,N.A.,27,68,108,N.A.,39,8
21-03-2017,CENTRAL/WESTERN,N.A.,27,59,89,N.A.,38,6
22-03-2017,CENTRAL/WESTERN,N.A.,29,48,51,72,50,5
23-03-2017,CENTRAL/WESTERN,N.A.,31,51,56,63,48,6
24-03-2017,CENTRAL/WESTERN,N.A.,23,48,52,83,37,5
25-03-2017,CENTRAL/WESTERN,N.A.,24,64,87,28,41,7
26-03-2017,CENTRAL/WESTERN,N.A.,11,41,46,34,23,6
27-03-2017,CENTRAL/WESTERN,N.A.,20,39,42,81,47,7
28-03-2017,CENTRAL/WESTERN,N.A.,32,43,47,111,64,8
29-03-2017,CENTRAL/WESTERN,N.A.,34,43,46,97,69,6
30-03-2017,CENTRAL/WESTERN,N.A.,42,52,56,77,76,6
31-03-2017,CENTRAL/WESTERN,N.A.,20,61,95,35,38,7
