Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-01-2015,CENTRAL/WESTERN,N.A.,N.A.,48,52,53,N.A.,14
02-01-2015,CENTRAL/WESTERN,N.A.,60,37,39,62,100,13
03-01-2015,CENTRAL/WESTERN,N.A.,30,40,43,49,54,10
04-01-2015,CENTRAL/WESTERN,N.A.,28,44,47,40,47,9
05-01-2015,CENTRAL/WESTERN,N.A.,N.A.,52,59,32,N.A.,6
06-01-2015,CENTRAL/WESTERN,N.A.,N.A.,72,177,8,N.A.,24
07-01-2015,CENTRAL/WESTERN,N.A.,N.A.,67,147,14,N.A.,20
08-01-2015,CENTRAL/WESTERN,N.A.,N.A.,44,52,48,N.A.,12
09-01-2015,CENTRAL/WESTERN,N.A.,N.A.,46,49,57,N.A.,13
10-01-2015,CENTRAL/WESTERN,N.A.,N.A.,43,46,59,N.A.,12
11-01-2015,CENTRAL/WESTERN,N.A.,N.A.,41,44,51,N.A.,12
12-01-2015,CENTRAL/WESTERN,N.A.,N.A.,37,40,36,N.A.,N.A.
13-01-2015,CENTRAL/WESTERN,N.A.,12,53,84,17,18,6
14-01-2015,CENTRAL/WESTERN,N.A.,20,55,68,25,30,5
15-01-2015,CENTRAL/WESTERN,N.A.,33,76,95,20,44,9
16-01-2015,CENTRAL/WESTERN,N.A.,44,88,123,28,64,12
17-01-2015,CENTRAL/WESTERN,N.A.,47,46,53,50,65,8
18-01-2015,CENTRAL/WESTERN,N.A.,70,47,48,56,95,13
19-01-2015,CENTRAL/WESTERN,N.A.,57,55,63,55,79,13
20-01-2015,CENTRAL/WESTERN,N.A.,50,54,57,58,82,9
21-01-2015,CENTRAL/WESTERN,N.A.,120,160,257,34,164,32
22-01-2015,CENTRAL/WESTERN,N.A.,46,77,103,36,63,11
23-01-2015,CENTRAL/WESTERN,N.A.,46,57,60,60,71,9
24-01-2015,CENTRAL/WESTERN,N.A.,54,48,50,57,81,7
25-01-2015,CENTRAL/WESTERN,N.A.,46,41,43,52,72,7
26-01-2015,CENTRAL/WESTERN,N.A.,40,48,55,37,53,6
27-01-2015,CENTRAL/WESTERN,N.A.,45,42,44,51,56,5
28-01-2015,CENTRAL/WESTERN,N.A.,27,34,37,45,38,2
29-01-2015,CENTRAL/WESTERN,N.A.,32,57,68,29,46,6
30-01-2015,CENTRAL/WESTERN,N.A.,55,72,99,24,73,12
31-01-2015,CENTRAL/WESTERN,N.A.,40,44,54,25,52,7
