Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-04-2016,CENTRAL/WESTERN,N.A.,54,99,281,8,69,27
02-04-2016,CENTRAL/WESTERN,N.A.,49,58,65,38,63,6
03-04-2016,CENTRAL/WESTERN,N.A.,39,67,145,17,52,10
04-04-2016,CENTRAL/WESTERN,N.A.,23,52,104,17,30,7
05-04-2016,CENTRAL/WESTERN,N.A.,19,58,85,15,24,7
06-04-2016,CENTRAL/WESTERN,N.A.,22,45,74,13,26,7
07-04-2016,CENTRAL/WESTERN,N.A.,22,42,68,13,28,6
08-04-2016,CENTRAL/WESTERN,N.A.,23,35,69,14,27,8
09-04-2016,CENTRAL/WESTERN,N.A.,17,24,38,26,23,7
10-04-2016,CENTRAL/WESTERN,N.A.,16,49,75,33,23,10
11-04-2016,CENTRAL/WESTERN,N.A.,13,33,36,59,20,7
12-04-2016,CENTRAL/WESTERN,N.A.,17,45,51,44,24,9
13-04-2016,CENTRAL/WESTERN,N.A.,20,72,109,18,27,11
14-04-2016,CENTRAL/WESTERN,N.A.,22,53,113,14,34,13
15-04-2016,CENTRAL/WESTERN,N.A.,21,54,60,41,31,5
16-04-2016,CENTRAL/WESTERN,N.A.,28,29,56,28,51,9
17-04-2016,CENTRAL/WESTERN,N.A.,20,22,42,12,24,7
18-04-2016,CENTRAL/WESTERN,N.A.,16,61,86,35,22,8
19-04-2016,CENTRAL/WESTERN,N.A.,18,33,34,91,31,4
20-04-2016,CENTRAL/WESTERN,N.A.,28,48,56,67,48,6
21-04-2016,CENTRAL/WESTERN,N.A.,30,63,158,13,43,20
22-04-2016,CENTRAL/WESTERN,N.A.,23,66,157,15,31,16
23-04-2016,CENTRAL/WESTERN,N.A.,15,52,112,22,24,11
24-04-2016,CENTRAL/WESTERN,N.A.,17,73,138,20,25,12
25-04-2016,CENTRAL/WESTERN,N.A.,18,39,105,22,26,16
26-04-2016,CENTRAL/WESTERN,N.A.,12,11,15,32,17,4
27-04-2016,CENTRAL/WESTERN,N.A.,21,52,96,26,30,12
28-04-2016,CENTRAL/WESTERN,N.A.,32,69,112,34,44,14
29-04-2016,CENTRAL/WESTERN,N.A.,31,34,36,114,47,8
30-04-2016,CENTRAL/WESTERN,N.A.,45,34,36,132,73,8
