Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-06-2013,CENTRAL/WESTERN,N.A.,8,25,43,27,12,7
02-06-2013,CENTRAL/WESTERN,N.A.,7,15,23,35,10,7
03-06-2013,CENTRAL/WESTERN,N.A.,11,31,50,33,15,11
04-06-2013,CENTRAL/WESTERN,N.A.,11,40,81,17,16,9
05-06-2013,CENTRAL/WESTERN,N.A.,12,49,129,7,18,14
06-06-2013,CENTRAL/WESTERN,N.A.,14,45,105,16,20,10
07-06-2013,CENTRAL/WESTERN,N.A.,12,26,48,26,18,10
08-06-2013,CENTRAL/WESTERN,N.A.,10,20,37,25,17,6
09-06-2013,CENTRAL/WESTERN,N.A.,10,20,30,27,17,6
10-06-2013,CENTRAL/WESTERN,N.A.,14,42,89,23,24,10
11-06-2013,CENTRAL/WESTERN,N.A.,12,64,108,12,17,9
12-06-2013,CENTRAL/WESTERN,N.A.,17,50,61,50,23,8
13-06-2013,CENTRAL/WESTERN,N.A.,16,57,78,26,22,7
14-06-2013,CENTRAL/WESTERN,N.A.,12,46,63,30,16,5
15-06-2013,CENTRAL/WESTERN,N.A.,9,59,100,12,13,4
16-06-2013,CENTRAL/WESTERN,N.A.,10,39,65,11,18,5
17-06-2013,CENTRAL/WESTERN,N.A.,10,37,71,14,17,4
18-06-2013,CENTRAL/WESTERN,N.A.,9,43,87,14,16,10
19-06-2013,CENTRAL/WESTERN,N.A.,12,49,104,20,19,14
20-06-2013,CENTRAL/WESTERN,N.A.,13,45,71,38,19,14
21-06-2013,CENTRAL/WESTERN,N.A.,10,33,49,32,17,6
22-06-2013,CENTRAL/WESTERN,N.A.,9,41,64,24,19,6
23-06-2013,CENTRAL/WESTERN,N.A.,N.A.,28,39,31,N.A.,6
24-06-2013,CENTRAL/WESTERN,N.A.,N.A.,38,76,21,N.A.,8
25-06-2013,CENTRAL/WESTERN,N.A.,32,31,50,28,55,4
26-06-2013,CENTRAL/WESTERN,N.A.,26,27,45,31,45,4
27-06-2013,CENTRAL/WESTERN,N.A.,23,28,46,28,39,3
28-06-2013,CENTRAL/WESTERN,N.A.,19,26,43,31,35,3
29-06-2013,CENTRAL/WESTERN,N.A.,19,25,37,39,32,5
30-06-2013,CENTRAL/WESTERN,N.A.,17,28,46,25,28,7
