Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-09-2012,CENTRAL/WESTERN,N.A.,8,40,74,11,16,2
02-09-2012,CENTRAL/WESTERN,N.A.,6,26,45,12,14,2
03-09-2012,CENTRAL/WESTERN,N.A.,6,31,57,12,14,4
04-09-2012,CENTRAL/WESTERN,N.A.,6,32,60,10,15,3
05-09-2012,CENTRAL/WESTERN,N.A.,14,49,65,27,24,4
06-09-2012,CENTRAL/WESTERN,N.A.,16,44,59,36,30,3
07-09-2012,CENTRAL/WESTERN,N.A.,8,31,64,10,17,2
08-09-2012,CENTRAL/WESTERN,N.A.,19,66,151,5,31,24
09-09-2012,CENTRAL/WESTERN,N.A.,13,41,67,17,22,9
10-09-2012,CENTRAL/WESTERN,N.A.,14,51,93,13,26,13
11-09-2012,CENTRAL/WESTERN,N.A.,12,36,53,35,22,4
12-09-2012,CENTRAL/WESTERN,N.A.,6,25,53,14,14,2
13-09-2012,CENTRAL/WESTERN,N.A.,15,51,97,22,27,7
14-09-2012,CENTRAL/WESTERN,N.A.,22,61,78,43,39,5
15-09-2012,CENTRAL/WESTERN,N.A.,31,65,82,45,49,7
16-09-2012,CENTRAL/WESTERN,N.A.,39,71,79,81,59,14
17-09-2012,CENTRAL/WESTERN,N.A.,50,94,105,91,74,24
18-09-2012,CENTRAL/WESTERN,N.A.,52,83,99,66,70,16
19-09-2012,CENTRAL/WESTERN,N.A.,50,75,85,60,64,10
20-09-2012,CENTRAL/WESTERN,N.A.,64,60,66,82,84,6
21-09-2012,CENTRAL/WESTERN,N.A.,46,58,65,65,66,4
22-09-2012,CENTRAL/WESTERN,N.A.,19,50,73,23,31,3
23-09-2012,CENTRAL/WESTERN,N.A.,11,36,89,8,20,13
24-09-2012,CENTRAL/WESTERN,N.A.,14,52,110,14,24,8
25-09-2012,CENTRAL/WESTERN,N.A.,30,49,55,75,48,4
26-09-2012,CENTRAL/WESTERN,N.A.,41,67,81,58,61,8
27-09-2012,CENTRAL/WESTERN,N.A.,37,86,116,42,57,17
28-09-2012,CENTRAL/WESTERN,N.A.,51,65,76,65,73,11
29-09-2012,CENTRAL/WESTERN,N.A.,64,62,69,97,85,10
30-09-2012,CENTRAL/WESTERN,N.A.,64,54,58,106,87,12
