Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-07-2016,CENTRAL/WESTERN,N.A.,5,8,11,32,10,6
02-07-2016,CENTRAL/WESTERN,N.A.,9,13,18,29,17,7
03-07-2016,CENTRAL/WESTERN,N.A.,6,12,16,29,12,7
04-07-2016,CENTRAL/WESTERN,N.A.,N.A.,10,14,28,N.A.,7
05-07-2016,CENTRAL/WESTERN,N.A.,6,17,25,30,12,4
06-07-2016,CENTRAL/WESTERN,N.A.,11,41,75,18,20,6
07-07-2016,CENTRAL/WESTERN,N.A.,12,31,41,43,22,7
08-07-2016,CENTRAL/WESTERN,N.A.,34,47,50,129,52,18
09-07-2016,CENTRAL/WESTERN,N.A.,43,49,53,110,62,19
10-07-2016,CENTRAL/WESTERN,N.A.,10,24,30,60,16,6
11-07-2016,CENTRAL/WESTERN,N.A.,9,33,60,33,16,7
12-07-2016,CENTRAL/WESTERN,N.A.,7,26,33,37,11,8
13-07-2016,CENTRAL/WESTERN,N.A.,9,38,82,17,16,11
14-07-2016,CENTRAL/WESTERN,N.A.,11,31,61,19,22,9
15-07-2016,CENTRAL/WESTERN,N.A.,11,10,14,36,25,5
16-07-2016,CENTRAL/WESTERN,N.A.,10,6,9,34,22,3
17-07-2016,CENTRAL/WESTERN,N.A.,10,5,7,38,20,3
18-07-2016,CENTRAL/WESTERN,N.A.,9,7,10,29,18,5
19-07-2016,CENTRAL/WESTERN,N.A.,9,10,15,21,17,5
20-07-2016,CENTRAL/WESTERN,N.A.,6,11,20,19,14,6
21-07-2016,CENTRAL/WESTERN,N.A.,7,14,27,28,12,6
22-07-2016,CENTRAL/WESTERN,N.A.,8,16,30,22,13,8
23-07-2016,CENTRAL/WESTERN,N.A.,9,N.A.,N.A.,N.A.,13,N.A.
24-07-2016,CENTRAL/WESTERN,N.A.,8,N.A.,N.A.,N.A.,10,N.A.
25-07-2016,CENTRAL/WESTERN,N.A.,9,N.A.,N.A.,N.A.,13,N.A.
26-07-2016,CENTRAL/WESTERN,N.A.,10,26,40,24,14,4
27-07-2016,CENTRAL/WESTERN,N.A.,7,13,24,29,12,6
28-07-2016,CENTRAL/WESTERN,N.A.,6,14,26,25,12,7
29-07-2016,CENTRAL/WESTERN,N.A.,7,14,23,35,13,7
30-07-2016,CENTRAL/WESTERN,N.A.,21,72,90,35,30,13
31-07-2016,CENTRAL/WESTERN,N.A.,29,49,58,68,38,12
