Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-09-2013,CENTRAL/WESTERN,N.A.,17,54,96,25,22,18
02-09-2013,CENTRAL/WESTERN,N.A.,11,49,91,20,17,16
03-09-2013,CENTRAL/WESTERN,N.A.,14,60,178,5,20,18
04-09-2013,CENTRAL/WESTERN,N.A.,11,47,97,10,16,6
05-09-2013,CENTRAL/WESTERN,N.A.,17,70,115,30,27,2
06-09-2013,CENTRAL/WESTERN,N.A.,25,49,60,60,39,5
07-09-2013,CENTRAL/WESTERN,N.A.,30,55,63,67,43,5
08-09-2013,CENTRAL/WESTERN,N.A.,20,43,50,56,28,6
09-09-2013,CENTRAL/WESTERN,N.A.,21,43,55,50,31,4
10-09-2013,CENTRAL/WESTERN,N.A.,24,46,59,46,35,7
11-09-2013,CENTRAL/WESTERN,N.A.,26,48,58,57,38,5
12-09-2013,CENTRAL/WESTERN,N.A.,22,42,55,55,32,4
13-09-2013,CENTRAL/WESTERN,N.A.,15,37,61,28,24,3
14-09-2013,CENTRAL/WESTERN,N.A.,14,43,67,24,20,3
15-09-2013,CENTRAL/WESTERN,N.A.,22,64,106,24,30,18
16-09-2013,CENTRAL/WESTERN,N.A.,22,44,50,62,38,N.A.
17-09-2013,CENTRAL/WESTERN,N.A.,27,32,36,86,55,N.A.
18-09-2013,CENTRAL/WESTERN,N.A.,20,44,53,69,44,4
19-09-2013,CENTRAL/WESTERN,N.A.,22,44,57,51,44,2
20-09-2013,CENTRAL/WESTERN,N.A.,32,70,93,50,57,13
21-09-2013,CENTRAL/WESTERN,N.A.,34,73,93,51,57,12
22-09-2013,CENTRAL/WESTERN,N.A.,29,45,54,41,43,N.A.
23-09-2013,CENTRAL/WESTERN,N.A.,52,27,32,79,70,N.A.
24-09-2013,CENTRAL/WESTERN,N.A.,18,39,57,29,32,5
25-09-2013,CENTRAL/WESTERN,N.A.,18,44,56,49,36,6
26-09-2013,CENTRAL/WESTERN,N.A.,26,48,63,56,42,7
27-09-2013,CENTRAL/WESTERN,N.A.,30,47,58,70,46,7
28-09-2013,CENTRAL/WESTERN,N.A.,38,59,73,71,58,9
29-09-2013,CENTRAL/WESTERN,N.A.,38,46,58,44,50,7
30-09-2013,CENTRAL/WESTERN,N.A.,39,54,65,54,55,6
