Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-01-2009,CENTRAL/WESTERN,N.A.,N.A.,53,74,34,57,17
02-01-2009,CENTRAL/WESTERN,N.A.,N.A.,60,81,52,72,24
03-01-2009,CENTRAL/WESTERN,N.A.,N.A.,45,56,62,57,17
04-01-2009,CENTRAL/WESTERN,N.A.,N.A.,50,68,53,51,15
05-01-2009,CENTRAL/WESTERN,N.A.,N.A.,41,55,51,38,11
06-01-2009,CENTRAL/WESTERN,N.A.,N.A.,45,58,52,39,10
07-01-2009,CENTRAL/WESTERN,N.A.,N.A.,86,124,37,111,26
08-01-2009,CENTRAL/WESTERN,N.A.,N.A.,73,101,29,71,22
09-01-2009,CENTRAL/WESTERN,N.A.,N.A.,50,75,38,66,19
10-01-2009,CENTRAL/WESTERN,N.A.,N.A.,63,86,48,68,22
11-01-2009,CENTRAL/WESTERN,N.A.,N.A.,83,103,50,81,33
12-01-2009,CENTRAL/WESTERN,N.A.,N.A.,73,102,50,82,21
13-01-2009,CENTRAL/WESTERN,N.A.,N.A.,67,90,51,95,32
14-01-2009,CENTRAL/WESTERN,N.A.,N.A.,79,110,42,88,30
15-01-2009,CENTRAL/WESTERN,N.A.,N.A.,60,77,69,68,19
16-01-2009,CENTRAL/WESTERN,N.A.,N.A.,62,76,67,69,16
17-01-2009,CENTRAL/WESTERN,N.A.,N.A.,65,83,49,44,13
18-01-2009,CENTRAL/WESTERN,N.A.,N.A.,101,311,19,57,35
19-01-2009,CENTRAL/WESTERN,N.A.,N.A.,71,134,62,63,18
20-01-2009,CENTRAL/WESTERN,N.A.,N.A.,52,61,82,101,15
21-01-2009,CENTRAL/WESTERN,N.A.,N.A.,79,187,37,86,30
22-01-2009,CENTRAL/WESTERN,N.A.,N.A.,135,288,14,178,83
23-01-2009,CENTRAL/WESTERN,N.A.,N.A.,68,122,34,99,18
24-01-2009,CENTRAL/WESTERN,N.A.,N.A.,48,83,15,70,16
25-01-2009,CENTRAL/WESTERN,N.A.,N.A.,42,55,41,67,17
26-01-2009,CENTRAL/WESTERN,N.A.,N.A.,44,65,37,77,19
27-01-2009,CENTRAL/WESTERN,N.A.,N.A.,42,89,12,37,19
28-01-2009,CENTRAL/WESTERN,N.A.,N.A.,33,47,30,20,8
29-01-2009,CENTRAL/WESTERN,N.A.,N.A.,49,91,33,43,28
30-01-2009,CENTRAL/WESTERN,N.A.,N.A.,60,129,12,39,38
31-01-2009,CENTRAL/WESTERN,N.A.,N.A.,38,54,43,27,11
