Remarks:
1. All Pollutant unit in μg/m3 except CO which is in 10μg/m3
2. N.A. = data not available
3. CO = Carbon Monoxide
4. FSP = Fine Suspended Particulates 
5. NO2 = Nitrogen Dioxide
6. NOX = Nitrogen Oxides
7. O3 = Ozone
8. RSP = Respirable Suspended Particulates
9. SO2 = Sulphur Dioxide

DATE,STATION,CO,FSP,NO2,NOX,O3,RSP,SO2
01-05-2013,CENTRAL/WESTERN,N.A.,27,60,73,57,40,10
02-05-2013,CENTRAL/WESTERN,N.A.,20,52,59,95,33,6
03-05-2013,CENTRAL/WESTERN,N.A.,27,67,79,86,39,5
04-05-2013,CENTRAL/WESTERN,N.A.,30,73,88,65,39,4
05-05-2013,CENTRAL/WESTERN,N.A.,N.A.,50,59,64,N.A.,1
06-05-2013,CENTRAL/WESTERN,N.A.,29,63,82,40,40,3
07-05-2013,CENTRAL/WESTERN,N.A.,27,66,86,36,37,4
08-05-2013,CENTRAL/WESTERN,N.A.,28,62,82,27,39,3
09-05-2013,CENTRAL/WESTERN,N.A.,18,61,137,12,31,10
10-05-2013,CENTRAL/WESTERN,N.A.,20,76,259,6,31,18
11-05-2013,CENTRAL/WESTERN,N.A.,32,100,191,15,41,34
12-05-2013,CENTRAL/WESTERN,N.A.,38,75,130,36,46,18
13-05-2013,CENTRAL/WESTERN,N.A.,24,61,90,31,32,6
14-05-2013,CENTRAL/WESTERN,N.A.,20,55,84,24,26,4
15-05-2013,CENTRAL/WESTERN,N.A.,13,31,49,27,20,2
16-05-2013,CENTRAL/WESTERN,N.A.,11,40,61,26,20,3
17-05-2013,CENTRAL/WESTERN,N.A.,22,95,243,5,30,24
18-05-2013,CENTRAL/WESTERN,N.A.,16,39,81,26,25,5
19-05-2013,CENTRAL/WESTERN,N.A.,11,15,20,46,21,1
20-05-2013,CENTRAL/WESTERN,N.A.,13,33,52,33,23,4
21-05-2013,CENTRAL/WESTERN,N.A.,15,81,185,10,24,33
22-05-2013,CENTRAL/WESTERN,N.A.,10,64,121,14,15,6
23-05-2013,CENTRAL/WESTERN,N.A.,11,63,120,16,18,11
24-05-2013,CENTRAL/WESTERN,N.A.,12,61,150,19,21,19
25-05-2013,CENTRAL/WESTERN,N.A.,10,57,96,11,14,6
26-05-2013,CENTRAL/WESTERN,N.A.,8,20,31,24,13,5
27-05-2013,CENTRAL/WESTERN,N.A.,9,23,35,26,20,5
28-05-2013,CENTRAL/WESTERN,N.A.,11,24,40,25,19,4
29-05-2013,CENTRAL/WESTERN,N.A.,10,25,45,20,15,4
30-05-2013,CENTRAL/WESTERN,N.A.,10,32,82,15,14,12
31-05-2013,CENTRAL/WESTERN,N.A.,11,34,78,19,15,12
