,date,NOx,NO_2,NOx,SO_2
188,04.05.2010,2,22,24,2
189,05.05.2010,2,13,15,1
190,06.05.2010,1,8,10,0
191,07.05.2010,9,19,33,1
192,08.05.2010,8,22,35,2
193,09.05.2010,4,19,25,1
194,10.05.2010,3,22,26,0
195,11.05.2010,2,12,14,1
196,12.05.2010,2,19,21,1
197,13.05.2010,2,20,23,2
198,14.05.2010,2,14,17,0
199,15.05.2010,1,19,20,1
200,16.05.2010,1,12,13,4
201,17.05.2010,2,15,19,2
202,18.05.2010,2,15,18,1
203,19.05.2010,3,20,25,1
204,20.05.2010,4,21,27,2
205,21.05.2010,4,28,35,3
206,22.05.2010,4,20,27,5
207,23.05.2010,1,10,11,4
208,24.05.2010,1,10,12,3
209,25.05.2010,2,15,19,6
210,26.05.2010,2,16,20,3
211,27.05.2010,2,17,21,1
212,28.05.2010,2,20,22,2
213,29.05.2010,2,17,20,2
214,30.05.2010,1,12,13,2
215,31.05.2010,2,16,20,1
216,01.06.2010,3,16,20,0
217,02.06.2010,2,14,16,0
218,03.06.2010,1,13,14,1
219,04.06.2010,2,17,19,1
220,05.06.2010,3,20,24,1
221,06.06.2010,2,13,16,2
222,07.06.2010,1,14,15,2
223,08.06.2010,2,15,18,2
224,09.06.2010,2,21,23,1
225,10.06.2010,2,22,24,3
226,11.06.2010,1,12,13,1
227,12.06.2010,1,10,11,2
228,13.06.2010,0,11,12,2
229,14.06.2010,3,18,22,0
230,15.06.2010,5,23,30,1
231,16.06.2010,1,9,11,1
232,17.06.2010,1,9,10,1
233,18.06.2010,1,11,13,1
234,19.06.2010,1,6,7,2
235,20.06.2010,0,9,10,1
236,21.06.2010,2,19,22,1
237,22.06.2010,2,16,19,0
238,23.06.2010,3,18,24,1
239,24.06.2010,6,18,27,0
240,25.06.2010,4,17,23,0
241,26.06.2010,0,6,6,0
242,27.06.2010,0,6,6,1
243,28.06.2010,1,9,10,1
244,29.06.2010,1,13,15,2
245,30.06.2010,1,18,20,1
246,01.07.2010,1,21,22,1
247,02.07.2010,0,12,13,1
248,03.07.2010,0,8,8,1
249,04.07.2010,0,7,7,2
250,05.07.2010,1,18,20,0
251,06.07.2010,2,11,14,0
252,07.07.2010,2,15,18,0
253,08.07.2010,2,17,21,1
254,09.07.2010,1,17,19,3
255,10.07.2010,0,9,9,3
256,11.07.2010,0,8,8,4
257,12.07.2010,1,12,12,4
