,date,NOx,NO_2,NOx,O_3
3379,28.01.2019,1,15,17,33
3380,29.01.2019,1,15,17,33
3381,30.01.2019,1,18,19,36
3382,31.01.2019,4,28,34,16
3383,01.02.2019,1,22,24,21
3384,02.02.2019,1,15,16,18
3385,03.02.2019,0,9,9,34
3386,04.02.2019,2,19,22,29
3387,05.02.2019,1,15,16,38
3388,06.02.2019,3,23,27,29
3389,07.02.2019,2,32,35,26
3390,08.02.2019,1,12,13,47
3391,09.02.2019,0,6,7,65
3392,10.02.2019,0,10,10,56
3393,11.02.2019,0,5,5,63
3394,12.02.2019,1,12,14,62
3395,13.02.2019,1,13,15,33
3396,14.02.2019,2,18,21,36
3397,15.02.2019,12,34,52,17
3398,16.02.2019,15,30,53,25
3399,17.02.2019,8,34,47,11
3400,18.02.2019,8,34,46,15
3401,19.02.2019,6,20,29,39
3402,20.02.2019,0,12,12,50
3403,21.02.2019,1,13,14,41
3404,22.02.2019,0,6,6,58
3405,23.02.2019,2,26,30,38
3406,24.02.2019,8,31,43,27
3407,25.02.2019,6,29,38,32
3408,26.02.2019,5,28,36,18
3409,27.02.2019,12,22,40,27
3410,28.02.2019,2,24,28,29
3411,01.03.2019,1,12,13,41
3412,02.03.2019,0,11,11,50
3413,03.03.2019,0,5,5,51
3414,04.03.2019,0,7,7,68
3415,05.03.2019,0,8,9,61
3416,06.03.2019,2,19,23,43
3417,07.03.2019,1,15,16,57
3418,08.03.2019,0,5,6,73
3419,09.03.2019,0,5,5,71
3420,10.03.2019,0,4,4,76
3421,11.03.2019,0,7,7,66
3422,12.03.2019,0,8,8,69
3423,13.03.2019,0,4,4,77
3424,14.03.2019,0,8,8,67
3425,15.03.2019,0,5,5,76
3426,16.03.2019,0,7,7,70
3427,17.03.2019,0,4,4,72
3428,18.03.2019,0,4,4,75
3429,19.03.2019,0,8,9,64
3430,20.03.2019,1,13,15,60
3431,21.03.2019,1,14,15,40
3432,22.03.2019,2,17,20,24
3433,23.03.2019,3,12,16,34
3434,24.03.2019,0,8,8,59
3435,25.03.2019,0,8,8,64
3436,26.03.2019,0,8,7,63
3437,27.03.2019,0,8,7,59
3438,28.03.2019,0,10,8,47
3439,29.03.2019,1,12,13,38
3440,30.03.2019,4,16,22,52
3441,31.03.2019,0,6,5,74
3442,01.04.2019,1,6,7,74
3443,02.04.2019,1,10,10,75
3444,03.04.2019,1,15,17,76
3445,04.04.2019,1,9,11,88
3446,05.04.2019,3,16,20,47
3447,06.04.2019,0,9,10,84
3448,07.04.2019,0,6,7,96
3449,08.04.2019,1,8,10,93
3450,09.04.2019,0,3,4,89
3451,10.04.2019,0,6,6,74
3452,11.04.2019,0,4,4,74
3453,12.04.2019,0,6,6,69
3454,13.04.2019,0,5,5,72
3455,14.04.2019,0,4,4,68
3456,15.04.2019,0,5,5,80
3457,16.04.2019,0,9,9,84
3458,17.04.2019,0,8,8,88
3459,18.04.2019,0,8,9,94
3460,19.04.2019,0,7,7,108
3461,20.04.2019,0,5,4,101
3462,21.04.2019,0,5,6,95
3463,22.04.2019,0,4,4,102
3464,23.04.2019,0,4,4,105
3465,24.04.2019,0,6,6,87
3466,25.04.2019,0,8,8,92
3467,26.04.2019,0,9,9,96
3468,27.04.2019,1,6,7,70
3469,28.04.2019,1,4,5,61
3470,29.04.2019,0,6,6,63
3471,30.04.2019,0,7,7,90
3472,01.05.2019,1,7,7,77
3473,02.05.2019,0,4,5,81
3474,03.05.2019,0,4,4,86
3475,04.05.2019,1,6,7,70
3476,05.05.2019,0,6,6,67
3477,06.05.2019,1,6,7,75
3478,07.05.2019,0,7,7,64
3479,08.05.2019,1,16,18,71
3480,09.05.2019,1,5,6,71
3481,10.05.2019,1,9,10,55
3482,11.05.2019,0,6,6,62
3483,12.05.2019,0,4,4,75
3484,13.05.2019,1,6,7,67
3485,14.05.2019,0,3,3,71
3486,15.05.2019,0,2,3,76
3487,16.05.2019,0,7,7,44
3488,17.05.2019,2,10,12,53
3489,18.05.2019,1,5,6,68
3490,19.05.2019,0,6,6,80
3491,20.05.2019,1,5,5,64
3492,21.05.2019,1,7,8,63
3493,22.05.2019,0,5,5,61
3494,23.05.2019,1,5,6,67
3495,24.05.2019,2,13,15,79
3496,25.05.2019,0,5,5,67
3497,26.05.2019,0,7,7,66
3498,27.05.2019,0,7,7,58
3499,28.05.2019,0,6,7,62
3500,29.05.2019,0,5,5,77
3501,30.05.2019,0,7,7,73
3502,31.05.2019,0,7,7,48
3503,01.06.2019,2,8,12,58
3504,02.06.2019,0,8,8,76
3505,03.06.2019,1,11,13,86
3506,04.06.2019,0,9,9,97
3507,05.06.2019,0,9,9,102
3508,06.06.2019,0,8,8,87
3509,07.06.2019,0,9,9,71
3510,08.06.2019,0,5,4,74
3511,09.06.2019,0,7,7,68
3512,10.06.2019,1,7,8,65
3513,11.06.2019,0,11,11,76
3514,12.06.2019,0,8,8,77
3515,13.06.2019,1,13,14,60
3516,14.06.2019,0,11,11,81
3517,15.06.2019,0,6,6,112
3518,16.06.2019,0,5,5,89
3519,17.06.2019,1,12,13,76
3520,18.06.2019,1,9,10,82
3521,19.06.2019,1,11,11,101
3522,20.06.2019,1,8,9,78
3523,21.06.2019,0,7,7,73
3524,22.06.2019,0,3,3,83
3525,23.06.2019,0,3,3,87
3526,24.06.2019,0,6,7,85
3527,25.06.2019,0,10,10,107
3528,26.06.2019,0,10,10,118
3529,27.06.2019,0,3,3,81
3530,28.06.2019,0,6,6,67
3531,29.06.2019,1,6,7,75
3532,30.06.2019,0,11,11,103
3533,01.07.2019,0,4,3,90
3534,02.07.2019,0,3,4,69
3535,03.07.2019,0,4,4,66
3536,04.07.2019,0,4,4,65
3537,05.07.2019,0,4,4,60
3538,06.07.2019,1,4,5,54
3539,07.07.2019,0,4,4,60
3540,08.07.2019,0,4,3,63
3541,09.07.2019,0,4,4,58
3542,10.07.2019,0,5,5,54
3543,11.07.2019,2,9,12,71
3544,12.07.2019,1,7,8,42
3545,13.07.2019,1,7,9,44
3546,14.07.2019,1,6,6,49
3547,15.07.2019,0,5,5,60
3548,16.07.2019,0,4,4,56
3549,17.07.2019,0,8,8,54
3550,18.07.2019,0,10,10,70
3551,19.07.2019,1,12,13,53
3552,20.07.2019,6,10,19,56
3553,21.07.2019,0,7,8,61
3554,22.07.2019,1,10,12,57
3555,23.07.2019,1,9,11,56
3556,24.07.2019,1,11,12,57
3557,25.07.2019,1,9,10,59
3558,26.07.2019,0,4,4,70
3559,27.07.2019,0,4,5,74
3560,28.07.2019,0,5,5,95
3561,29.07.2019,1,10,11,71
3562,30.07.2019,1,9,10,50
3563,31.07.2019,1,13,14,53
3564,01.08.2019,1,12,13,50
3565,02.08.2019,2,11,14,35
3566,03.08.2019,1,8,10,38
3567,04.08.2019,1,7,8,50
3568,05.08.2019,5,14,21,43
3569,06.08.2019,1,10,11,54
3570,07.08.2019,2,11,15,45
3571,08.08.2019,0,9,10,62
3572,09.08.2019,1,10,11,67
3573,10.08.2019,0,8,7,66
3574,11.08.2019,0,7,7,69
3575,12.08.2019,0,10,11,67
3576,13.08.2019,0,5,5,73
3577,14.08.2019,1,7,8,67
3578,15.08.2019,2,17,20,50
3579,16.08.2019,1,6,7,48
3580,17.08.2019,1,14,15,54
3581,18.08.2019,1,6,7,43
3582,19.08.2019,1,10,12,44
3583,20.08.2019,5,15,23,47
3584,21.08.2019,1,10,11,61
3585,22.08.2019,1,12,14,74
3586,23.08.2019,1,11,13,76
3587,24.08.2019,0,7,7,89
3588,25.08.2019,0,6,6,92
3589,26.08.2019,0,8,8,79
3590,27.08.2019,1,12,14,69
3591,28.08.2019,1,16,18,78
3592,29.08.2019,1,15,16,87
3593,30.08.2019,0,6,7,89
3594,31.08.2019,0,10,10,100
3595,01.09.2019,0,7,7,91
3596,02.09.2019,0,6,6,64
3597,03.09.2019,1,10,11,54
3598,04.09.2019,1,9,10,70
3599,05.09.2019,0,5,6,62
3600,06.09.2019,1,10,11,51
3601,07.09.2019,1,20,22,38
3602,08.09.2019,1,3,4,50
3603,09.09.2019,0,6,6,51
3604,10.09.2019,0,6,6,69
3605,11.09.2019,1,14,16,63
3606,12.09.2019,1,9,10,43
3607,13.09.2019,1,12,13,37
3608,14.09.2019,1,12,14,40
3609,15.09.2019,1,11,13,56
3610,16.09.2019,0,5,6,53
3611,17.09.2019,1,6,7,51
3612,18.09.2019,0,4,5,58
3613,19.09.2019,1,9,10,42
3614,20.09.2019,1,11,12,37
3615,21.09.2019,1,11,12,43
3616,22.09.2019,0,12,13,45
3617,23.09.2019,0,14,15,55
3618,24.09.2019,1,16,17,29
3619,25.09.2019,2,17,21,14
3620,26.09.2019,4,13,19,16
3621,27.09.2019,1,12,14,23
3622,28.09.2019,1,8,8,30
3623,29.09.2019,0,7,7,40
3624,30.09.2019,1,4,4,55
3625,01.10.2019,1,10,11,33
3626,02.10.2019,0,6,6,46
3627,03.10.2019,0,5,5,31
3628,04.10.2019,4,8,15,22
3629,05.10.2019,0,4,5,35
3630,06.10.2019,1,4,5,27
3631,07.10.2019,5,13,21,19
3632,08.10.2019,3,16,20,14
3633,09.10.2019,1,7,8,31
3634,10.10.2019,0,6,7,43
3635,11.10.2019,0,7,7,41
3636,12.10.2019,0,7,7,46
3637,13.10.2019,2,11,13,31
3638,14.10.2019,1,10,12,38
3639,15.10.2019,2,16,18,22
3640,16.10.2019,2,11,13,27
3641,17.10.2019,1,15,17,20
3642,18.10.2019,1,13,15,32
3643,19.10.2019,2,16,19,19
3644,20.10.2019,2,12,15,12
3645,21.10.2019,10,15,30,5
3646,22.10.2019,7,13,24,15
3647,23.10.2019,6,11,20,18
3648,24.10.2019,2,15,17,23
3649,25.10.2019,5,14,21,20
3650,26.10.2019,0,10,10,42
3651,27.10.2019,0,6,6,50
3652,28.10.2019,0,9,10,40
3653,29.10.2019,0,10,11,29
