,date,PM10,NOx,NO_2,NOx,O_3,CO,SO_2,Benzolµg/m³,Toluolµg/m³
2016,06.05.2015,24,29,47,92,,0.4,2,1.1,3.8
2017,07.05.2015,25,28,48,90,,0.4,2,1.0,3.8
2018,08.05.2015,23,29,49,93,,0.4,2,1.1,4.1
2019,09.05.2015,26,13,38,59,,0.4,3,1.2,3.8
2020,10.05.2015,20,9,29,43,,0.3,1,0.7,2.2
2021,11.05.2015,29,39,56,115,,0.5,4,1.4,4.9
2022,12.05.2015,32,20,43,74,,0.4,2,1.0,3.8
2023,13.05.2015,26,26,46,86,,0.4,2,1.0,3.4
2024,14.05.2015,15,10,28,43,,0.3,1,0.8,2.4
2025,15.05.2015,23,18,37,64,,0.3,1,0.8,2.8
2026,16.05.2015,32,21,42,75,,0.4,2,1.0,3.5
2027,17.05.2015,20,9,28,41,,0.3,1,0.7,2.3
2028,18.05.2015,,39,55,114,,,,,
2029,19.05.2015,,,,,,,,,
2030,20.05.2015,34,35,67,120,,,,,
2031,21.05.2015,,22,46,79,,0.3,1,,3.2
2032,22.05.2015,,40,62,123,,0.4,1,,4.7
2033,23.05.2015,32,9,36,49,,0.3,1,1.0,2.9
2034,24.05.2015,22,5,23,31,,0.3,1,0.8,2.0
2035,25.05.2015,27,6,27,36,,0.3,1,0.9,2.6
2036,26.05.2015,16,16,28,52,,0.2,1,0.7,1.6
2037,27.05.2015,22,24,40,77,,0.3,1,0.9,2.2
2038,28.05.2015,29,22,40,74,,0.3,1,0.9,2.6
2039,29.05.2015,22,19,41,70,,0.3,1,0.8,2.8
2040,30.05.2015,15,15,30,54,,0.3,1,0.7,2.1
2041,31.05.2015,13,6,22,32,,0.3,1,0.6,2.2
2042,01.06.2015,17,28,43,86,,0.3,1,0.9,3.4
2043,02.06.2015,21,17,28,55,,0.3,1,0.7,2.5
2044,03.06.2015,23,21,36,69,,0.3,2,0.7,2.6
2045,04.06.2015,19,14,33,54,,0.3,1,0.7,2.2
2046,05.06.2015,30,28,59,102,,0.4,7,1.1,4.6
2047,06.06.2015,33,8,35,47,,0.3,3,0.8,2.9
2048,07.06.2015,13,2,14,16,,0.2,1,0.4,1.2
2049,08.06.2015,17,4,14,19,,0.2,1,0.3,0.9
2050,09.06.2015,16,8,22,34,,0.2,2,0.5,1.8
2051,10.06.2015,19,11,27,43,,0.2,2,0.5,1.7
2052,11.06.2015,17,20,44,74,,0.3,2,0.7,3.0
2053,12.06.2015,27,17,46,72,,0.3,3,0.8,3.2
2054,13.06.2015,38,10,42,58,,0.3,4,1.0,3.6
2055,14.06.2015,21,6,24,33,,0.3,1,0.6,2.4
2056,15.06.2015,12,7,19,29,,0.2,0,0.4,1.3
2057,16.06.2015,17,22,38,72,,0.3,1,0.6,2.3
2058,17.06.2015,20,26,51,90,,0.3,1,0.8,3.4
2059,18.06.2015,19,24,37,75,,0.3,2,0.8,2.7
2060,19.06.2015,19,41,49,112,,0.3,2,1.0,3.4
2061,20.06.2015,11,18,30,57,,0.3,1,0.7,2.3
2062,21.06.2015,11,8,22,35,,0.2,1,0.7,2.5
2063,22.06.2015,21,43,51,116,,0.4,2,1.2,4.2
2064,23.06.2015,16,65,60,159,,0.4,3,1.5,5.0
2065,24.06.2015,21,49,55,130,,0.4,2,1.2,4.4
2066,25.06.2015,25,35,57,110,,0.4,2,1.4,5.4
2067,26.06.2015,37,14,55,76,,0.4,2,1.5,5.7
2068,27.06.2015,30,11,42,60,,0.4,1,1.1,4.9
2069,28.06.2015,15,9,22,35,,0.2,1,0.7,1.1
2070,29.06.2015,27,32,50,99,,0.4,2,1.3,5.3
2071,30.06.2015,16,9,24,37,,0.2,1,0.5,1.9
2072,01.07.2015,20,13,32,53,,0.2,2,0.8,2.7
2073,02.07.2015,27,21,49,80,,0.3,4,0.9,4.0
2074,03.07.2015,38,18,63,91,,0.4,6,1.3,5.1
2075,04.07.2015,44,8,51,63,,0.4,5,1.3,5.4
2076,05.07.2015,32,3,26,31,,0.3,2,0.7,3.5
2077,06.07.2015,22,22,48,81,,0.3,1,1.0,4.1
2078,07.07.2015,33,25,61,99,,0.4,2,1.6,6.8
2079,08.07.2015,26,30,42,89,,0.3,1,1.1,4.5
2080,09.07.2015,19,30,37,82,,0.3,1,0.7,2.9
2081,10.07.2015,21,24,36,73,,0.3,1,0.7,2.4
2082,11.07.2015,22,10,35,51,,0.3,1,0.8,3.4
2083,12.07.2015,29,11,38,55,,0.3,1,1.1,4.1
2084,13.07.2015,22,45,50,119,,0.4,1,1.3,4.7
2085,14.07.2015,19,27,45,86,,0.4,1,1.1,4.2
2086,15.07.2015,22,29,47,91,,0.4,1,1.3,6.5
2087,16.07.2015,25,23,42,78,,0.3,1,1.0,4.2
2088,17.07.2015,37,28,60,103,,0.5,2,2.0,6.9
2089,18.07.2015,31,16,39,64,,0.4,1,1.6,6.5
2090,19.07.2015,18,5,21,29,,0.2,1,0.7,2.1
2091,20.07.2015,19,28,43,85,,0.3,1,1.0,3.1
2092,21.07.2015,23,23,43,79,,0.3,1,1.2,4.9
2093,22.07.2015,26,23,47,82,,0.3,1,1.1,4.3
2094,23.07.2015,20,19,38,67,,0.3,1,0.9,2.9
2095,24.07.2015,23,13,33,53,,0.3,2,0.7,2.5
2096,25.07.2015,24,5,17,25,,0.2,2,0.6,1.9
2097,26.07.2015,14,8,21,33,,0.2,1,0.7,2.1
2098,27.07.2015,21,20,34,64,,0.3,2,0.8,2.7
2099,28.07.2015,17,16,29,54,,0.3,1,0.8,2.7
2100,29.07.2015,17,18,32,59,,0.3,1,0.8,2.4
2101,30.07.2015,18,20,31,62,,0.3,1,0.7,2.3
2102,31.07.2015,22,30,44,90,,0.3,1,,2.1
2103,01.08.2015,29,15,38,61,,0.3,2,,
2104,02.08.2015,29,2,23,27,,0.2,2,,
2105,03.08.2015,42,11,56,73,,0.4,5,,
2106,04.08.2015,50,16,52,77,,0.4,3,,4.0
2107,05.08.2015,22,18,36,64,,0.3,1,0.8,2.8
2108,06.08.2015,38,16,56,81,,0.4,3,1.2,4.5
2109,07.08.2015,44,12,62,81,,0.4,4,1.3,5.0
2110,08.08.2015,30,1,13,14,,0.2,2,0.5,1.5
2111,09.08.2015,14,1,7,8,,0.2,1,0.3,0.8
2112,10.08.2015,30,6,28,36,,0.2,3,0.6,1.8
2113,11.08.2015,41,9,39,53,,0.3,3,0.8,2.4
2114,12.08.2015,24,2,15,19,,0.2,1,0.4,1.1
2115,13.08.2015,21,5,18,25,,0.2,2,0.5,1.5
2116,14.08.2015,41,11,43,60,,0.3,4,0.8,2.7
2117,15.08.2015,39,6,31,40,,0.3,2,0.9,2.8
2118,16.08.2015,29,2,17,20,,0.3,1,0.7,2.2
2119,17.08.2015,35,11,36,52,,0.3,3,1.2,2.5
2120,18.08.2015,32,30,41,86,,0.4,2,1.4,3.7
2121,19.08.2015,27,22,36,70,,0.3,2,1.1,3.3
2122,20.08.2015,32,28,51,93,,0.4,2,1.4,4.2
2123,21.08.2015,39,22,53,87,,0.4,3,1.4,3.8
2124,22.08.2015,37,7,36,47,,0.3,3,1.3,2.8
2125,23.08.2015,29,5,24,31,,0.3,3,0.9,2.1
2126,24.08.2015,35,24,46,83,,0.4,3,1.2,3.7
2127,25.08.2015,16,17,30,56,,0.3,1,0.8,2.8
2128,26.08.2015,20,24,41,78,,0.3,2,1.1,3.7
2129,27.08.2015,26,25,50,88,,0.3,2,1.0,3.7
2130,28.08.2015,16,29,45,90,,0.3,1,1.1,3.6
2131,29.08.2015,28,27,53,93,,0.5,2,1.9,7.4
2132,30.08.2015,24,7,32,44,,0.3,2,1.0,3.3
2133,31.08.2015,47,42,75,140,,0.6,3,3.1,12.2
2134,01.09.2015,32,20,49,79,,0.4,1,1.4,6.4
2135,02.09.2015,20,40,52,113,,0.4,1,1.3,4.0
2136,03.09.2015,30,43,59,125,,0.4,2,1.4,4.8
2137,04.09.2015,25,33,53,103,,0.4,2,1.3,4.5
2138,05.09.2015,15,17,26,52,,0.3,1,0.8,2.2
2139,06.09.2015,10,11,21,37,,0.2,1,0.6,1.5
2140,07.09.2015,15,18,30,56,,0.2,1,0.6,1.8
2141,08.09.2015,14,34,35,86,,0.3,1,0.8,2.3
2142,09.09.2015,8,4,17,24,,0.2,1,0.4,1.1
2143,10.09.2015,18,14,31,52,,0.3,2,0.8,2.1
2144,11.09.2015,33,28,42,85,,0.4,2,1.5,3.1
2145,12.09.2015,32,20,42,72,,0.4,3,1.6,4.0
2146,13.09.2015,31,10,36,52,,0.4,4,1.3,3.5
2147,14.09.2015,31,31,50,98,,0.4,3,1.3,4.4
2148,15.09.2015,17,29,44,88,,0.4,1,1.3,4.3
2149,16.09.2015,27,50,57,133,,0.4,3,1.5,5.3
2150,17.09.2015,20,33,47,98,,0.4,1,1.2,4.8
2151,18.09.2015,18,28,45,87,,0.4,1,1.3,4.3
2152,19.09.2015,20,19,41,69,,0.4,1,1.2,4.3
2153,20.09.2015,12,14,30,51,,0.3,1,0.8,2.1
2154,21.09.2015,,46,54,124,,0.4,2,1.2,3.7
2155,22.09.2015,,34,51,104,,0.4,2,1.5,4.4
2156,23.09.2015,21,40,47,109,,0.4,1,1.3,4.0
2157,24.09.2015,24,37,45,101,,0.4,2,1.3,4.3
2158,25.09.2015,26,39,52,112,,0.4,1,1.6,4.5
2159,26.09.2015,20,4,24,30,,0.2,1,0.8,2.0
2160,27.09.2015,17,5,27,34,,0.3,1,0.8,1.9
2161,28.09.2015,17,21,29,62,,0.3,1,0.9,2.4
2162,29.09.2015,15,9,25,39,,0.2,1,0.7,1.6
2163,30.09.2015,20,22,43,77,,0.3,2,1.1,3.0
2164,01.10.2015,51,108,79,245,,0.8,5,2.9,9.0
2165,02.10.2015,65,157,91,331,,1.1,5,4.7,15.2
2166,03.10.2015,47,23,62,97,,0.6,7,2.3,5.8
2167,04.10.2015,52,25,59,96,,0.6,4,2.4,6.4
2168,05.10.2015,59,37,54,110,,0.5,4,1.7,5.0
2169,06.10.2015,58,32,54,102,,0.5,4,1.7,3.7
2170,07.10.2015,59,36,43,98,,0.4,4,1.8,3.9
2171,08.10.2015,27,36,41,96,,0.4,3,1.7,3.0
2172,09.10.2015,41,25,38,76,,0.4,6,1.6,2.7
2173,10.10.2015,30,8,25,37,,0.3,5,1.2,1.8
2174,11.10.2015,25,5,18,26,,0.3,4,1.1,1.4
2175,12.10.2015,31,21,36,68,,0.3,4,1.3,2.1
2176,13.10.2015,29,17,29,54,,0.3,1,1.4,1.9
2177,14.10.2015,34,21,30,62,,0.4,2,2.1,2.6
2178,15.10.2015,46,27,35,76,,0.4,2,2.2,2.6
2179,16.10.2015,33,54,44,127,,0.6,2,3.0,4.7
2180,17.10.2015,27,45,39,109,,0.6,2,2.8,4.5
2181,18.10.2015,23,43,43,109,,0.6,3,2.5,4.4
2182,19.10.2015,24,99,46,198,,0.7,2,2.8,5.4
2183,20.10.2015,19,26,34,73,,0.4,1,1.3,2.6
2184,21.10.2015,29,58,51,140,,0.4,2,1.5,4.1
2185,22.10.2015,31,39,38,98,,0.4,2,1.6,4.1
2186,23.10.2015,41,55,59,143,,0.4,2,1.5,4.1
2187,24.10.2015,42,45,47,116,,0.6,4,2.2,6.0
2188,25.10.2015,31,37,43,100,,0.5,2,1.7,4.7
2189,26.10.2015,36,76,58,174,,0.6,2,1.9,5.4
2190,27.10.2015,46,57,52,138,,0.6,3,2.3,4.3
2191,28.10.2015,58,39,44,104,,0.6,5,2.9,4.2
2192,29.10.2015,59,63,45,141,,0.6,4,3.1,5.3
2193,30.10.2015,62,76,46,163,,0.7,3,3.1,5.9
2194,31.10.2015,79,38,48,106,,0.8,5,3.7,5.6
2195,01.11.2015,56,48,53,125,,0.8,4,3.1,6.5
2196,02.11.2015,60,137,75,285,,0.9,5,3.5,9.0
2197,03.11.2015,73,179,78,352,,1.1,6,4.2,11.0
2198,04.11.2015,76,228,72,421,,1.2,4,5.2,12.0
2199,05.11.2015,70,152,58,289,,0.9,3,4.0,8.7
2200,06.11.2015,52,81,51,175,,0.8,2,3.6,8.0
2201,07.11.2015,21,36,37,92,,0.4,1,1.5,4.9
2202,08.11.2015,21,25,41,79,,0.4,2,1.4,3.8
2203,09.11.2015,23,45,47,115,,0.4,2,1.2,3.5
2204,10.11.2015,21,39,43,102,,0.3,1,1.1,3.3
2205,11.11.2015,24,53,47,127,,0.4,1,1.2,3.8
2206,12.11.2015,26,48,53,126,,0.5,1,1.3,4.2
2207,13.11.2015,23,24,37,74,,0.4,1,1.1,2.8
2208,14.11.2015,18,15,28,51,,0.3,1,0.9,2.0
2209,15.11.2015,7,10,21,36,,0.3,1,0.8,1.9
2210,16.11.2015,17,37,41,97,,0.4,2,1.2,3.4
2211,17.11.2015,13,15,28,50,,0.3,1,,1.8
2212,18.11.2015,14,28,37,79,,0.3,2,,
2213,19.11.2015,21,27,37,78,,0.3,1,1.3,4.6
2214,20.11.2015,19,46,52,123,,0.4,1,1.9,6.0
2215,21.11.2015,19,18,39,67,,0.4,1,2.0,5.3
2216,22.11.2015,13,21,38,71,,0.4,1,2.0,4.9
2217,23.11.2015,21,76,62,178,,0.5,2,2.4,6.6
2218,24.11.2015,28,51,46,124,,0.5,2,2.5,6.4
2219,25.11.2015,23,37,42,98,,0.5,2,2.4,6.3
2220,26.11.2015,29,86,63,195,,0.6,2,2.5,7.8
2221,27.11.2015,33,74,52,165,,0.7,2,2.6,7.0
2222,28.11.2015,22,32,43,92,,0.5,1,1.6,3.6
2223,29.11.2015,10,6,18,27,,0.3,1,1.1,1.8
2224,30.11.2015,22,44,49,116,,0.4,2,1.2,2.7
2225,01.12.2015,25,74,66,179,,0.5,2,1.5,3.7
2226,02.12.2015,28,50,57,133,,0.4,2,1.3,3.4
2227,03.12.2015,28,42,56,120,,0.5,2,1.6,4.3
2228,04.12.2015,25,30,44,89,,0.4,2,1.4,3.2
2229,05.12.2015,16,6,24,34,,0.3,2,1.0,2.0
2230,06.12.2015,14,4,18,25,,0.3,1,1.0,1.6
2231,07.12.2015,25,58,54,143,,0.5,2,1.8,4.4
2232,08.12.2015,39,67,45,147,,0.6,3,2.1,4.5
2233,09.12.2015,33,79,62,183,,0.6,3,1.9,4.4
2234,10.12.2015,28,35,46,98,,0.5,2,1.6,3.4
2235,11.12.2015,17,16,36,61,,0.4,1,1.3,2.5
2236,12.12.2015,21,25,41,79,,0.4,1,1.3,2.7
2237,13.12.2015,12,27,37,78,,0.4,1,1.3,2.7
2238,14.12.2015,25,100,61,214,,0.6,2,2.2,4.7
2239,15.12.2015,33,62,41,135,,0.5,2,2.1,4.0
2240,16.12.2015,55,78,44,163,,0.7,3,3.0,4.7
2241,17.12.2015,22,39,48,107,,0.5,2,1.7,4.0
2242,18.12.2015,31,43,50,115,,0.5,1,1.5,4.3
2243,19.12.2015,27,20,36,66,,0.4,1,1.4,3.3
2244,20.12.2015,29,22,34,68,,0.5,3,1.7,3.5
2245,21.12.2015,20,19,32,62,,0.3,1,1.2,2.8
2246,22.12.2015,12,12,27,46,,0.3,1,0.9,1.9
2247,23.12.2015,17,14,31,52,,0.3,1,0.9,2.0
2248,24.12.2015,21,24,35,72,,0.5,2,1.6,3.7
2249,25.12.2015,16,6,22,31,,0.3,1,0.9,1.7
2250,26.12.2015,11,3,15,20,,0.2,1,0.8,1.5
2251,27.12.2015,19,5,20,28,,0.3,1,0.9,1.7
2252,28.12.2015,30,14,31,53,,0.3,1,1.0,1.9
2253,29.12.2015,24,34,33,85,,0.4,2,1.6,2.5
2254,30.12.2015,35,43,38,103,,0.5,3,2.3,3.3
2255,31.12.2015,79,24,35,71,,0.5,9,2.4,2.8
2256,01.01.2016,256,44,35,101,,0.6,,2.7,3.3
2257,02.01.2016,49,15,22,44,,0.5,,2.8,2.3
2258,03.01.2016,48,16,21,45,,0.5,,3.0,2.5
2259,04.01.2016,70,31,34,81,,0.7,,4.4,3.5
2260,05.01.2016,90,29,34,79,,0.7,,5.3,4.0
2261,06.01.2016,89,33,34,84,,0.7,,5.1,3.5
2262,07.01.2016,101,48,36,110,,0.8,,5.5,3.9
2263,08.01.2016,40,29,44,88,,0.5,,2.6,3.1
2264,09.01.2016,29,51,55,133,,0.6,,2.5,4.4
2265,10.01.2016,43,44,41,107,,0.7,,3.9,4.7
2266,11.01.2016,28,91,58,197,,0.7,,3.2,5.2
2267,12.01.2016,25,78,54,173,,0.7,,3.3,5.2
2268,13.01.2016,14,42,43,107,,0.4,,1.7,3.4
2269,14.01.2016,22,35,46,99,,0.5,,2.1,3.3
2270,15.01.2016,38,41,37,99,,0.4,,2.3,3.0
2271,16.01.2016,25,23,36,71,,0.4,,1.7,2.7
2272,17.01.2016,25,9,24,38,,0.3,,1.4,1.6
2273,18.01.2016,22,54,56,138,,0.5,,2.0,3.6
2274,19.01.2016,36,59,56,145,,0.6,,2.8,3.6
2275,20.01.2016,29,44,52,119,,0.4,,1.6,2.7
2276,21.01.2016,26,58,62,150,,0.5,,1.7,3.1
2277,22.01.2016,45,77,67,185,,0.7,,2.8,4.3
2278,23.01.2016,43,60,56,147,,0.7,,2.7,4.3
2279,24.01.2016,32,27,45,87,,0.6,,2.3,3.7
2280,25.01.2016,30,96,49,196,,0.7,,2.3,4.9
2281,26.01.2016,31,29,39,83,,0.4,,1.6,3.3
2282,27.01.2016,17,10,27,42,,0.3,,1.0,1.8
2283,28.01.2016,29,39,48,107,,0.4,,1.2,2.4
2284,29.01.2016,29,19,36,64,,0.4,,1.5,3.0
2285,30.01.2016,9,7,19,29,,0.3,,0.9,1.3
2286,31.01.2016,18,8,24,37,,0.3,,1.0,1.5
2287,01.02.2016,16,29,39,83,,0.4,,1.3,2.6
2288,02.02.2016,19,25,36,74,,0.3,,1.0,2.1
2289,03.02.2016,28,32,42,90,,0.4,,1.1,2.1
2290,04.02.2016,21,50,49,126,,0.4,,1.4,2.7
2291,05.02.2016,20,30,41,87,,0.4,,1.4,2.7
2292,06.02.2016,20,20,36,67,,0.5,,1.6,3.0
2293,07.02.2016,25,15,36,58,,0.5,,1.9,3.1
2294,08.02.2016,13,17,31,56,,0.3,,1.1,2.0
2295,09.02.2016,16,14,26,47,,0.3,,0.9,1.7
2296,10.02.2016,17,17,33,59,,0.3,,1.1,2.3
2297,11.02.2016,21,43,51,116,,0.4,,1.3,2.9
2298,12.02.2016,38,44,55,122,,0.5,,1.8,3.9
2299,13.02.2016,49,28,42,85,,0.5,,2.6,3.4
2300,14.02.2016,56,13,22,43,,0.5,,3.0,2.8
2301,15.02.2016,37,36,31,86,,0.4,,2.0,2.6
2302,16.02.2016,25,30,41,86,,0.4,,1.3,2.1
2303,17.02.2016,33,37,40,97,,0.4,,1.9,2.7
2304,18.02.2016,42,49,45,120,,0.6,,2.4,4.1
2305,19.02.2016,42,56,50,137,,0.5,,2.0,3.6
2306,20.02.2016,24,10,28,43,,0.4,,1.3,2.1
2307,21.02.2016,9,8,24,36,,0.3,,0.9,1.8
2308,22.02.2016,10,26,38,78,,0.3,,1.0,2.2
2309,23.02.2016,24,47,51,124,,0.4,,1.3,3.1
2310,24.02.2016,27,54,59,141,,0.4,,1.3,2.8
2311,25.02.2016,23,45,61,130,,0.5,,1.6,3.6
2312,26.02.2016,34,62,63,158,,0.5,,1.7,3.7
2313,27.02.2016,33,31,44,91,,0.5,,1.9,3.0
2314,28.02.2016,44,3,14,18,,0.4,,2.4,1.6
2315,29.02.2016,33,5,19,27,,0.3,,1.4,1.2
2316,01.03.2016,35,26,38,78,,0.4,,1.6,2.8
2317,02.03.2016,29,29,45,89,,0.5,,1.7,3.1
2318,03.03.2016,33,59,61,151,,0.5,,2.0,4.3
2319,04.03.2016,31,60,60,151,,0.5,,1.9,4.2
2320,05.03.2016,52,22,37,71,,0.5,,2.5,3.1
2321,06.03.2016,45,24,37,74,,0.6,,2.7,3.7
2322,07.03.2016,38,55,60,144,,0.6,,2.1,4.5
2323,08.03.2016,53,139,82,294,,0.8,,3.0,7.0
2324,09.03.2016,54,57,58,145,,0.5,,1.9,3.8
2325,10.03.2016,42,13,24,44,,0.4,,1.7,1.9
2326,11.03.2016,31,5,20,29,,0.3,,1.4,1.4
2327,12.03.2016,24,2,13,16,,0.3,,0.9,0.8
2328,13.03.2016,25,5,17,24,,0.3,,0.9,1.1
2329,14.03.2016,34,20,38,69,,0.4,,1.2,2.1
2330,15.03.2016,20,9,22,35,,0.3,,0.8,1.2
2331,16.03.2016,32,24,39,76,,0.4,,1.5,2.3
2332,17.03.2016,46,84,82,210,,0.6,,2.2,5.1
2333,18.03.2016,25,28,42,85,,0.3,,1.1,2.4
2334,19.03.2016,27,24,38,75,,0.4,,1.1,2.7
2335,20.03.2016,17,18,36,63,,0.3,,0.9,2.1
2336,21.03.2016,18,45,53,121,,0.4,,1.1,2.6
2337,22.03.2016,16,34,50,101,,0.4,,1.2,2.6
2338,23.03.2016,23,33,46,97,,0.4,,1.1,2.5
2339,24.03.2016,34,33,54,104,,0.5,,,
2340,25.03.2016,33,17,39,65,,0.4,,,
2341,26.03.2016,25,14,31,51,,0.4,,,
2342,27.03.2016,36,10,28,42,,0.4,,,
2343,28.03.2016,16,8,25,38,,0.3,,,
2344,29.03.2016,12,30,45,90,,0.4,,,
2345,30.03.2016,20,35,52,105,,0.4,,1.3,3.0
2346,31.03.2016,22,24,44,81,,0.3,,1.0,2.3
2347,01.04.2016,17,13,37,56,,0.3,,0.9,2.0
2348,02.04.2016,22,23,43,79,,0.4,,1.5,3.5
2349,03.04.2016,34,13,42,62,,0.4,,1.8,4.0
2350,04.04.2016,54,63,82,179,,0.7,,2.8,7.8
2351,05.04.2016,60,48,64,137,,0.5,,2.2,6.4
2352,06.04.2016,27,26,43,82,,0.4,,1.1,3.0
2353,07.04.2016,22,30,49,96,,0.4,,1.1,3.1
2354,08.04.2016,30,46,60,129,,0.4,,1.4,3.6
2355,09.04.2016,33,22,38,71,,0.4,,1.2,3.0
2356,10.04.2016,21,4,18,25,,0.3,,0.8,1.3
2357,11.04.2016,25,7,27,37,,0.3,,0.9,1.6
2358,12.04.2016,47,42,53,117,,0.5,,2.0,4.2
2359,13.04.2016,52,49,53,127,,0.5,,1.9,4.6
2360,14.04.2016,32,28,48,90,,0.4,,1.2,2.6
2361,15.04.2016,34,53,59,141,,0.5,,1.8,4.9
2362,16.04.2016,17,14,34,55,,0.4,,1.1,2.9
2363,17.04.2016,13,12,32,50,,0.3,,0.9,2.2
2364,18.04.2016,19,38,52,109,,0.4,,1.2,3.4
2365,19.04.2016,22,31,42,90,,0.3,,1.0,2.2
2366,20.04.2016,18,31,39,86,,0.3,,0.8,2.1
2367,21.04.2016,25,37,53,110,,0.4,,1.1,3.3
2368,22.04.2016,19,24,39,76,,0.3,,0.9,2.6
2369,23.04.2016,16,12,28,46,,0.3,,0.7,1.9
2370,24.04.2016,11,10,24,40,,0.3,,0.6,1.5
2371,25.04.2016,17,32,40,89,,0.3,,1.0,2.3
2372,26.04.2016,15,35,44,97,,0.4,,1.2,3.2
2373,27.04.2016,15,16,30,55,,0.3,,0.8,2.1
2374,28.04.2016,17,25,47,85,,0.4,,1.0,2.8
2375,29.04.2016,23,34,54,106,,0.4,,1.4,4.3
2376,30.04.2016,23,18,52,79,,0.4,,1.4,3.6
2377,01.05.2016,26,1,14,16,,0.3,,0.8,1.1
2378,02.05.2016,21,18,48,74,,0.3,,1.1,3.2
2379,03.05.2016,31,42,56,120,,0.4,,1.4,4.3
2380,04.05.2016,14,10,29,44,,0.3,,0.6,1.6
2381,05.05.2016,16,3,22,27,,0.3,,0.6,1.8
2382,06.05.2016,23,14,45,67,,0.3,,0.9,3.2
2383,07.05.2016,27,9,39,53,,0.3,,0.9,2.7
2384,08.05.2016,23,5,30,38,,0.3,,0.8,2.3
2385,09.05.2016,28,16,46,70,,0.3,,0.8,2.9
2386,10.05.2016,28,16,46,71,,0.3,,0.9,3.3
2387,11.05.2016,26,20,54,85,,0.4,,1.1,3.7
2388,12.05.2016,29,6,27,37,,0.2,,0.8,1.8
2389,13.05.2016,22,2,16,19,,0.2,,0.5,1.1
2390,14.05.2016,22,10,29,44,,0.3,,0.6,2.1
2391,15.05.2016,11,10,22,38,,0.2,,0.5,1.4
2392,16.05.2016,13,10,25,41,,0.2,,0.5,1.7
2393,17.05.2016,14,41,59,122,,0.3,,1.0,3.5
2394,18.05.2016,31,27,57,99,,0.4,,1.1,4.3
2395,19.05.2016,38,31,68,116,,0.4,,,5.3
2396,20.05.2016,32,25,51,89,,0.3,,,
2397,21.05.2016,28,9,34,49,,0.3,,,
2398,22.05.2016,26,8,35,47,,0.3,,,
2399,23.05.2016,37,17,49,76,,0.3,,,3.6
2400,24.05.2016,34,21,37,69,,0.3,,0.8,3.4
2401,25.05.2016,30,45,48,117,,0.4,,1.1,4.5
2402,26.05.2016,39,52,50,129,,0.4,,1.3,4.8
2403,27.05.2016,31,31,52,100,,0.4,,,4.7
2404,28.05.2016,23,3,16,20,,0.2,,0.5,1.5
2405,29.05.2016,25,2,18,22,,0.2,,0.6,1.8
2406,30.05.2016,31,14,42,62,,0.3,,1.0,3.5
2407,31.05.2016,37,14,32,54,,0.3,,0.9,3.5
2408,01.06.2016,27,14,31,52,,0.3,,,1.9
2409,02.06.2016,26,22,50,84,,0.3,,,4.5
2410,03.06.2016,28,11,41,58,,0.3,,0.9,3.4
2411,04.06.2016,30,6,29,39,,0.3,,0.8,3.2
2412,05.06.2016,27,3,18,22,,0.2,,0.7,2.4
2413,06.06.2016,17,12,27,45,,0.2,,0.5,1.9
2414,07.06.2016,23,13,40,60,,0.3,,0.8,3.0
2415,08.06.2016,29,26,51,91,,0.3,,1.2,4.5
2416,09.06.2016,25,11,27,44,,0.2,,0.6,2.2
2417,10.06.2016,24,21,34,66,,0.3,,0.7,2.9
2418,11.06.2016,13,3,13,18,,0.2,,0.3,1.1
2419,12.06.2016,16,3,14,19,,0.2,,0.4,1.2
2420,13.06.2016,28,11,27,44,,0.2,,0.7,2.1
2421,14.06.2016,30,27,45,87,,0.3,,1.1,4.2
2422,15.06.2016,21,35,49,103,,0.3,,1.2,4.9
2423,16.06.2016,18,24,40,76,,0.3,,,3.6
2424,17.06.2016,20,32,46,95,,0.3,,1.0,3.5
2425,18.06.2016,20,10,29,44,,0.3,,0.9,3.2
2426,19.06.2016,21,8,25,37,,0.3,,0.8,2.8
2427,20.06.2016,21,19,37,67,,0.3,,0.9,3.5
2428,21.06.2016,19,28,47,90,,0.3,,1.2,4.2
2429,22.06.2016,26,28,52,94,,0.4,,2.2,6.6
2430,23.06.2016,25,29,55,98,,0.4,,1.4,5.9
2431,24.06.2016,31,15,52,75,,0.3,,1.3,5.1
2432,25.06.2016,31,6,29,38,,0.3,,0.8,2.8
2433,26.06.2016,14,9,24,38,,0.2,,0.7,2.6
2434,27.06.2016,19,39,50,109,,0.3,,1.2,4.7
2435,28.06.2016,18,25,43,81,,0.3,,,3.4
2436,29.06.2016,21,26,46,86,,0.3,,,
2437,30.06.2016,24,32,57,106,,0.4,,,
2438,01.07.2016,23,21,39,71,,0.3,,,
2439,02.07.2016,17,13,29,50,,0.3,,,
2440,03.07.2016,12,8,20,32,,0.2,,,
2441,04.07.2016,19,31,51,98,,0.3,,,4.5
2442,05.07.2016,25,27,47,88,,0.3,,1.1,4.2
2443,06.07.2016,16,27,34,76,,0.2,,,
2444,07.07.2016,17,29,41,85,,0.3,,,4.2
2445,08.07.2016,25,20,50,81,,0.3,,1.1,4.0
2446,09.07.2016,16,11,29,45,,0.2,,0.8,2.7
2447,10.07.2016,18,6,26,35,,0.3,,1.0,3.9
2448,11.07.2016,22,26,54,94,,0.3,,1.2,4.5
2449,12.07.2016,21,31,54,101,,0.3,,1.3,4.7
