,Feinstaub (PM10)µg/m³,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ortschaft
2010-02-22,25,76,74,196,Karl-Marx-Straße
2010-02-23,16,46,52,126,Karl-Marx-Straße
2010-02-24,26,31,41,88,Karl-Marx-Straße
2010-02-25,39,95,72,224,Karl-Marx-Straße
2010-02-26,48,86,74,206,Karl-Marx-Straße
2010-02-27,36,51,55,133,Karl-Marx-Straße
2010-02-28,23,27,43,86,Karl-Marx-Straße
2010-03-01,17,54,50,133,Karl-Marx-Straße
2010-03-02,41,65,63,163,Karl-Marx-Straße
2010-03-03,36,69,71,177,Karl-Marx-Straße
2010-03-04,32,57,68,155,Karl-Marx-Straße
2010-03-05,29,54,65,147,Karl-Marx-Straße
2010-03-06,20,10,31,46,Karl-Marx-Straße
2010-03-07,22,17,43,69,Karl-Marx-Straße
2010-03-08,26,19,45,73,Karl-Marx-Straße
2010-03-09,55,49,74,149,Karl-Marx-Straße
2010-03-10,62,30,60,105,Karl-Marx-Straße
2010-03-11,75,40,57,117,Karl-Marx-Straße
2010-03-12,39,84,67,195,Karl-Marx-Straße
2010-03-13,15,42,48,111,Karl-Marx-Straße
2010-03-14,8,24,37,74,Karl-Marx-Straße
2010-03-15,20,69,72,178,Karl-Marx-Straße
2010-03-16,25,56,65,150,Karl-Marx-Straße
2010-03-17,54,87,80,212,Karl-Marx-Straße
2010-03-18,62,79,90,211,Karl-Marx-Straße
2010-03-19,61,77,88,207,Karl-Marx-Straße
2010-03-20,28,53,60,142,Karl-Marx-Straße
2010-03-21,17,28,39,82,Karl-Marx-Straße
2010-03-22,34,70,74,181,Karl-Marx-Straße
2010-03-23,45,79,81,202,Karl-Marx-Straße
2010-03-24,46,60,76,168,Karl-Marx-Straße
2010-03-25,62,82,98,223,Karl-Marx-Straße
2010-03-26,53,68,85,189,Karl-Marx-Straße
2010-03-27,21,44,52,120,Karl-Marx-Straße
2010-03-28,20,30,44,90,Karl-Marx-Straße
2010-03-29,24,77,83,200,Karl-Marx-Straße
2010-03-30,32,34,51,103,Karl-Marx-Straße
2010-03-31,33,68,71,174,Karl-Marx-Straße
2010-04-01,24,67,76,177,Karl-Marx-Straße
2010-04-02,22,34,59,111,Karl-Marx-Straße
2010-04-03,35,33,58,107,Karl-Marx-Straße
2010-04-04,22,25,42,80,Karl-Marx-Straße
