,Feinstaub (PM10)µg/m³,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ortschaft
2011-03-19,18,32,44,94,Karl-Marx-Straße
2011-03-20,26,44,51,117,Karl-Marx-Straße
2011-03-21,36,94,84,228,Karl-Marx-Straße
2011-03-22,37,82,81,207,Karl-Marx-Straße
2011-03-23,27,49,57,132,Karl-Marx-Straße
2011-03-24,26,47,53,125,Karl-Marx-Straße
2011-03-25,24,62,63,158,Karl-Marx-Straße
2011-03-26,16,14,30,51,Karl-Marx-Straße
2011-03-27,25,37,50,106,Karl-Marx-Straße
2011-03-28,27,72,78,187,Karl-Marx-Straße
2011-03-29,31,89,81,216,Karl-Marx-Straße
2011-03-30,58,103,90,248,Karl-Marx-Straße
2011-03-31,34,68,62,166,Karl-Marx-Straße
2011-04-01,28,61,57,150,Karl-Marx-Straße
2011-04-02,30,51,45,124,Karl-Marx-Straße
2011-04-03,29,22,36,70,Karl-Marx-Straße
2011-04-04,18,56,60,144,Karl-Marx-Straße
2011-04-05,25,61,55,148,Karl-Marx-Straße
2011-04-06,31,64,46,143,Karl-Marx-Straße
2011-04-07,29,50,42,118,Karl-Marx-Straße
2011-04-08,30,43,40,106,Karl-Marx-Straße
2011-04-09,30,17,28,53,Karl-Marx-Straße
2011-04-10,13,15,34,56,Karl-Marx-Straße
2011-04-11,30,87,84,217,Karl-Marx-Straße
2011-04-12,30,45,48,117,Karl-Marx-Straße
2011-04-13,12,46,44,115,Karl-Marx-Straße
2011-04-14,13,36,42,97,Karl-Marx-Straße
2011-04-15,21,33,48,98,Karl-Marx-Straße
2011-04-16,27,53,70,151,Karl-Marx-Straße
2011-04-17,38,41,63,125,Karl-Marx-Straße
2011-04-18,52,85,87,216,Karl-Marx-Straße
2011-04-19,36,23,46,81,Karl-Marx-Straße
2011-04-20,28,29,52,96,Karl-Marx-Straße
2011-04-21,32,17,47,73,Karl-Marx-Straße
2011-04-22,35,5,26,34,Karl-Marx-Straße
2011-04-23,33,4,22,28,Karl-Marx-Straße
2011-04-24,30,3,14,19,Karl-Marx-Straße
2011-04-25,30,3,17,22,Karl-Marx-Straße
2011-04-26,35,20,49,79,Karl-Marx-Straße
2011-04-27,33,36,48,104,Karl-Marx-Straße
2011-04-28,45,10,35,50,Karl-Marx-Straße
2011-04-29,38,7,24,34,Karl-Marx-Straße
2011-04-30,19,5,13,22,Karl-Marx-Straße
2011-05-01,14,4,11,18,Karl-Marx-Straße
2011-05-02,14,11,25,41,Karl-Marx-Straße
2011-05-03,12,14,25,46,Karl-Marx-Straße
2011-05-04,14,39,48,107,Karl-Marx-Straße
2011-05-05,22,61,82,175,Karl-Marx-Straße
2011-05-06,30,58,87,175,Karl-Marx-Straße
2011-05-07,26,12,38,56,Karl-Marx-Straße
2011-05-08,17,6,21,30,Karl-Marx-Straße
2011-05-09,31,29,54,98,Karl-Marx-Straße
2011-05-10,32,44,82,150,Karl-Marx-Straße
2011-05-11,39,37,80,137,Karl-Marx-Straße
2011-05-12,33,27,67,108,Karl-Marx-Straße
2011-05-13,25,55,68,152,Karl-Marx-Straße
2011-05-14,24,36,64,118,Karl-Marx-Straße
2011-05-15,13,21,36,68,Karl-Marx-Straße
2011-05-16,17,49,49,124,Karl-Marx-Straße
2011-05-17,23,59,49,138,Karl-Marx-Straße
2011-05-18,32,66,76,177,Karl-Marx-Straße
2011-05-19,34,43,82,147,Karl-Marx-Straße
2011-05-20,26,36,64,119,Karl-Marx-Straße
2011-05-21,28,9,35,49,Karl-Marx-Straße
2011-05-22,22,17,38,64,Karl-Marx-Straße
2011-05-23,25,48,61,134,Karl-Marx-Straße
2011-05-24,31,43,60,126,Karl-Marx-Straße
2011-05-25,32,48,63,137,Karl-Marx-Straße
2011-05-26,37,45,78,146,Karl-Marx-Straße
2011-05-27,33,51,58,136,Karl-Marx-Straße
2011-05-28,20,35,47,100,Karl-Marx-Straße
2011-05-29,21,25,44,83,Karl-Marx-Straße
2011-05-30,31,52,89,169,Karl-Marx-Straße
2011-05-31,26,39,76,136,Karl-Marx-Straße
2011-06-01,15,9,23,36,Karl-Marx-Straße
2011-06-02,9,3,19,23,Karl-Marx-Straße
2011-06-03,15,8,27,39,Karl-Marx-Straße
2011-06-04,17,7,26,37,Karl-Marx-Straße
2011-06-05,28,7,30,41,Karl-Marx-Straße
2011-06-06,36,44,79,147,Karl-Marx-Straße
2011-06-07,27,47,67,139,Karl-Marx-Straße
2011-06-08,30,31,47,94,Karl-Marx-Straße
2011-06-09,22,46,57,128,Karl-Marx-Straße
2011-06-10,22,27,53,94,Karl-Marx-Straße
2011-06-11,27,34,63,115,Karl-Marx-Straße
2011-06-12,14,7,26,37,Karl-Marx-Straße
2011-06-13,17,17,34,60,Karl-Marx-Straße
2011-06-14,20,50,57,133,Karl-Marx-Straße
2011-06-15,26,46,71,142,Karl-Marx-Straße
2011-06-16,32,51,79,157,Karl-Marx-Straße
2011-06-17,18,38,49,107,Karl-Marx-Straße
2011-06-18,20,38,47,104,Karl-Marx-Straße
2011-06-19,11,21,24,56,Karl-Marx-Straße
2011-06-20,15,51,57,135,Karl-Marx-Straße
2011-06-21,17,55,56,141,Karl-Marx-Straße
2011-06-22,24,48,55,128,Karl-Marx-Straße
2011-06-23,23,50,54,130,Karl-Marx-Straße
2011-06-24,24,49,55,129,Karl-Marx-Straße
2011-06-25,18,37,46,103,Karl-Marx-Straße
2011-06-26,12,18,31,59,Karl-Marx-Straße
2011-06-27,15,17,33,58,Karl-Marx-Straße
2011-06-28,16,18,33,61,Karl-Marx-Straße
2011-06-29,19,20,46,76,Karl-Marx-Straße
2011-06-30,20,52,50,129,Karl-Marx-Straße
2011-07-01,15,40,45,106,Karl-Marx-Straße
2011-07-02,13,34,34,85,Karl-Marx-Straße
2011-07-03,8,29,29,73,Karl-Marx-Straße
2011-07-04,16,74,47,159,Karl-Marx-Straße
2011-07-05,19,16,36,60,Karl-Marx-Straße
2011-07-06,20,23,49,85,Karl-Marx-Straße
2011-07-07,27,33,61,110,Karl-Marx-Straße
2011-07-08,28,49,68,144,Karl-Marx-Straße
2011-07-09,22,33,60,110,Karl-Marx-Straße
2011-07-10,14,4,18,24,Karl-Marx-Straße
2011-07-11,18,24,45,81,Karl-Marx-Straße
2011-07-12,24,39,55,114,Karl-Marx-Straße
2011-07-13,26,15,40,63,Karl-Marx-Straße
2011-07-14,19,41,42,105,Karl-Marx-Straße
2011-07-15,17,40,38,99,Karl-Marx-Straße
2011-07-16,22,31,53,101,Karl-Marx-Straße
2011-07-17,16,17,30,55,Karl-Marx-Straße
2011-07-18,13,44,41,108,Karl-Marx-Straße
2011-07-19,17,38,44,102,Karl-Marx-Straße
2011-07-20,19,5,23,31,Karl-Marx-Straße
2011-07-21,19,42,49,114,Karl-Marx-Straße
2011-07-22,12,40,34,95,Karl-Marx-Straße
2011-07-23,14,31,31,79,Karl-Marx-Straße
2011-07-24,12,19,27,55,Karl-Marx-Straße
2011-07-25,14,50,46,123,Karl-Marx-Straße
2011-07-26,19,36,50,105,Karl-Marx-Straße
2011-07-27,19,18,36,63,Karl-Marx-Straße
2011-07-28,24,56,67,152,Karl-Marx-Straße
2011-07-29,16,62,56,151,Karl-Marx-Straße
2011-07-30,16,49,43,118,Karl-Marx-Straße
2011-07-31,11,32,30,79,Karl-Marx-Straße
2011-08-01,23,56,46,132,Karl-Marx-Straße
2011-08-02,21,33,46,97,Karl-Marx-Straße
2011-08-03,31,20,36,67,Karl-Marx-Straße
2011-08-04,32,55,64,148,Karl-Marx-Straße
2011-08-05,29,61,63,157,Karl-Marx-Straße
2011-08-06,26,37,56,112,Karl-Marx-Straße
2011-08-07,17,26,30,69,Karl-Marx-Straße
2011-08-08,15,58,45,133,Karl-Marx-Straße
2011-08-09,14,44,36,103,Karl-Marx-Straße
2011-08-10,19,52,42,121,Karl-Marx-Straße
2011-08-11,22,58,55,143,Karl-Marx-Straße
2011-08-12,20,59,58,149,Karl-Marx-Straße
2011-08-13,20,44,51,118,Karl-Marx-Straße
2011-08-14,23,25,36,75,Karl-Marx-Straße
2011-08-15,22,73,63,175,Karl-Marx-Straße
2011-08-16,22,55,60,144,Karl-Marx-Straße
2011-08-17,32,78,83,202,Karl-Marx-Straße
2011-08-18,35,37,62,118,Karl-Marx-Straße
2011-08-19,25,53,59,141,Karl-Marx-Straße
2011-08-20,21,37,50,107,Karl-Marx-Straße
2011-08-21,27,31,55,102,Karl-Marx-Straße
2011-08-22,27,40,47,109,Karl-Marx-Straße
2011-08-23,20,20,37,67,Karl-Marx-Straße
2011-08-24,34,38,58,117,Karl-Marx-Straße
2011-08-25,30,40,58,120,Karl-Marx-Straße
2011-08-26,39,17,42,69,Karl-Marx-Straße
2011-08-27,22,44,41,109,Karl-Marx-Straße
2011-08-28,10,29,29,73,Karl-Marx-Straße
2011-08-29,17,66,53,153,Karl-Marx-Straße
2011-08-30,18,66,51,152,Karl-Marx-Straße
2011-08-31,23,75,65,179,Karl-Marx-Straße
2011-09-01,18,48,56,130,Karl-Marx-Straße
2011-09-02,24,40,60,121,Karl-Marx-Straße
2011-09-03,33,35,69,122,Karl-Marx-Straße
2011-09-04,33,19,53,82,Karl-Marx-Straße
2011-09-05,26,70,60,166,Karl-Marx-Straße
2011-09-06,20,52,48,128,Karl-Marx-Straße
2011-09-07,19,47,44,115,Karl-Marx-Straße
2011-09-08,17,60,45,137,Karl-Marx-Straße
2011-09-09,18,76,59,176,Karl-Marx-Straße
2011-09-10,23,67,49,151,Karl-Marx-Straße
2011-09-11,19,29,40,84,Karl-Marx-Straße
2011-09-12,17,49,43,119,Karl-Marx-Straße
2011-09-13,23,54,47,134,Karl-Marx-Straße
2011-09-14,26,50,40,119,Karl-Marx-Straße
2011-09-15,20,59,47,141,Karl-Marx-Straße
2011-09-16,22,53,53,138,Karl-Marx-Straße
2011-09-17,32,59,60,154,Karl-Marx-Straße
2011-09-18,17,34,37,91,Karl-Marx-Straße
2011-09-19,19,76,48,169,Karl-Marx-Straße
2011-09-20,27,86,60,197,Karl-Marx-Straße
2011-09-21,32,77,64,186,Karl-Marx-Straße
2011-09-22,28,66,57,162,Karl-Marx-Straße
2011-09-23,39,85,69,203,Karl-Marx-Straße
2011-09-24,40,73,66,182,Karl-Marx-Straße
2011-09-25,39,58,59,152,Karl-Marx-Straße
2011-09-26,48,107,82,252,Karl-Marx-Straße
2011-09-27,33,59,63,157,Karl-Marx-Straße
2011-09-28,34,126,79,279,Karl-Marx-Straße
2011-09-29,46,166,98,355,Karl-Marx-Straße
2011-09-30,58,238,108,471,Karl-Marx-Straße
2011-10-01,51,143,88,306,Karl-Marx-Straße
2011-10-02,47,82,80,204,Karl-Marx-Straße
2011-10-03,40,37,63,119,Karl-Marx-Straße
2011-10-04,37,65,67,166,Karl-Marx-Straße
2011-10-05,26,62,49,144,Karl-Marx-Straße
2011-10-06,18,47,38,110,Karl-Marx-Straße
2011-10-07,21,78,49,168,Karl-Marx-Straße
2011-10-08,14,50,41,117,Karl-Marx-Straße
2011-10-09,11,39,36,95,Karl-Marx-Straße
2011-10-10,12,71,42,151,Karl-Marx-Straße
2011-10-11,,76,62,179,Karl-Marx-Straße
2011-10-12,,79,55,176,Karl-Marx-Straße
2011-10-13,,47,43,114,Karl-Marx-Straße
2011-10-14,14,39,49,108,Karl-Marx-Straße
2011-10-15,21,63,54,150,Karl-Marx-Straße
2011-10-16,20,37,41,97,Karl-Marx-Straße
2011-10-17,34,106,63,224,Karl-Marx-Straße
2011-10-18,31,72,53,164,Karl-Marx-Straße
2011-10-19,18,68,49,153,Karl-Marx-Straße
2011-10-20,18,92,63,204,Karl-Marx-Straße
2011-10-21,26,114,68,241,Karl-Marx-Straße
2011-10-22,32,78,59,177,Karl-Marx-Straße
2011-10-23,46,27,37,78,Karl-Marx-Straße
2011-10-24,46,27,31,73,Karl-Marx-Straße
2011-10-25,43,22,31,64,Karl-Marx-Straße
2011-10-26,36,99,48,199,Karl-Marx-Straße
2011-10-27,38,52,37,117,Karl-Marx-Straße
2011-10-28,39,105,57,217,Karl-Marx-Straße
2011-10-29,49,114,58,232,Karl-Marx-Straße
2011-10-30,45,63,40,137,Karl-Marx-Straße
2011-10-31,44,108,58,223,Karl-Marx-Straße
2011-11-01,53,92,67,208,Karl-Marx-Straße
2011-11-02,50,103,62,219,Karl-Marx-Straße
2011-11-03,54,75,58,173,Karl-Marx-Straße
2011-11-04,62,77,62,179,Karl-Marx-Straße
2011-11-05,69,24,37,74,Karl-Marx-Straße
2011-11-06,71,31,42,89,Karl-Marx-Straße
2011-11-07,77,41,45,107,Karl-Marx-Straße
2011-11-08,77,56,49,135,Karl-Marx-Straße
2011-11-09,74,44,38,106,Karl-Marx-Straße
2011-11-10,38,35,35,89,Karl-Marx-Straße
2011-11-11,38,34,38,91,Karl-Marx-Straße
2011-11-12,55,46,51,121,Karl-Marx-Straße
2011-11-13,96,52,54,134,Karl-Marx-Straße
2011-11-14,115,93,65,207,Karl-Marx-Straße
2011-11-15,35,36,41,96,Karl-Marx-Straße
2011-11-16,35,47,47,120,Karl-Marx-Straße
2011-11-17,53,93,60,202,Karl-Marx-Straße
2011-11-18,47,111,67,236,Karl-Marx-Straße
2011-11-19,35,115,59,234,Karl-Marx-Straße
2011-11-20,38,74,53,167,Karl-Marx-Straße
2011-11-21,50,50,50,126,Karl-Marx-Straße
2011-11-22,59,58,47,136,Karl-Marx-Straße
2011-11-23,67,116,58,236,Karl-Marx-Straße
2011-11-24,50,157,65,305,Karl-Marx-Straße
2011-11-25,26,89,68,204,Karl-Marx-Straße
2011-11-26,22,54,50,133,Karl-Marx-Straße
2011-11-27,13,23,28,63,Karl-Marx-Straße
2011-11-28,25,99,74,226,Karl-Marx-Straße
2011-11-29,27,103,73,231,Karl-Marx-Straße
2011-11-30,27,107,77,240,Karl-Marx-Straße
2011-12-01,26,105,67,228,Karl-Marx-Straße
2011-12-02,20,69,62,168,Karl-Marx-Straße
2011-12-03,16,47,46,118,Karl-Marx-Straße
2011-12-04,12,45,47,116,Karl-Marx-Straße
2011-12-05,10,77,63,180,Karl-Marx-Straße
2011-12-06,13,83,64,190,Karl-Marx-Straße
2011-12-07,13,67,56,158,Karl-Marx-Straße
2011-12-08,13,74,55,169,Karl-Marx-Straße
2011-12-09,11,57,56,143,Karl-Marx-Straße
2011-12-10,17,55,54,137,Karl-Marx-Straße
2011-12-11,18,43,47,112,Karl-Marx-Straße
2011-12-12,21,89,67,203,Karl-Marx-Straße
2011-12-13,12,61,59,153,Karl-Marx-Straße
2011-12-14,8,65,61,161,Karl-Marx-Straße
2011-12-15,9,75,64,179,Karl-Marx-Straße
2011-12-16,7,56,55,142,Karl-Marx-Straße
2011-12-17,11,47,44,116,Karl-Marx-Straße
2011-12-18,12,35,37,90,Karl-Marx-Straße
2011-12-19,21,83,60,188,Karl-Marx-Straße
2011-12-20,21,86,66,197,Karl-Marx-Straße
2011-12-21,17,88,68,202,Karl-Marx-Straße
2011-12-22,26,106,67,229,Karl-Marx-Straße
2011-12-23,17,111,61,232,Karl-Marx-Straße
2011-12-24,11,41,41,103,Karl-Marx-Straße
2011-12-25,13,30,33,79,Karl-Marx-Straße
2011-12-26,12,31,31,78,Karl-Marx-Straße
2011-12-27,19,63,54,151,Karl-Marx-Straße
2011-12-28,19,64,52,150,Karl-Marx-Straße
2011-12-29,14,50,43,119,Karl-Marx-Straße
2011-12-30,11,76,58,174,Karl-Marx-Straße
2011-12-31,32,68,53,157,Karl-Marx-Straße
2012-01-01,45,53,39,121,Karl-Marx-Straße
2012-01-02,14,71,60,168,Karl-Marx-Straße
2012-01-03,15,43,41,107,Karl-Marx-Straße
2012-01-04,14,49,43,118,Karl-Marx-Straße
2012-01-05,8,43,39,105,Karl-Marx-Straße
2012-01-06,14,59,48,139,Karl-Marx-Straße
2012-01-07,16,48,43,117,Karl-Marx-Straße
2012-01-08,,,,,Karl-Marx-Straße
2012-01-09,,110,64,232,Karl-Marx-Straße
2012-01-10,22,62,52,146,Karl-Marx-Straße
2012-01-11,26,69,54,158,Karl-Marx-Straße
2012-01-12,17,54,43,126,Karl-Marx-Straße
2012-01-13,15,53,47,128,Karl-Marx-Straße
2012-01-14,16,43,43,110,Karl-Marx-Straße
2012-01-15,14,25,39,77,Karl-Marx-Straße
2012-01-16,27,98,64,214,Karl-Marx-Straße
2012-01-17,25,85,62,192,Karl-Marx-Straße
2012-01-18,37,107,73,236,Karl-Marx-Straße
2012-01-19,22,86,57,189,Karl-Marx-Straße
2012-01-20,15,73,62,173,Karl-Marx-Straße
2012-01-21,17,50,46,123,Karl-Marx-Straße
2012-01-22,11,25,31,69,Karl-Marx-Straße
2012-01-23,22,96,62,210,Karl-Marx-Straße
2012-01-24,30,62,57,151,Karl-Marx-Straße
2012-01-25,31,56,57,143,Karl-Marx-Straße
2012-01-26,39,60,52,143,Karl-Marx-Straße
2012-01-27,57,43,46,111,Karl-Marx-Straße
2012-01-28,97,18,39,66,Karl-Marx-Straße
2012-01-29,86,12,31,49,Karl-Marx-Straße
2012-01-30,61,18,34,61,Karl-Marx-Straße
2012-01-31,56,18,34,61,Karl-Marx-Straße
2012-02-01,53,16,35,59,Karl-Marx-Straße
2012-02-02,53,46,51,122,Karl-Marx-Straße
2012-02-03,36,84,70,199,Karl-Marx-Straße
2012-02-04,29,56,64,150,Karl-Marx-Straße
2012-02-05,50,30,49,95,Karl-Marx-Straße
2012-02-06,59,24,44,80,Karl-Marx-Straße
2012-02-07,46,20,41,71,Karl-Marx-Straße
2012-02-08,46,33,49,99,Karl-Marx-Straße
2012-02-09,36,25,41,80,Karl-Marx-Straße
2012-02-10,47,26,46,86,Karl-Marx-Straße
2012-02-11,49,38,58,116,Karl-Marx-Straße
2012-02-12,64,46,62,132,Karl-Marx-Straße
2012-02-13,40,106,72,234,Karl-Marx-Straße
2012-02-14,50,97,68,216,Karl-Marx-Straße
2012-02-15,17,29,36,80,Karl-Marx-Straße
2012-02-16,33,77,64,181,Karl-Marx-Straße
2012-02-17,22,72,60,170,Karl-Marx-Straße
2012-02-18,33,68,55,159,Karl-Marx-Straße
2012-02-19,15,32,35,83,Karl-Marx-Straße
2012-02-20,27,84,67,196,Karl-Marx-Straße
2012-02-21,29,79,63,183,Karl-Marx-Straße
2012-02-22,49,68,63,167,Karl-Marx-Straße
2012-02-23,28,60,51,143,Karl-Marx-Straße
2012-02-24,21,61,47,140,Karl-Marx-Straße
2012-02-25,19,37,41,98,Karl-Marx-Straße
2012-02-26,12,14,33,54,Karl-Marx-Straße
2012-02-27,29,90,74,212,Karl-Marx-Straße
2012-02-28,32,73,49,161,Karl-Marx-Straße
2012-02-29,26,90,56,193,Karl-Marx-Straße
2012-03-01,31,86,54,186,Karl-Marx-Straße
2012-03-02,40,40,52,112,Karl-Marx-Straße
2012-03-03,23,30,50,95,Karl-Marx-Straße
2012-03-04,26,15,40,62,Karl-Marx-Straße
2012-03-05,36,27,49,90,Karl-Marx-Straße
2012-03-06,33,26,45,84,Karl-Marx-Straße
2012-03-07,54,63,70,166,Karl-Marx-Straße
2012-03-08,37,73,64,176,Karl-Marx-Straße
2012-03-09,31,83,73,200,Karl-Marx-Straße
2012-03-10,38,55,54,138,Karl-Marx-Straße
2012-03-11,20,24,35,71,Karl-Marx-Straße
2012-03-12,24,69,58,163,Karl-Marx-Straße
2012-03-13,24,64,58,155,Karl-Marx-Straße
2012-03-14,26,63,61,157,Karl-Marx-Straße
2012-03-15,48,98,69,219,Karl-Marx-Straße
2012-03-16,67,160,95,340,Karl-Marx-Straße
2012-03-17,75,56,74,159,Karl-Marx-Straße
2012-03-18,59,35,47,101,Karl-Marx-Straße
2012-03-19,21,52,51,130,Karl-Marx-Straße
2012-03-20,38,68,63,167,Karl-Marx-Straße
2012-03-21,39,72,65,175,Karl-Marx-Straße
2012-03-22,34,43,67,132,Karl-Marx-Straße
2012-03-23,33,32,63,112,Karl-Marx-Straße
2012-03-24,36,38,59,117,Karl-Marx-Straße
2012-03-25,32,18,30,57,Karl-Marx-Straße
2012-03-26,34,74,74,187,Karl-Marx-Straße
2012-03-27,54,60,64,155,Karl-Marx-Straße
2012-03-28,54,47,57,129,Karl-Marx-Straße
2012-03-29,,45,44,113,Karl-Marx-Straße
2012-03-30,,64,56,154,Karl-Marx-Straße
2012-03-31,13,27,36,77,Karl-Marx-Straße
2012-04-01,15,27,35,76,Karl-Marx-Straße
2012-04-02,21,59,61,151,Karl-Marx-Straße
2012-04-03,34,31,48,96,Karl-Marx-Straße
2012-04-04,46,20,35,65,Karl-Marx-Straße
2012-04-05,34,39,51,110,Karl-Marx-Straße
2012-04-06,37,31,53,101,Karl-Marx-Straße
2012-04-07,19,36,44,100,Karl-Marx-Straße
2012-04-08,12,23,37,72,Karl-Marx-Straße
2012-04-09,25,23,34,70,Karl-Marx-Straße
2012-04-10,26,68,61,166,Karl-Marx-Straße
2012-04-11,28,61,68,161,Karl-Marx-Straße
2012-04-12,24,54,66,149,Karl-Marx-Straße
2012-04-13,32,96,73,220,Karl-Marx-Straße
2012-04-14,29,35,48,101,Karl-Marx-Straße
2012-04-15,18,5,21,28,Karl-Marx-Straße
2012-04-16,17,20,39,70,Karl-Marx-Straße
2012-04-17,23,57,66,154,Karl-Marx-Straße
2012-04-18,37,46,67,137,Karl-Marx-Straße
2012-04-19,44,56,81,167,Karl-Marx-Straße
2012-04-20,42,74,90,203,Karl-Marx-Straße
2012-04-21,21,46,62,132,Karl-Marx-Straße
2012-04-22,17,28,44,87,Karl-Marx-Straße
2012-04-23,20,59,70,160,Karl-Marx-Straße
2012-04-24,22,48,66,139,Karl-Marx-Straße
2012-04-25,27,58,69,158,Karl-Marx-Straße
2012-04-26,23,64,76,174,Karl-Marx-Straße
2012-04-27,25,70,81,189,Karl-Marx-Straße
2012-04-28,33,53,82,164,Karl-Marx-Straße
2012-04-29,38,42,65,129,Karl-Marx-Straße
2012-04-30,32,12,31,49,Karl-Marx-Straße
2012-05-01,28,4,20,26,Karl-Marx-Straße
2012-05-02,29,10,32,48,Karl-Marx-Straße
2012-05-03,36,73,67,178,Karl-Marx-Straße
2012-05-04,36,59,68,158,Karl-Marx-Straße
2012-05-05,25,12,29,48,Karl-Marx-Straße
2012-05-06,13,13,27,47,Karl-Marx-Straße
2012-05-07,25,46,57,127,Karl-Marx-Straße
2012-05-08,30,55,62,146,Karl-Marx-Straße
2012-05-09,25,65,65,164,Karl-Marx-Straße
2012-05-10,29,64,60,158,Karl-Marx-Straße
2012-05-11,29,61,60,153,Karl-Marx-Straße
2012-05-12,22,32,45,93,Karl-Marx-Straße
2012-05-13,16,24,39,75,Karl-Marx-Straße
2012-05-14,22,64,73,170,Karl-Marx-Straße
2012-05-15,27,52,67,146,Karl-Marx-Straße
2012-05-16,21,60,57,149,Karl-Marx-Straße
2012-05-17,15,32,40,89,Karl-Marx-Straße
2012-05-18,21,41,61,124,Karl-Marx-Straße
2012-05-19,25,28,60,102,Karl-Marx-Straße
2012-05-20,21,9,34,47,Karl-Marx-Straße
2012-05-21,31,18,44,71,Karl-Marx-Straße
2012-05-22,34,14,39,60,Karl-Marx-Straße
2012-05-23,41,9,30,44,Karl-Marx-Straße
2012-05-24,26,8,21,33,Karl-Marx-Straße
2012-05-25,23,9,26,39,Karl-Marx-Straße
2012-05-26,20,6,21,30,Karl-Marx-Straße
2012-05-27,20,6,20,29,Karl-Marx-Straße
2012-05-28,16,15,31,55,Karl-Marx-Straße
2012-05-29,27,45,50,119,Karl-Marx-Straße
2012-05-30,23,47,48,119,Karl-Marx-Straße
2012-05-31,26,66,55,156,Karl-Marx-Straße
2012-06-01,20,49,43,117,Karl-Marx-Straße
2012-06-02,16,44,46,113,Karl-Marx-Straße
2012-06-03,15,20,27,57,Karl-Marx-Straße
2012-06-04,21,64,26,123,Karl-Marx-Straße
2012-06-05,19,48,45,119,Karl-Marx-Straße
2012-06-06,26,56,69,155,Karl-Marx-Straße
2012-06-07,26,63,69,165,Karl-Marx-Straße
2012-06-08,22,54,68,150,Karl-Marx-Straße
2012-06-09,19,37,60,116,Karl-Marx-Straße
2012-06-10,17,23,51,87,Karl-Marx-Straße
2012-06-11,19,40,76,136,Karl-Marx-Straße
2012-06-12,23,38,61,119,Karl-Marx-Straße
2012-06-13,29,35,53,107,Karl-Marx-Straße
2012-06-14,23,41,58,121,Karl-Marx-Straße
2012-06-15,27,52,77,156,Karl-Marx-Straße
2012-06-16,24,50,68,144,Karl-Marx-Straße
2012-06-17,18,27,44,85,Karl-Marx-Straße
2012-06-18,25,32,63,111,Karl-Marx-Straße
2012-06-19,16,25,52,91,Karl-Marx-Straße
2012-06-20,21,9,32,47,Karl-Marx-Straße
2012-06-21,23,16,34,58,Karl-Marx-Straße
2012-06-22,28,61,62,156,Karl-Marx-Straße
2012-06-23,19,36,54,109,Karl-Marx-Straße
2012-06-24,18,19,34,63,Karl-Marx-Straße
2012-06-25,13,44,43,110,Karl-Marx-Straße
2012-06-26,18,48,50,124,Karl-Marx-Straße
2012-06-27,31,57,66,153,Karl-Marx-Straße
2012-06-28,27,51,57,135,Karl-Marx-Straße
2012-06-29,26,47,71,142,Karl-Marx-Straße
2012-06-30,34,28,54,96,Karl-Marx-Straße
2012-07-01,22,19,35,64,Karl-Marx-Straße
2012-07-02,17,22,43,76,Karl-Marx-Straße
2012-07-03,28,30,44,89,Karl-Marx-Straße
2012-07-04,26,10,32,47,Karl-Marx-Straße
2012-07-05,26,10,30,46,Karl-Marx-Straße
2012-07-06,28,43,69,135,Karl-Marx-Straße
2012-07-07,23,33,58,109,Karl-Marx-Straße
2012-07-08,20,22,44,78,Karl-Marx-Straße
2012-07-09,14,47,56,128,Karl-Marx-Straße
2012-07-10,21,53,68,149,Karl-Marx-Straße
2012-07-11,21,47,59,131,Karl-Marx-Straße
2012-07-12,12,52,48,127,Karl-Marx-Straße
2012-07-13,16,54,50,132,Karl-Marx-Straße
2012-07-14,13,36,43,98,Karl-Marx-Straße
2012-07-15,13,25,35,73,Karl-Marx-Straße
2012-07-16,17,49,55,129,Karl-Marx-Straße
2012-07-17,14,56,48,133,Karl-Marx-Straße
2012-07-18,21,71,53,162,Karl-Marx-Straße
2012-07-19,18,47,47,119,Karl-Marx-Straße
2012-07-20,16,45,50,119,Karl-Marx-Straße
2012-07-21,15,34,45,97,Karl-Marx-Straße
2012-07-22,14,23,36,71,Karl-Marx-Straße
2012-07-23,19,68,74,177,Karl-Marx-Straße
2012-07-24,23,14,44,65,Karl-Marx-Straße
2012-07-25,35,26,70,109,Karl-Marx-Straße
2012-07-26,40,29,66,110,Karl-Marx-Straße
2012-07-27,32,22,72,106,Karl-Marx-Straße
2012-07-28,30,28,54,97,Karl-Marx-Straße
2012-07-29,25,20,36,66,Karl-Marx-Straße
2012-07-30,19,52,62,140,Karl-Marx-Straße
2012-07-31,20,53,69,149,Karl-Marx-Straße
2012-08-01,20,33,56,106,Karl-Marx-Straße
2012-08-02,29,41,83,145,Karl-Marx-Straße
2012-08-03,29,27,57,98,Karl-Marx-Straße
2012-08-04,25,33,60,111,Karl-Marx-Straße
2012-08-05,29,12,36,54,Karl-Marx-Straße
2012-08-06,24,56,64,150,Karl-Marx-Straße
2012-08-07,18,51,57,135,Karl-Marx-Straße
2012-08-08,19,54,56,139,Karl-Marx-Straße
2012-08-09,17,51,56,134,Karl-Marx-Straße
2012-08-10,15,49,54,129,Karl-Marx-Straße
2012-08-11,14,10,30,44,Karl-Marx-Straße
2012-08-12,12,6,21,30,Karl-Marx-Straße
2012-08-13,18,18,37,65,Karl-Marx-Straße
2012-08-14,19,16,31,56,Karl-Marx-Straße
2012-08-15,22,15,37,61,Karl-Marx-Straße
