,date,NOx,NO_2,NOx
213,29.05.2010,38,61,119
214,30.05.2010,29,49,94
215,31.05.2010,18,33,60
216,01.06.2010,18,37,64
217,02.06.2010,19,34,63
218,03.06.2010,23,41,76
219,04.06.2010,21,41,74
220,05.06.2010,44,74,141
221,06.06.2010,47,85,157
222,07.06.2010,17,43,68
223,08.06.2010,58,92,180
224,09.06.2010,63,101,198
225,10.06.2010,45,88,157
226,11.06.2010,38,65,123
227,12.06.2010,18,34,62
228,13.06.2010,16,30,54
229,14.06.2010,36,61,116
230,15.06.2010,25,46,83
231,16.06.2010,41,58,121
232,17.06.2010,48,72,146
233,18.06.2010,25,46,84
234,19.06.2010,17,26,52
235,20.06.2010,14,25,46
236,21.06.2010,26,40,81
237,22.06.2010,29,47,93
238,23.06.2010,57,84,171
239,24.06.2010,42,73,138
240,25.06.2010,35,81,134
241,26.06.2010,22,43,76
242,27.06.2010,31,50,97
243,28.06.2010,66,108,210
244,29.06.2010,59,122,211
245,30.06.2010,22,57,90
246,01.07.2010,39,87,146
247,02.07.2010,58,122,210
248,03.07.2010,32,80,128
249,04.07.2010,22,59,93
250,05.07.2010,29,72,115
251,06.07.2010,17,38,63
252,07.07.2010,33,62,112
253,08.07.2010,67,119,220
254,09.07.2010,56,133,218
255,10.07.2010,33,94,144
256,11.07.2010,24,69,106
257,12.07.2010,47,111,183
258,13.07.2010,22,63,97
259,14.07.2010,49,109,184
260,15.07.2010,27,66,108
261,16.07.2010,50,108,184
262,17.07.2010,18,47,75
263,18.07.2010,16,38,63
264,19.07.2010,54,100,182
265,20.07.2010,57,97,183
266,21.07.2010,55,113,196
267,22.07.2010,23,70,105
268,23.07.2010,41,68,131
269,24.07.2010,7,23,34
270,25.07.2010,10,26,40
271,26.07.2010,34,72,123
272,27.07.2010,38,81,139
273,28.07.2010,19,51,81
274,29.07.2010,23,44,79
275,30.07.2010,35,56,110
276,31.07.2010,45,82,151
277,01.08.2010,32,76,124
278,02.08.2010,30,68,114
279,03.08.2010,30,58,104
280,04.08.2010,55,79,162
281,05.08.2010,51,90,167
282,06.08.2010,23,56,91
283,07.08.2010,20,41,71
284,08.08.2010,27,62,104
285,09.08.2010,28,57,99
286,10.08.2010,51,87,165
287,11.08.2010,49,90,165
288,12.08.2010,43,79,145
289,13.08.2010,32,59,109
290,14.08.2010,26,44,84
291,15.08.2010,39,64,123
292,16.08.2010,50,77,154
293,17.08.2010,49,61,136
294,18.08.2010,45,64,132
295,19.08.2010,24,48,85
296,20.08.2010,79,113,234
297,21.08.2010,48,99,172
298,22.08.2010,25,53,92
299,23.08.2010,46,63,133
300,24.08.2010,24,43,80
301,25.08.2010,23,40,75
302,26.08.2010,71,85,193
303,27.08.2010,43,53,120
304,28.08.2010,14,29,51
305,29.08.2010,37,45,101
306,30.08.2010,33,51,101
307,31.08.2010,16,34,59
308,01.09.2010,19,37,66
309,02.09.2010,27,50,91
310,03.09.2010,58,71,159
311,04.09.2010,73,75,188
312,05.09.2010,35,50,104
313,06.09.2010,60,79,171
314,07.09.2010,48,61,135
315,08.09.2010,40,59,120
316,09.09.2010,69,76,181
317,10.09.2010,50,69,145
318,11.09.2010,73,87,198
319,12.09.2010,52,81,160
320,13.09.2010,28,53,96
321,14.09.2010,50,60,136
322,15.09.2010,33,52,102
323,16.09.2010,31,51,98
324,17.09.2010,35,49,102
325,18.09.2010,18,32,60
326,19.09.2010,22,40,74
327,20.09.2010,60,75,166
328,21.09.2010,39,56,115
329,22.09.2010,92,101,241
330,23.09.2010,70,99,206
331,24.09.2010,55,90,175
332,25.09.2010,22,40,73
333,26.09.2010,13,26,46
334,27.09.2010,30,46,92
335,28.09.2010,16,30,55
336,29.09.2010,26,45,85
337,30.09.2010,89,78,214
338,01.10.2010,89,73,210
339,02.10.2010,58,62,150
340,03.10.2010,43,55,120
341,04.10.2010,50,69,145
342,05.10.2010,68,75,179
343,06.10.2010,59,65,155
344,07.10.2010,74,79,193
345,08.10.2010,60,72,164
346,09.10.2010,44,62,130
347,10.10.2010,57,78,166
348,11.10.2010,81,88,212
349,12.10.2010,94,70,214
350,13.10.2010,106,106,269
351,14.10.2010,76,69,185
352,15.10.2010,60,72,163
353,16.10.2010,51,56,134
354,17.10.2010,49,56,130
355,18.10.2010,113,106,278
356,19.10.2010,68,66,170
357,20.10.2010,31,47,95
358,21.10.2010,31,45,93
359,22.10.2010,55,64,149
360,23.10.2010,55,61,145
361,24.10.2010,19,31,61
362,25.10.2010,30,46,92
363,26.10.2010,45,59,128
364,27.10.2010,82,78,203
365,28.10.2010,68,74,177
366,29.10.2010,78,79,199
367,30.10.2010,62,75,169
368,31.10.2010,93,95,237
369,01.11.2010,113,87,259
370,02.11.2010,65,64,164
371,03.11.2010,37,48,104
372,04.11.2010,30,46,91
373,05.11.2010,26,42,81
374,06.11.2010,20,42,73
375,07.11.2010,50,62,139
376,08.11.2010,50,62,139
377,09.11.2010,87,77,210
378,10.11.2010,138,87,298
379,11.11.2010,56,63,149
380,12.11.2010,34,52,103
381,13.11.2010,41,60,123
382,14.11.2010,45,58,127
383,15.11.2010,28,54,97
384,16.11.2010,37,53,109
385,17.11.2010,44,56,122
386,18.11.2010,68,58,162
387,19.11.2010,99,69,221
388,20.11.2010,96,74,221
389,21.11.2010,64,57,155
390,22.11.2010,46,48,117
391,23.11.2010,22,33,67
392,24.11.2010,18,40,67
393,25.11.2010,68,75,179
394,26.11.2010,59,74,164
395,27.11.2010,75,68,183
396,28.11.2010,58,59,148
397,29.11.2010,39,46,106
398,30.11.2010,61,59,152
399,01.12.2010,39,42,101
400,02.12.2010,54,57,140
401,03.12.2010,83,85,212
402,04.12.2010,91,86,224
403,05.12.2010,36,53,108
404,06.12.2010,118,100,280
