,date,NOx,NO_2,NOx
926,11.05.2012,39,65,124
927,12.05.2012,10,24,39
928,13.05.2012,21,36,68
929,14.05.2012,55,77,161
930,15.05.2012,42,66,131
931,16.05.2012,14,32,53
932,17.05.2012,18,32,60
933,18.05.2012,61,84,177
934,19.05.2012,48,80,152
935,20.05.2012,43,68,133
936,21.05.2012,51,88,166
937,22.05.2012,51,86,164
938,23.05.2012,62,78,173
939,24.05.2012,33,54,105
940,25.05.2012,37,62,119
941,26.05.2012,40,57,118
942,27.05.2012,26,44,84
943,28.05.2012,22,39,73
944,29.05.2012,14,36,57
945,30.05.2012,24,42,78
946,31.05.2012,34,58,110
947,01.06.2012,12,26,45
948,02.06.2012,12,27,46
949,03.06.2012,26,41,81
950,04.06.2012,43,56,122
951,05.06.2012,23,41,76
952,06.06.2012,66,86,187
953,07.06.2012,70,85,192
954,08.06.2012,40,66,127
955,09.06.2012,21,44,76
956,10.06.2012,18,40,68
957,11.06.2012,53,94,175
958,12.06.2012,47,80,152
959,13.06.2012,16,38,62
960,14.06.2012,32,52,101
961,15.06.2012,55,82,166
962,16.06.2012,40,64,126
963,17.06.2012,28,46,89
964,18.06.2012,45,75,143
965,19.06.2012,41,71,134
966,20.06.2012,42,57,121
967,21.06.2012,53,65,146
968,22.06.2012,30,50,97
969,23.06.2012,22,45,79
970,24.06.2012,26,44,83
971,25.06.2012,18,31,58
972,26.06.2012,15,31,54
973,27.06.2012,34,63,114
974,28.06.2012,44,63,131
975,29.06.2012,64,98,195
976,30.06.2012,24,54,92
977,01.07.2012,21,39,71
978,02.07.2012,32,58,107
979,03.07.2012,53,72,153
980,04.07.2012,38,59,118
981,05.07.2012,43,63,129
982,06.07.2012,47,76,148
983,07.07.2012,24,52,88
984,08.07.2012,35,58,111
985,09.07.2012,33,53,103
986,10.07.2012,38,65,124
987,11.07.2012,33,55,106
988,12.07.2012,33,44,94
989,13.07.2012,61,65,158
990,14.07.2012,24,35,71
991,15.07.2012,18,30,58
992,16.07.2012,26,44,84
993,17.07.2012,26,40,80
994,18.07.2012,59,67,157
995,19.07.2012,35,50,105
996,20.07.2012,18,37,64
997,21.07.2012,14,29,50
998,22.07.2012,20,36,66
999,23.07.2012,76,100,216
1000,24.07.2012,62,111,205
1001,25.07.2012,54,114,197
1002,26.07.2012,34,81,133
1003,27.07.2012,42,102,167
1004,28.07.2012,25,64,102
1005,29.07.2012,17,39,64
1006,30.07.2012,36,60,116
1007,31.07.2012,41,68,130
1008,01.08.2012,57,85,173
1009,02.08.2012,40,75,137
1010,03.08.2012,53,72,154
1011,04.08.2012,41,68,131
1012,05.08.2012,36,54,110
1013,06.08.2012,31,49,97
1014,07.08.2012,22,35,68
1015,08.08.2012,22,38,72
1016,09.08.2012,20,37,68
1017,10.08.2012,20,38,70
1018,11.08.2012,32,46,95
1019,12.08.2012,44,52,119
1020,13.08.2012,56,71,157
1021,14.08.2012,51,65,143
1022,15.08.2012,47,67,139
1023,16.08.2012,41,66,129
1024,17.08.2012,42,63,127
1025,18.08.2012,61,95,189
1026,19.08.2012,52,96,175
1027,20.08.2012,50,93,169
1028,21.08.2012,34,58,111
1029,22.08.2012,25,55,92
1030,23.08.2012,41,67,130
1031,24.08.2012,70,96,203
1032,25.08.2012,38,56,114
1033,26.08.2012,18,29,56
1034,27.08.2012,33,50,100
1035,28.08.2012,68,98,202
1036,29.08.2012,57,95,182
1037,30.08.2012,59,93,183
1038,31.08.2012,24,49,87
1039,01.09.2012,17,32,58
1040,02.09.2012,49,68,144
1041,03.09.2012,64,85,183
1042,04.09.2012,70,77,185
1043,05.09.2012,29,52,96
1044,06.09.2012,18,42,70
1045,07.09.2012,24,46,82
1046,08.09.2012,19,32,61
1047,09.09.2012,50,56,133
1048,10.09.2012,66,99,199
1049,11.09.2012,50,80,156
1050,12.09.2012,24,46,84
1051,13.09.2012,35,60,114
1052,14.09.2012,40,54,114
1053,15.09.2012,16,28,52
1054,16.09.2012,45,58,127
1055,17.09.2012,60,75,167
1056,18.09.2012,57,75,162
1057,19.09.2012,27,45,86
1058,20.09.2012,46,59,129
1059,21.09.2012,77,82,200
1060,22.09.2012,21,37,69
1061,23.09.2012,38,49,107
1062,24.09.2012,59,75,165
1063,25.09.2012,64,80,178
1064,26.09.2012,76,99,215
1065,27.09.2012,41,56,119
1066,28.09.2012,43,62,128
1067,29.09.2012,33,46,96
1068,30.09.2012,35,51,104
1069,01.10.2012,106,103,266
1070,02.10.2012,92,103,244
1071,03.10.2012,36,50,105
1072,04.10.2012,44,54,121
1073,05.10.2012,47,52,124
1074,06.10.2012,30,44,89
1075,07.10.2012,15,26,49
1076,08.10.2012,34,52,104
1077,09.10.2012,26,44,83
1078,10.10.2012,34,51,103
1079,11.10.2012,64,70,169
1080,12.10.2012,89,86,221
1081,13.10.2012,58,64,153
1082,14.10.2012,46,55,126
1083,15.10.2012,60,63,155
1084,16.10.2012,88,77,211
1085,17.10.2012,70,73,179
1086,18.10.2012,86,85,216
1087,19.10.2012,102,103,259
1088,20.10.2012,170,107,368
1089,21.10.2012,108,70,235
1090,22.10.2012,59,69,159
1091,23.10.2012,69,72,178
1092,24.10.2012,68,70,173
1093,25.10.2012,23,39,74
1094,26.10.2012,61,75,168
1095,27.10.2012,32,46,95
1096,28.10.2012,65,63,162
1097,29.10.2012,133,95,298
1098,30.10.2012,73,66,177
1099,31.10.2012,88,76,210
1100,01.11.2012,71,75,184
1101,02.11.2012,65,71,170
1102,03.11.2012,49,56,131
1103,04.11.2012,48,56,130
1104,05.11.2012,35,49,102
1105,06.11.2012,26,41,82
1106,07.11.2012,19,37,66
1107,08.11.2012,34,49,101
1108,09.11.2012,65,68,167
1109,10.11.2012,53,58,139
1110,11.11.2012,30,43,89
1111,12.11.2012,43,60,126
1112,13.11.2012,109,91,258
1113,14.11.2012,132,103,305
1114,15.11.2012,117,84,263
1115,16.11.2012,104,76,235
1116,17.11.2012,76,58,174
1117,18.11.2012,71,52,160
1118,19.11.2012,87,70,203
1119,20.11.2012,101,72,226
1120,21.11.2012,78,69,187
1121,22.11.2012,69,70,176
1122,23.11.2012,110,76,244
1123,24.11.2012,74,65,177
1124,25.11.2012,39,44,105
1125,26.11.2012,74,75,188
1126,27.11.2012,123,87,274
1127,28.11.2012,104,88,246
1128,29.11.2012,30,41,86
1129,30.11.2012,33,38,88
1130,01.12.2012,79,63,184
1131,02.12.2012,72,58,168
1132,03.12.2012,57,59,147
1133,04.12.2012,52,56,135
1134,05.12.2012,42,54,118
1135,06.12.2012,60,62,154
1136,07.12.2012,140,101,314
1137,08.12.2012,76,68,183
1138,09.12.2012,52,60,139
1139,10.12.2012,74,75,188
1140,11.12.2012,18,43,70
1141,12.12.2012,84,80,209
1142,13.12.2012,111,87,256
1143,14.12.2012,85,87,217
1144,15.12.2012,84,84,212
1145,16.12.2012,74,78,190
1146,17.12.2012,139,102,314
1147,18.12.2012,111,81,251
1148,19.12.2012,85,66,196
1149,20.12.2012,68,64,168
1150,21.12.2012,66,64,165
1151,22.12.2012,63,60,156
1152,23.12.2012,63,61,157
1153,24.12.2012,48,60,133
1154,25.12.2012,18,32,60
1155,26.12.2012,21,32,63
1156,27.12.2012,26,47,86
1157,28.12.2012,54,67,149
1158,29.12.2012,57,65,152
1159,30.12.2012,29,42,86
1160,31.12.2012,33,45,95
1161,01.01.2013,30,45,91
1162,02.01.2013,26,47,87
1163,03.01.2013,19,33,62
1164,04.01.2013,16,35,60
1165,05.01.2013,22,42,76
1166,06.01.2013,12,27,45
1167,07.01.2013,67,66,169
1168,08.01.2013,55,50,134
1169,09.01.2013,69,59,164
1170,10.01.2013,20,40,70
1171,11.01.2013,17,35,61
1172,12.01.2013,17,34,60
1173,13.01.2013,50,48,124
1174,14.01.2013,76,75,191
1175,15.01.2013,84,76,203
1176,16.01.2013,50,62,137
1177,17.01.2013,45,64,133
1178,18.01.2013,49,55,130
1179,19.01.2013,43,44,110
1180,20.01.2013,42,40,104
1181,21.01.2013,40,45,106
1182,22.01.2013,56,64,149
1183,23.01.2013,81,84,207
1184,24.01.2013,62,74,169
1185,25.01.2013,110,105,274
1186,26.01.2013,62,75,169
1187,27.01.2013,55,60,145
1188,28.01.2013,60,72,163
1189,29.01.2013,39,56,116
1190,30.01.2013,26,45,84
1191,31.01.2013,14,32,53
1192,01.02.2013,45,61,130
1193,02.02.2013,14,30,51
1194,03.02.2013,19,33,62
1195,04.02.2013,33,50,101
1196,05.02.2013,29,48,93
1197,06.02.2013,48,70,144
1198,07.02.2013,33,56,107
1199,08.02.2013,35,54,106
1200,09.02.2013,29,48,93
1201,10.02.2013,47,54,126
1202,11.02.2013,66,65,166
1203,12.02.2013,46,59,128
1204,13.02.2013,39,65,125
1205,14.02.2013,74,82,195
1206,15.02.2013,81,91,215
1207,16.02.2013,71,72,180
1208,17.02.2013,60,62,153
1209,18.02.2013,59,73,164
1210,19.02.2013,24,43,80
1211,20.02.2013,24,45,81
1212,21.02.2013,47,60,132
1213,22.02.2013,43,52,118
1214,23.02.2013,32,42,91
1215,24.02.2013,45,46,114
1216,25.02.2013,56,63,149
1217,26.02.2013,50,53,130
1218,27.02.2013,57,69,157
1219,28.02.2013,31,52,99
1220,01.03.2013,18,43,71
1221,02.03.2013,19,43,73
1222,03.03.2013,11,30,46
1223,04.03.2013,95,106,251
1224,05.03.2013,71,104,213
1225,06.03.2013,113,132,305
1226,07.03.2013,48,72,145
1227,08.03.2013,42,58,122
1228,09.03.2013,37,49,106
1229,10.03.2013,32,41,90
1230,11.03.2013,45,67,136
1231,12.03.2013,47,68,140
1232,13.03.2013,42,78,142
1233,14.03.2013,66,95,196
1234,15.03.2013,30,63,109
1235,16.03.2013,59,86,176
1236,17.03.2013,40,56,116
1237,18.03.2013,48,67,141
1238,19.03.2013,30,61,106
1239,20.03.2013,41,67,129
1240,21.03.2013,31,63,110
1241,22.03.2013,48,57,130
1242,23.03.2013,38,43,101
1243,24.03.2013,37,50,107
1244,25.03.2013,45,57,126
1245,26.03.2013,43,61,128
1246,27.03.2013,43,63,128
1247,28.03.2013,47,76,148
1248,29.03.2013,28,53,96
1249,30.03.2013,23,50,85
1250,31.03.2013,28,48,91
1251,01.04.2013,28,51,94
1252,02.04.2013,49,74,149
1253,03.04.2013,47,75,147
1254,04.04.2013,42,71,136
1255,05.04.2013,53,76,156
1256,06.04.2013,41,71,134
1257,07.04.2013,39,68,127
1258,08.04.2013,55,82,167
1259,09.04.2013,45,67,135
1260,10.04.2013,69,87,192
1261,11.04.2013,93,102,245
1262,12.04.2013,68,82,186
1263,13.04.2013,14,36,58
1264,14.04.2013,53,78,158
1265,15.04.2013,58,95,184
1266,16.04.2013,89,116,251
1267,17.04.2013,50,86,163
1268,18.04.2013,40,69,131
1269,19.04.2013,22,53,86
1270,20.04.2013,27,45,86
1271,21.04.2013,35,52,105
1272,22.04.2013,39,69,129
1273,23.04.2013,27,50,91
1274,24.04.2013,31,62,108
1275,25.04.2013,34,67,119
1276,26.04.2013,48,86,159
1277,27.04.2013,25,47,86
1278,28.04.2013,30,48,93
1279,29.04.2013,39,60,119
1280,30.04.2013,34,63,114
1281,01.05.2013,42,60,124
1282,02.05.2013,52,76,156
1283,03.05.2013,49,74,149
1284,04.05.2013,39,75,133
1285,05.05.2013,25,52,90
1286,06.05.2013,58,89,178
1287,07.05.2013,53,83,164
1288,08.05.2013,71,97,205
1289,09.05.2013,42,64,128
1290,10.05.2013,32,61,110
1291,11.05.2013,50,73,149
1292,12.05.2013,26,43,82
1293,13.05.2013,50,66,143
1294,14.05.2013,48,70,143
1295,15.05.2013,74,103,217
1296,16.05.2013,53,94,175
1297,17.05.2013,62,98,192
1298,18.05.2013,33,50,100
1299,19.05.2013,30,56,102
1300,20.05.2013,31,45,91
1301,21.05.2013,40,63,124
1302,22.05.2013,34,49,101
1303,23.05.2013,51,69,147
1304,24.05.2013,37,65,121
1305,25.05.2013,12,35,54
1306,26.05.2013,40,50,111
1307,27.05.2013,41,60,123
1308,28.05.2013,28,62,105
1309,29.05.2013,61,102,195
1310,30.05.2013,34,64,115
1311,31.05.2013,40,66,127
1312,01.06.2013,20,39,69
1313,02.06.2013,7,18,28
1314,03.06.2013,13,28,48
1315,04.06.2013,28,46,89
1316,05.06.2013,53,77,158
1317,06.06.2013,54,76,159
1318,07.06.2013,42,75,139
1319,08.06.2013,26,60,100
1320,09.06.2013,,,
1321,10.06.2013,35,64,118
1322,11.06.2013,46,81,151
1323,12.06.2013,63,106,201
1324,13.06.2013,51,76,154
1325,14.06.2013,31,50,97
1326,15.06.2013,38,64,122
1327,16.06.2013,18,34,61
1328,17.06.2013,46,77,147
1329,18.06.2013,42,74,139
1330,19.06.2013,69,90,195
1331,20.06.2013,36,73,127
1332,21.06.2013,34,59,110
1333,22.06.2013,34,55,107
1334,23.06.2013,17,33,60
1335,24.06.2013,31,51,99
1336,25.06.2013,17,37,62
1337,26.06.2013,15,33,56
1338,27.06.2013,50,68,144
1339,28.06.2013,61,79,171
1340,29.06.2013,30,44,90
1341,30.06.2013,15,23,45
1342,01.07.2013,38,57,115
1343,02.07.2013,36,61,117
1344,03.07.2013,60,88,179
1345,04.07.2013,42,68,133
1346,05.07.2013,33,55,105
1347,06.07.2013,22,41,75
1348,07.07.2013,31,51,99
1349,08.07.2013,39,68,128
1350,09.07.2013,42,74,138
1351,10.07.2013,11,27,43
1352,11.07.2013,18,33,60
1353,12.07.2013,31,51,98
1354,13.07.2013,12,31,50
1355,14.07.2013,10,27,42
1356,15.07.2013,21,44,76
1357,16.07.2013,33,59,108
1358,17.07.2013,39,61,120
1359,18.07.2013,29,53,97
1360,19.07.2013,19,40,69
1361,20.07.2013,31,46,93
1362,21.07.2013,33,62,113
1363,22.07.2013,46,84,153
1364,23.07.2013,47,73,145
1365,24.07.2013,54,90,172
1366,25.07.2013,33,82,132
1367,26.07.2013,39,100,161
1368,27.07.2013,33,84,134
1369,28.07.2013,22,57,91
1370,29.07.2013,25,50,88
1371,30.07.2013,45,77,145
1372,31.07.2013,24,46,82
1373,01.08.2013,55,81,166
1374,02.08.2013,67,115,217
1375,03.08.2013,19,57,86
1376,04.08.2013,25,47,85
1377,05.08.2013,47,83,154
1378,06.08.2013,41,87,150
1379,07.08.2013,48,87,160
1380,08.08.2013,21,47,79
1381,09.08.2013,32,59,108
1382,10.08.2013,35,69,122
1383,11.08.2013,20,39,69
1384,12.08.2013,42,67,131
1385,13.08.2013,26,44,83
1386,14.08.2013,25,42,80
1387,15.08.2013,62,89,183
1388,16.08.2013,71,111,219
1389,17.08.2013,33,80,130
1390,18.08.2013,25,52,91
1391,19.08.2013,55,75,160
1392,20.08.2013,22,40,73
1393,21.08.2013,47,78,149
1394,22.08.2013,79,114,235
1395,23.08.2013,55,79,163
1396,24.08.2013,48,67,141
1397,25.08.2013,37,56,113
1398,26.08.2013,45,70,139
1399,27.08.2013,54,82,164
1400,28.08.2013,49,76,152
1401,29.08.2013,58,92,180
1402,30.08.2013,59,103,194
1403,31.08.2013,19,48,77
1404,01.09.2013,,,
1405,02.09.2013,,,
1406,03.09.2013,,,
1407,04.09.2013,7,23,35
1408,05.09.2013,,,
1409,06.09.2013,,,
1410,07.09.2013,,,
1411,08.09.2013,52,97,173
1412,09.09.2013,46,48,89
1413,10.09.2013,68,79,183
1414,11.09.2013,58,62,151
1415,12.09.2013,80,85,207
1416,13.09.2013,40,57,118
1417,14.09.2013,42,69,132
1418,15.09.2013,22,38,72
1419,16.09.2013,44,64,131
1420,17.09.2013,43,61,126
1421,18.09.2013,59,60,150
1422,19.09.2013,40,57,119
1423,20.09.2013,82,72,198
1424,21.09.2013,24,43,80
1425,22.09.2013,17,32,58
1426,23.09.2013,14,31,53
1427,24.09.2013,33,54,105
1428,25.09.2013,87,85,217
1429,26.09.2013,63,76,172
1430,27.09.2013,43,60,125
1431,28.09.2013,52,65,143
1432,29.09.2013,34,44,96
1433,30.09.2013,48,61,134
1434,01.10.2013,60,75,166
1435,02.10.2013,87,90,224
1436,03.10.2013,43,58,123
1437,04.10.2013,65,82,181
1438,05.10.2013,64,82,179
1439,06.10.2013,33,43,94
1440,07.10.2013,77,83,200
1441,08.10.2013,95,98,242
1442,09.10.2013,70,74,181
1443,10.10.2013,54,63,145
1444,11.10.2013,50,66,143
1445,12.10.2013,46,61,131
1446,13.10.2013,50,57,134
1447,14.10.2013,99,97,248
1448,15.10.2013,89,89,225
1449,16.10.2013,42,63,128
1450,17.10.2013,46,51,120
1451,18.10.2013,29,52,97
1452,19.10.2013,62,74,170
1453,20.10.2013,47,54,125
1454,21.10.2013,53,69,150
1455,22.10.2013,79,80,201
1456,23.10.2013,69,75,181
1457,24.10.2013,62,75,169
1458,25.10.2013,103,89,247
1459,26.10.2013,48,55,128
1460,27.10.2013,22,33,67
1461,28.10.2013,39,52,111
1462,29.10.2013,34,50,101
1463,30.10.2013,40,59,120
1464,31.10.2013,96,94,240
1465,01.11.2013,80,79,201
1466,02.11.2013,45,56,124
1467,03.11.2013,29,47,92
1468,04.11.2013,53,65,145
1469,05.11.2013,47,62,134
1470,06.11.2013,33,53,102
1471,07.11.2013,44,60,128
1472,08.11.2013,81,91,214
1473,09.11.2013,34,49,101
1474,10.11.2013,20,37,68
1475,11.11.2013,59,63,153
1476,12.11.2013,95,82,227
1477,13.11.2013,27,52,92
1478,14.11.2013,113,94,266
1479,15.11.2013,56,71,157
1480,16.11.2013,35,46,100
1481,17.11.2013,59,56,147
1482,18.11.2013,80,68,189
1483,19.11.2013,93,74,216
1484,20.11.2013,31,48,95
1485,21.11.2013,76,74,189
1486,22.11.2013,61,59,152
1487,23.11.2013,44,53,119
1488,24.11.2013,14,32,54
1489,25.11.2013,20,44,74
1490,26.11.2013,57,78,166
1491,27.11.2013,64,70,169
1492,28.11.2013,15,44,67
1493,29.11.2013,40,56,117
1494,30.11.2013,24,43,80
1495,01.12.2013,13,29,48
1496,02.12.2013,117,86,265
1497,03.12.2013,114,75,248
1498,04.12.2013,58,59,148
1499,05.12.2013,26,41,80
1500,06.12.2013,11,24,41
1501,07.12.2013,18,34,61
1502,08.12.2013,32,45,94
1503,09.12.2013,20,41,71
1504,10.12.2013,54,58,140
1505,11.12.2013,45,54,122
1506,12.12.2013,107,76,240
1507,13.12.2013,133,80,283
1508,14.12.2013,81,65,189
1509,15.12.2013,37,51,108
1510,16.12.2013,70,75,182
1511,17.12.2013,99,89,240
1512,18.12.2013,120,91,274
1513,19.12.2013,85,81,211
1514,20.12.2013,96,75,221
1515,21.12.2013,39,50,110
1516,22.12.2013,12,21,40
1517,23.12.2013,46,61,132
1518,24.12.2013,29,39,83
1519,25.12.2013,52,59,138
1520,26.12.2013,47,57,129
1521,27.12.2013,52,58,138
1522,28.12.2013,62,71,166
1523,29.12.2013,32,45,94
1524,30.12.2013,82,75,200
1525,31.12.2013,74,71,184
1526,01.01.2014,69,63,169
1527,02.01.2014,58,62,151
1528,03.01.2014,66,73,173
1529,04.01.2014,61,73,166
1530,05.01.2014,30,47,93
1531,06.01.2014,68,77,181
1532,07.01.2014,47,58,129
1533,08.01.2014,40,57,119
1534,09.01.2014,49,57,132
1535,10.01.2014,20,36,66
1536,11.01.2014,27,44,84
1537,12.01.2014,11,24,40
1538,13.01.2014,79,76,197
1539,14.01.2014,88,73,207
1540,15.01.2014,67,66,167
1541,16.01.2014,67,69,171
1542,17.01.2014,118,87,268
1543,18.01.2014,67,64,166
1544,19.01.2014,35,37,90
1545,20.01.2014,43,42,107
1546,21.01.2014,58,55,144
1547,22.01.2014,60,58,150
1548,23.01.2014,60,58,149
1549,24.01.2014,49,57,131
1550,25.01.2014,71,67,176
1551,26.01.2014,56,55,140
1552,27.01.2014,93,86,229
1553,28.01.2014,73,72,183
1554,29.01.2014,49,54,129
1555,30.01.2014,55,61,145
1556,31.01.2014,88,86,220
1557,01.02.2014,49,70,145
1558,02.02.2014,66,67,168
1559,03.02.2014,73,69,180
1560,04.02.2014,73,83,194
1561,05.02.2014,70,78,185
1562,06.02.2014,68,73,177
1563,07.02.2014,74,73,186
1564,08.02.2014,61,72,164
1565,09.02.2014,41,51,114
1566,10.02.2014,66,78,180
1567,11.02.2014,46,59,129
1568,12.02.2014,58,67,156
1569,13.02.2014,63,74,171
1570,14.02.2014,42,61,125
1571,15.02.2014,52,64,144
1572,16.02.2014,17,31,56
1573,17.02.2014,45,62,132
1574,18.02.2014,103,87,245
1575,19.02.2014,56,62,147
1576,20.02.2014,79,72,192
1577,21.02.2014,59,65,155
1578,22.02.2014,32,52,102
1579,23.02.2014,45,62,131
1580,24.02.2014,55,79,163
1581,25.02.2014,69,83,188
1582,26.02.2014,106,97,259
1583,27.02.2014,108,92,257
1584,28.02.2014,92,83,224
1585,01.03.2014,71,77,186
1586,02.03.2014,61,71,165
1587,03.03.2014,55,67,150
1588,04.03.2014,71,74,182
1589,05.03.2014,57,57,144
1590,06.03.2014,53,57,138
1591,07.03.2014,88,88,223
1592,08.03.2014,52,80,159
1593,09.03.2014,47,74,146
1594,10.03.2014,100,119,271
1595,11.03.2014,66,73,174
1596,12.03.2014,84,96,227
1597,13.03.2014,100,118,271
1598,14.03.2014,39,69,129
1599,15.03.2014,6,20,30
1600,16.03.2014,5,13,20
1601,17.03.2014,14,27,49
1602,18.03.2014,24,40,77
1603,19.03.2014,22,40,73
1604,20.03.2014,51,75,152
1605,21.03.2014,27,49,90
1606,22.03.2014,48,66,139
1607,23.03.2014,29,47,92
1608,24.03.2014,33,60,111
1609,25.03.2014,41,63,126
1610,26.03.2014,57,71,159
1611,27.03.2014,50,63,139
1612,28.03.2014,70,69,177
1613,29.03.2014,65,80,180
1614,30.03.2014,44,81,147
1615,31.03.2014,62,91,186
1616,01.04.2014,63,79,175
1617,02.04.2014,65,83,182
1618,03.04.2014,65,83,183
1619,04.04.2014,48,67,140
1620,05.04.2014,53,71,151
1621,06.04.2014,24,50,87
1622,07.04.2014,59,70,159
1623,08.04.2014,27,41,83
1624,09.04.2014,15,31,54
1625,10.04.2014,37,50,106
1626,11.04.2014,83,90,217
1627,12.04.2014,39,64,123
1628,13.04.2014,10,27,42
1629,14.04.2014,12,28,46
1630,15.04.2014,14,32,54
1631,16.04.2014,51,66,144
1632,17.04.2014,69,82,187
1633,18.04.2014,27,45,86
1634,19.04.2014,33,52,102
1635,20.04.2014,30,46,91
1636,21.04.2014,30,51,97
1637,22.04.2014,58,82,171
1638,23.04.2014,55,73,158
1639,24.04.2014,53,63,145
1640,25.04.2014,57,81,168
1641,26.04.2014,37,60,116
1642,27.04.2014,32,46,94
1643,28.04.2014,37,57,114
1644,29.04.2014,38,71,129
1645,30.04.2014,38,74,133
1646,01.05.2014,18,41,67
1647,02.05.2014,50,56,132
1648,03.05.2014,39,56,114
1649,04.05.2014,10,30,45
1650,05.05.2014,53,73,154
1651,06.05.2014,49,83,157
1652,07.05.2014,25,50,88
1653,08.05.2014,41,57,120
1654,09.05.2014,31,44,91
1655,10.05.2014,29,47,92
1656,11.05.2014,18,31,58
1657,12.05.2014,25,41,80
1658,13.05.2014,17,36,62
1659,14.05.2014,13,32,51
1660,15.05.2014,25,36,73
1661,16.05.2014,27,47,87
1662,17.05.2014,22,39,72
1663,18.05.2014,21,37,68
1664,19.05.2014,69,78,183
1665,20.05.2014,75,109,224
1666,21.05.2014,62,107,202
1667,22.05.2014,46,89,160
1668,23.05.2014,31,61,108
1669,24.05.2014,23,46,81
1670,25.05.2014,15,45,69
1671,26.05.2014,34,60,111
1672,27.05.2014,30,45,91
1673,28.05.2014,46,46,116
1674,29.05.2014,34,45,96
1675,30.05.2014,15,33,56
1676,31.05.2014,10,28,43
1677,01.06.2014,12,30,48
1678,02.06.2014,37,57,112
1679,03.06.2014,38,59,116
1680,04.06.2014,61,81,174
1681,05.06.2014,38,60,118
1682,06.06.2014,65,97,196
1683,07.06.2014,47,92,164
1684,08.06.2014,54,103,185
1685,09.06.2014,30,51,96
1686,10.06.2014,41,80,143
1687,11.06.2014,33,72,122
1688,12.06.2014,18,37,65
1689,13.06.2014,21,40,72
1690,14.06.2014,24,45,82
1691,15.06.2014,26,46,85
1692,16.06.2014,33,52,102
1693,17.06.2014,31,51,98
1694,18.06.2014,38,59,117
1695,19.06.2014,20,30,60
1696,20.06.2014,17,31,57
1697,21.06.2014,19,29,58
1698,22.06.2014,10,21,37
1699,23.06.2014,17,37,62
1700,24.06.2014,32,49,97
1701,25.06.2014,59,64,154
1702,26.06.2014,59,68,158
1703,27.06.2014,103,98,255
1704,28.06.2014,42,69,133
1705,29.06.2014,18,34,62
1706,30.06.2014,23,43,79
1707,01.07.2014,25,46,85
1708,02.07.2014,21,42,74
1709,03.07.2014,45,73,141
1710,04.07.2014,71,128,237
1711,05.07.2014,34,72,125
1712,06.07.2014,44,60,127
1713,07.07.2014,28,47,90
1714,08.07.2014,51,70,148
1715,09.07.2014,49,66,141
1716,10.07.2014,43,65,130
1717,11.07.2014,35,53,106
1718,12.07.2014,25,37,75
1719,13.07.2014,30,49,95
1720,14.07.2014,41,58,120
1721,15.07.2014,31,56,103
1722,16.07.2014,36,68,123
1723,17.07.2014,37,73,129
1724,18.07.2014,42,83,147
1725,19.07.2014,34,74,125
1726,20.07.2014,28,71,114
1727,21.07.2014,33,63,114
1728,22.07.2014,39,61,120
1729,23.07.2014,36,56,111
1730,24.07.2014,42,62,126
1731,25.07.2014,51,68,146
1732,26.07.2014,49,79,154
1733,27.07.2014,32,69,118
1734,28.07.2014,33,70,120
1735,29.07.2014,39,73,133
1736,30.07.2014,36,55,109
1737,31.07.2014,36,52,106
1738,01.08.2014,81,94,219
1739,02.08.2014,43,65,130
1740,03.08.2014,25,44,82
1741,04.08.2014,24,47,83
1742,05.08.2014,25,53,91
1743,06.08.2014,42,68,132
1744,07.08.2014,57,89,176
1745,08.08.2014,37,75,131
1746,09.08.2014,30,58,104
1747,10.08.2014,45,72,141
1748,11.08.2014,32,52,101
1749,12.08.2014,40,57,118
1750,13.08.2014,51,72,150
1751,14.08.2014,31,51,99
1752,15.08.2014,43,60,126
1753,16.08.2014,19,35,65
1754,17.08.2014,23,35,71
1755,18.08.2014,24,38,74
1756,19.08.2014,30,42,87
1757,20.08.2014,27,41,82
1758,21.08.2014,52,71,151
1759,22.08.2014,71,89,197
1760,23.08.2014,34,53,105
1761,24.08.2014,17,34,61
1762,25.08.2014,33,56,106
1763,26.08.2014,51,76,154
1764,27.08.2014,29,57,101
1765,28.08.2014,74,99,211
1766,29.08.2014,64,86,183
1767,30.08.2014,37,55,111
1768,31.08.2014,33,48,99
1769,01.09.2014,40,57,119
1770,02.09.2014,48,63,136
1771,03.09.2014,54,71,153
1772,04.09.2014,54,76,158
1773,05.09.2014,60,86,178
1774,06.09.2014,52,91,171
1775,07.09.2014,33,64,113
1776,08.09.2014,28,59,102
1777,09.09.2014,25,48,87
1778,10.09.2014,35,57,111
1779,11.09.2014,53,70,150
1780,12.09.2014,41,60,122
1781,13.09.2014,31,56,104
1782,14.09.2014,37,56,113
1783,15.09.2014,57,88,174
1784,16.09.2014,55,80,164
1785,17.09.2014,55,80,164
1786,18.09.2014,63,96,192
1787,19.09.2014,100,103,257
1788,20.09.2014,71,79,186
1789,21.09.2014,14,34,55
1790,22.09.2014,16,31,55
1791,23.09.2014,51,63,141
1792,24.09.2014,78,81,199
1793,25.09.2014,29,49,94
1794,26.09.2014,45,55,124
1795,27.09.2014,40,55,116
1796,28.09.2014,60,80,172
1797,29.09.2014,89,97,233
1798,30.09.2014,63,78,175
1799,01.10.2014,93,91,233
1800,02.10.2014,131,106,306
1801,03.10.2014,66,80,181
1802,04.10.2014,61,76,170
1803,05.10.2014,50,63,139
1804,06.10.2014,64,75,173
