,date,PM10,NOx,NO_2,NOx,O_3
1,29.10.2009,13,1,10,11,23
2,30.10.2009,18,3,14,19,18
3,31.10.2009,27,2,12,14,25
4,01.11.2009,49,2,14,17,23
5,02.11.2009,33,1,15,16,25
6,03.11.2009,42,1,15,17,26
7,04.11.2009,29,4,18,24,17
8,05.11.2009,8,1,11,12,34
9,06.11.2009,16,2,16,19,23
10,07.11.2009,28,2,17,20,16
11,08.11.2009,47,2,16,18,15
12,09.11.2009,17,1,10,12,14
13,10.11.2009,11,6,15,25,5
14,11.11.2009,,22,20,54,3
15,12.11.2009,28,12,26,45,7
16,13.11.2009,21,2,17,21,14
17,14.11.2009,22,2,11,14,20
18,15.11.2009,18,1,10,11,37
19,16.11.2009,19,10,21,36,9
20,17.11.2009,19,8,27,39,7
21,18.11.2009,10,1,10,12,43
22,19.11.2009,16,1,15,16,39
23,20.11.2009,22,5,23,31,17
24,21.11.2009,39,4,23,29,16
25,22.11.2009,37,1,18,20,23
26,23.11.2009,11,1,6,7,59
27,24.11.2009,13,1,11,13,53
28,25.11.2009,13,0,9,10,56
29,26.11.2009,12,1,10,11,57
30,27.11.2009,10,0,8,8,57
31,28.11.2009,10,1,7,8,54
32,29.11.2009,11,1,7,8,52
33,30.11.2009,30,11,23,40,11
34,01.12.2009,15,1,15,17,27
35,02.12.2009,17,3,23,27,17
36,03.12.2009,25,2,18,22,13
37,04.12.2009,43,4,24,31,6
38,05.12.2009,27,2,17,20,23
39,06.12.2009,19,1,12,13,21
40,07.12.2009,19,7,25,36,17
41,08.12.2009,31,2,19,23,8
42,09.12.2009,44,12,21,40,2
43,10.12.2009,19,1,19,21,17
44,11.12.2009,35,2,19,23,14
45,12.12.2009,25,3,16,20,10
46,13.12.2009,22,1,10,11,33
47,14.12.2009,27,10,34,49,9
48,15.12.2009,25,6,27,36,5
49,16.12.2009,25,1,14,15,28
50,17.12.2009,32,3,20,25,24
51,18.12.2009,27,1,14,15,35
52,19.12.2009,45,3,24,29,20
53,20.12.2009,64,3,26,30,17
54,21.12.2009,22,1,22,23,36
55,22.12.2009,28,2,23,25,30
56,23.12.2009,23,14,36,57,10
57,24.12.2009,32,1,10,11,32
58,25.12.2009,22,1,12,14,24
59,26.12.2009,12,0,7,7,56
60,27.12.2009,14,1,9,10,43
61,28.12.2009,14,1,18,20,34
62,29.12.2009,18,1,14,15,37
63,30.12.2009,44,2,15,18,27
64,31.12.2009,18,0,10,10,53
65,01.01.2010,16,0,5,5,58
66,02.01.2010,12,1,12,14,47
67,03.01.2010,17,1,12,13,33
68,04.01.2010,20,2,14,17,25
