,date,PM10,NOx,NO_2,NOx,O_3
69,05.01.2010,29,4,28,34,18
70,06.01.2010,117,16,45,69,8
71,07.01.2010,52,12,45,63,4
72,08.01.2010,44,7,29,40,0
73,09.01.2010,23,1,4,6,0
74,10.01.2010,21,1,4,5,0
75,11.01.2010,21,1,9,11,0
76,12.01.2010,65,3,21,25,
77,13.01.2010,55,2,12,15,
78,14.01.2010,58,1,18,19,
79,15.01.2010,93,2,22,25,
80,16.01.2010,73,1,17,18,
81,17.01.2010,55,1,17,19,
82,18.01.2010,45,10,33,48,
83,19.01.2010,45,3,21,26,
84,20.01.2010,74,3,17,19,
85,21.01.2010,49,1,15,16,
86,22.01.2010,63,1,17,19,46
87,23.01.2010,87,1,21,23,52
88,24.01.2010,91,2,17,20,60
89,25.01.2010,95,1,24,25,55
90,26.01.2010,133,5,44,52,30
91,27.01.2010,114,20,53,83,26
92,28.01.2010,16,1,20,22,56
93,29.01.2010,15,1,10,11,57
94,30.01.2010,12,0,14,14,58
95,31.01.2010,25,1,11,12,58
96,01.02.2010,22,1,19,21,46
97,02.02.2010,20,1,12,13,54
98,03.02.2010,12,2,15,18,55
99,04.02.2010,21,2,19,21,40
100,05.02.2010,45,1,14,17,63
101,06.02.2010,55,1,13,14,68
102,07.02.2010,58,0,6,7,61
103,08.02.2010,29,0,7,8,64
104,09.02.2010,65,1,14,16,70
105,10.02.2010,127,1,22,23,63
106,11.02.2010,61,1,13,14,70
107,12.02.2010,19,1,9,9,63
108,13.02.2010,14,2,16,19,51
109,14.02.2010,17,3,16,21,46
110,15.02.2010,25,8,27,39,32
111,16.02.2010,42,2,21,24,40
112,17.02.2010,89,2,19,21,68
113,18.02.2010,98,2,29,32,51
114,19.02.2010,44,6,25,33,31
115,20.02.2010,23,1,13,14,61
116,21.02.2010,22,1,15,17,54
117,22.02.2010,16,2,10,13,63
118,23.02.2010,14,1,13,15,56
119,24.02.2010,26,1,12,14,49
120,25.02.2010,25,3,16,20,44
121,26.02.2010,23,1,15,17,53
122,27.02.2010,12,0,6,7,67
123,28.02.2010,15,1,6,7,71
124,01.03.2010,11,1,9,10,64
125,02.03.2010,15,0,13,13,65
126,03.03.2010,14,1,21,23,53
127,04.03.2010,24,13,31,51,41
128,05.03.2010,13,1,12,14,69
129,06.03.2010,14,1,7,8,69
130,07.03.2010,13,1,9,11,65
131,08.03.2010,14,1,10,12,70
132,09.03.2010,36,3,22,26,53
133,10.03.2010,54,4,24,30,55
134,11.03.2010,67,1,19,21,51
135,12.03.2010,28,5,24,31,36
136,13.03.2010,13,1,12,12,65
137,14.03.2010,8,0,8,8,77
138,15.03.2010,16,1,19,21,63
139,16.03.2010,16,1,15,17,66
140,17.03.2010,25,2,26,30,41
141,18.03.2010,36,3,20,25,63
142,19.03.2010,35,2,18,22,63
143,20.03.2010,21,0,9,9,63
144,21.03.2010,13,1,8,9,62
145,22.03.2010,22,3,18,22,63
146,23.03.2010,24,3,22,26,49
147,24.03.2010,33,3,20,25,52
148,25.03.2010,45,2,15,18,67
149,26.03.2010,34,1,13,15,67
150,27.03.2010,13,1,9,10,68
151,28.03.2010,14,1,7,8,59
152,29.03.2010,13,1,13,15,51
153,30.03.2010,23,2,11,14,50
154,31.03.2010,16,1,11,12,64
155,01.04.2010,13,0,9,9,72
156,02.04.2010,18,1,9,11,70
157,03.04.2010,31,1,10,12,69
158,04.04.2010,19,1,5,7,75
159,05.04.2010,20,0,12,13,62
160,06.04.2010,27,6,15,24,52
161,07.04.2010,20,1,10,11,84
162,08.04.2010,29,1,12,13,82
163,09.04.2010,26,2,17,19,57
164,10.04.2010,11,1,5,6,71
165,11.04.2010,15,1,3,4,64
166,12.04.2010,37,1,10,12,69
167,13.04.2010,33,1,9,11,81
168,14.04.2010,29,1,11,12,69
169,15.04.2010,15,1,10,12,69
170,16.04.2010,19,2,20,23,64
171,17.04.2010,25,2,20,23,66
172,18.04.2010,30,1,9,11,88
173,19.04.2010,27,1,11,12,81
174,20.04.2010,23,2,10,13,76
175,21.04.2010,12,1,8,10,76
176,22.04.2010,16,1,15,17,69
177,23.04.2010,26,7,25,35,59
178,24.04.2010,33,5,15,22,64
179,25.04.2010,26,1,4,5,99
180,26.04.2010,27,1,12,13,82
181,27.04.2010,16,1,12,14,64
182,28.04.2010,23,5,21,29,64
183,29.04.2010,30,2,13,16,97
184,30.04.2010,30,1,11,13,92
185,01.05.2010,22,1,8,8,68
186,02.05.2010,15,1,5,7,65
187,03.05.2010,14,1,7,9,54
188,04.05.2010,13,1,14,16,64
189,05.05.2010,14,2,8,11,71
190,06.05.2010,10,1,8,8,62
191,07.05.2010,12,2,12,14,29
192,08.05.2010,13,2,14,17,41
193,09.05.2010,28,1,11,12,55
194,10.05.2010,23,1,10,12,41
195,11.05.2010,17,1,9,10,53
196,12.05.2010,21,1,12,13,53
197,13.05.2010,20,2,14,17,42
198,14.05.2010,14,1,7,8,58
199,15.05.2010,8,0,11,11,59
200,16.05.2010,21,1,5,7,74
201,17.05.2010,18,1,8,10,81
202,18.05.2010,16,0,9,9,69
203,19.05.2010,25,1,13,14,45
204,20.05.2010,30,1,10,12,41
205,21.05.2010,29,2,16,19,56
206,22.05.2010,32,2,13,16,59
207,23.05.2010,22,0,6,6,64
208,24.05.2010,15,1,6,7,64
209,25.05.2010,18,1,7,8,76
210,26.05.2010,17,2,11,13,65
211,27.05.2010,17,1,10,12,52
212,28.05.2010,22,2,12,15,58
213,29.05.2010,21,1,8,9,74
214,30.05.2010,23,1,6,7,67
215,31.05.2010,9,1,9,10,55
216,01.06.2010,8,0,6,6,57
217,02.06.2010,14,1,5,5,62
218,03.06.2010,12,0,4,5,82
219,04.06.2010,19,1,9,11,71
220,05.06.2010,26,2,12,16,73
221,06.06.2010,33,1,7,9,96
222,07.06.2010,23,1,8,9,88
223,08.06.2010,20,1,9,10,90
224,09.06.2010,25,1,9,10,87
225,10.06.2010,,1,10,12,97
226,11.06.2010,30,1,5,6,94
227,12.06.2010,10,1,7,9,70
228,13.06.2010,16,1,5,6,66
229,14.06.2010,17,1,9,11,58
230,15.06.2010,21,3,12,16,57
231,16.06.2010,12,1,7,9,65
232,17.06.2010,13,1,7,8,75
233,18.06.2010,17,1,7,8,75
234,19.06.2010,14,0,5,5,66
235,20.06.2010,11,0,6,7,58
236,21.06.2010,18,1,12,13,43
237,22.06.2010,12,1,9,10,57
238,23.06.2010,11,2,11,14,49
239,24.06.2010,16,3,9,14,63
240,25.06.2010,22,1,10,11,82
241,26.06.2010,15,0,3,3,79
242,27.06.2010,11,0,5,5,67
243,28.06.2010,,1,6,7,
244,29.06.2010,,2,7,9,105
245,30.06.2010,,2,8,11,100
246,01.07.2010,,2,12,15,102
247,02.07.2010,,2,6,9,114
248,03.07.2010,,2,6,9,115
249,04.07.2010,,2,4,7,112
250,05.07.2010,,4,10,16,90
251,06.07.2010,16,1,6,6,66
252,07.07.2010,14,1,9,11,61
253,08.07.2010,21,1,8,11,92
254,09.07.2010,20,2,9,12,111
255,10.07.2010,,3,6,10,133
256,11.07.2010,,2,6,9,117
257,12.07.2010,,3,7,11,114
258,13.07.2010,21,1,12,13,109
259,14.07.2010,27,0,7,7,117
260,15.07.2010,22,0,8,8,106
261,16.07.2010,22,1,11,11,107
262,17.07.2010,20,1,8,8,95
263,18.07.2010,13,0,5,5,74
264,19.07.2010,15,1,8,10,77
265,20.07.2010,16,1,7,9,88
266,21.07.2010,27,4,10,16,99
267,22.07.2010,33,1,13,15,118
268,23.07.2010,14,0,7,7,55
269,24.07.2010,17,0,7,8,60
270,25.07.2010,13,0,6,6,67
271,26.07.2010,16,2,14,17,66
272,27.07.2010,19,8,12,25,77
273,28.07.2010,24,1,16,18,67
274,29.07.2010,12,1,10,11,59
275,30.07.2010,14,1,12,14,51
276,31.07.2010,15,1,9,11,67
277,01.08.2010,20,1,8,9,94
278,02.08.2010,26,2,17,21,67
279,03.08.2010,17,1,14,15,39
280,04.08.2010,17,2,11,15,55
281,05.08.2010,22,1,8,10,72
282,06.08.2010,26,1,11,13,61
283,07.08.2010,16,0,5,6,56
284,08.08.2010,16,1,8,10,73
285,09.08.2010,23,2,18,21,49
286,10.08.2010,19,4,14,21,57
287,11.08.2010,24,1,11,12,69
288,12.08.2010,22,1,12,13,67
289,13.08.2010,18,1,9,11,53
290,14.08.2010,15,0,8,8,45
291,15.08.2010,22,0,6,7,50
292,16.08.2010,11,0,6,7,74
293,17.08.2010,10,1,9,10,42
294,18.08.2010,11,1,8,9,53
295,19.08.2010,16,1,11,12,58
296,20.08.2010,20,2,18,21,60
297,21.08.2010,27,1,12,13,84
298,22.08.2010,28,1,10,12,61
299,23.08.2010,15,1,9,11,54
300,24.08.2010,15,1,12,13,66
301,25.08.2010,18,1,10,11,57
302,26.08.2010,17,1,16,18,31
303,27.08.2010,11,2,9,13,34
304,28.08.2010,12,1,8,9,52
305,29.08.2010,11,0,7,7,46
306,30.08.2010,8,1,8,9,55
307,31.08.2010,8,1,7,8,51
308,01.09.2010,14,2,13,16,30
309,02.09.2010,15,2,16,20,25
310,03.09.2010,12,10,18,33,30
311,04.09.2010,17,2,15,19,30
312,05.09.2010,14,1,6,7,47
313,06.09.2010,,1,9,11,44
314,07.09.2010,12,1,6,7,50
315,08.09.2010,20,1,6,6,66
316,09.09.2010,20,1,10,11,37
317,10.09.2010,19,1,13,16,37
318,11.09.2010,21,2,14,18,40
319,12.09.2010,24,1,11,12,52
320,13.09.2010,16,2,19,22,31
321,14.09.2010,12,1,15,16,30
322,15.09.2010,13,1,9,10,60
323,16.09.2010,12,1,11,12,64
324,17.09.2010,12,1,13,15,43
325,18.09.2010,14,1,9,10,51
326,19.09.2010,14,1,8,9,51
327,20.09.2010,20,1,12,14,53
328,21.09.2010,20,2,16,19,37
329,22.09.2010,16,3,12,17,40
330,23.09.2010,28,2,12,14,55
331,24.09.2010,33,1,11,13,61
332,25.09.2010,29,1,14,16,27
333,26.09.2010,11,1,15,17,24
334,27.09.2010,20,1,10,11,34
335,28.09.2010,9,0,6,7,40
336,29.09.2010,10,0,7,8,40
337,30.09.2010,11,6,13,22,24
338,01.10.2010,20,5,11,19,24
339,02.10.2010,30,1,9,11,38
340,03.10.2010,33,1,7,9,48
341,04.10.2010,28,1,8,9,59
342,05.10.2010,31,1,11,13,37
343,06.10.2010,22,1,12,13,30
344,07.10.2010,38,2,14,17,32
345,08.10.2010,45,2,12,15,43
346,09.10.2010,43,2,11,14,50
347,10.10.2010,33,1,10,11,51
348,11.10.2010,26,3,15,20,25
349,12.10.2010,28,21,24,56,9
350,13.10.2010,19,10,16,31,26
351,14.10.2010,23,8,23,35,19
352,15.10.2010,14,4,22,28,21
353,16.10.2010,12,1,9,10,23
354,17.10.2010,18,1,8,9,34
355,18.10.2010,18,5,15,23,33
356,19.10.2010,22,1,19,20,23
357,20.10.2010,15,2,15,18,33
358,21.10.2010,8,1,15,17,38
359,22.10.2010,19,1,17,20,33
360,23.10.2010,19,1,13,15,40
361,24.10.2010,11,0,4,4,61
362,25.10.2010,14,6,24,32,31
363,26.10.2010,15,4,23,30,33
364,27.10.2010,18,5,18,25,26
365,28.10.2010,19,2,22,24,27
366,29.10.2010,21,3,18,22,30
367,30.10.2010,29,1,11,13,44
368,31.10.2010,45,1,12,13,32
369,01.11.2010,58,14,20,42,8
370,02.11.2010,52,6,19,27,13
371,03.11.2010,18,1,9,11,36
372,04.11.2010,6,1,8,10,43
373,05.11.2010,7,1,11,13,43
374,06.11.2010,5,1,11,13,53
375,07.11.2010,9,1,12,13,29
376,08.11.2010,10,4,9,15,37
377,09.11.2010,15,1,15,17,20
378,10.11.2010,22,11,18,35,6
379,11.11.2010,7,2,12,16,37
380,12.11.2010,14,1,7,9,59
381,13.11.2010,7,2,7,10,52
382,14.11.2010,4,0,6,6,50
383,15.11.2010,9,2,20,22,40
384,16.11.2010,5,1,7,8,54
385,17.11.2010,4,1,7,9,47
386,18.11.2010,17,5,16,24,9
387,19.11.2010,14,10,25,40,3
388,20.11.2010,23,6,20,29,5
389,21.11.2010,24,4,12,19,14
390,22.11.2010,19,3,13,17,11
391,23.11.2010,7,1,13,15,21
392,24.11.2010,6,1,20,21,35
393,25.11.2010,10,10,31,45,29
394,26.11.2010,16,4,27,33,16
395,27.11.2010,21,4,23,29,19
396,28.11.2010,26,1,12,14,26
397,29.11.2010,25,1,7,10,32
398,30.11.2010,11,2,10,13,48
399,01.12.2010,25,7,12,22,45
400,02.12.2010,22,1,16,19,37
401,03.12.2010,34,9,41,54,11
402,04.12.2010,33,7,36,46,15
403,05.12.2010,21,1,16,18,48
404,06.12.2010,21,5,27,34,25
405,07.12.2010,33,6,25,34,20
406,08.12.2010,40,2,16,19,37
407,09.12.2010,13,1,21,24,45
408,10.12.2010,11,2,28,31,38
409,11.12.2010,8,1,16,17,52
410,12.12.2010,5,0,5,6,61
411,13.12.2010,6,2,22,25,43
412,14.12.2010,5,1,10,11,51
413,15.12.2010,9,2,15,19,36
414,16.12.2010,24,4,24,31,24
415,17.12.2010,15,1,20,22,32
416,18.12.2010,19,5,25,32,32
417,19.12.2010,43,10,37,52,10
418,20.12.2010,31,4,28,33,20
419,21.12.2010,39,14,37,59,9
420,22.12.2010,88,7,37,47,8
421,23.12.2010,88,4,26,32,9
422,24.12.2010,15,0,7,7,30
423,25.12.2010,7,1,6,7,44
424,26.12.2010,16,1,19,22,43
425,27.12.2010,16,3,23,27,29
426,28.12.2010,28,1,12,14,38
427,29.12.2010,48,4,26,32,26
428,30.12.2010,50,5,34,41,18
429,31.12.2010,24,2,29,32,31
430,01.01.2011,30,1,12,13,62
431,02.01.2011,17,1,19,20,51
432,03.01.2011,16,3,33,38,32
433,04.01.2011,18,2,27,29,33
434,05.01.2011,25,2,23,25,38
435,06.01.2011,22,1,15,16,45
436,07.01.2011,7,2,21,24,32
437,08.01.2011,6,1,12,14,33
438,09.01.2011,7,1,12,13,44
439,10.01.2011,16,3,27,32,31
440,11.01.2011,32,2,21,24,17
441,12.01.2011,6,1,15,16,42
442,13.01.2011,,15,26,50,12
443,14.01.2011,,1,17,19,28
444,15.01.2011,10,0,10,10,52
445,16.01.2011,9,0,8,8,52
446,17.01.2011,12,8,25,37,15
447,18.01.2011,,2,24,27,27
448,19.01.2011,,2,25,28,34
449,20.01.2011,6,1,8,9,60
450,21.01.2011,13,2,15,18,
451,22.01.2011,17,2,19,22,
452,23.01.2011,10,0,11,11,
453,24.01.2011,11,1,13,15,
454,25.01.2011,11,1,21,22,
455,26.01.2011,7,2,16,18,
456,27.01.2011,6,0,4,4,
457,28.01.2011,26,1,11,13,32
458,29.01.2011,48,2,17,21,25
459,30.01.2011,70,7,25,36,9
460,31.01.2011,33,2,23,26,26
461,01.02.2011,64,2,24,28,24
462,02.02.2011,46,15,42,64,13
463,03.02.2011,23,2,28,31,21
464,04.02.2011,12,0,15,15,43
465,05.02.2011,11,0,7,7,65
466,06.02.2011,5,0,6,6,65
467,07.02.2011,16,0,11,11,55
468,08.02.2011,14,1,12,13,64
469,09.02.2011,25,7,37,48,25
470,10.02.2011,26,2,24,27,31
471,11.02.2011,17,3,24,28,40
472,12.02.2011,10,0,4,5,68
473,13.02.2011,20,0,6,6,60
474,14.02.2011,25,0,8,9,58
475,15.02.2011,38,1,12,13,57
476,16.02.2011,45,1,15,17,44
477,17.02.2011,60,1,14,16,35
478,18.02.2011,57,2,16,18,30
479,19.02.2011,31,0,7,8,55
480,20.02.2011,12,0,4,4,74
481,21.02.2011,24,0,6,7,75
482,22.02.2011,53,1,14,16,67
483,23.02.2011,52,3,19,23,53
484,24.02.2011,76,1,16,17,73
485,25.02.2011,96,1,17,18,78
486,26.02.2011,87,1,15,17,76
487,27.02.2011,88,1,15,16,66
488,28.02.2011,89,2,20,24,52
489,01.03.2011,77,2,22,25,59
490,02.03.2011,65,2,20,23,65
491,03.03.2011,69,1,22,23,75
492,04.03.2011,74,8,47,60,35
493,05.03.2011,44,2,36,39,33
494,06.03.2011,12,1,8,9,64
495,07.03.2011,13,4,19,25,49
496,08.03.2011,22,1,15,16,61
497,09.03.2011,37,2,17,20,62
498,10.03.2011,18,2,10,12,60
499,11.03.2011,15,1,14,16,64
500,12.03.2011,26,2,19,21,45
501,13.03.2011,35,0,16,16,57
502,14.03.2011,39,12,36,54,25
503,15.03.2011,55,2,14,16,44
504,16.03.2011,39,1,15,16,49
505,17.03.2011,28,0,11,12,47
506,18.03.2011,17,1,18,19,37
507,19.03.2011,11,0,8,8,67
508,20.03.2011,19,2,21,24,44
509,21.03.2011,23,7,25,36,40
510,22.03.2011,26,6,37,47,39
511,23.03.2011,19,1,19,21,58
512,24.03.2011,18,1,19,20,63
513,25.03.2011,14,1,21,22,56
514,26.03.2011,11,0,7,7,76
515,27.03.2011,21,0,7,7,67
516,28.03.2011,21,6,28,36,46
517,29.03.2011,20,4,26,32,53
518,30.03.2011,35,7,31,42,42
519,31.03.2011,23,1,14,16,54
520,01.04.2011,17,1,12,13,64
521,02.04.2011,22,1,12,14,42
522,03.04.2011,23,0,8,9,59
523,04.04.2011,11,1,12,14,59
524,05.04.2011,15,2,15,18,61
525,06.04.2011,17,1,17,19,42
526,07.04.2011,20,2,15,17,57
527,08.04.2011,27,1,9,10,80
528,09.04.2011,23,0,6,6,85
529,10.04.2011,10,0,7,8,81
530,11.04.2011,18,6,26,36,52
531,12.04.2011,25,1,18,19,66
532,13.04.2011,7,1,11,12,66
533,14.04.2011,7,1,13,14,47
534,15.04.2011,12,2,15,17,53
535,16.04.2011,18,2,16,19,60
536,17.04.2011,29,1,20,22,65
537,18.04.2011,34,3,19,24,60
538,19.04.2011,29,1,11,12,75
539,20.04.2011,23,1,12,12,93
540,21.04.2011,27,3,15,20,91
541,22.04.2011,36,0,9,9,117
542,23.04.2011,34,0,9,9,113
543,24.04.2011,26,0,6,6,101
544,25.04.2011,29,0,7,8,84
545,26.04.2011,30,1,10,10,70
546,27.04.2011,26,1,11,13,69
547,28.04.2011,40,1,11,12,100
548,29.04.2011,32,0,8,9,100
549,30.04.2011,15,0,3,4,88
550,01.05.2011,11,0,4,5,85
551,02.05.2011,,0,6,6,73
552,03.05.2011,,0,5,5,74
553,04.05.2011,10,2,15,18,63
554,05.05.2011,14,5,21,28,63
555,06.05.2011,17,1,11,12,93
556,07.05.2011,23,1,8,10,99
557,08.05.2011,16,0,5,5,81
558,09.05.2011,19,1,8,9,94
559,10.05.2011,21,1,8,9,103
560,11.05.2011,27,1,13,14,99
561,12.05.2011,25,1,15,17,89
562,13.05.2011,15,1,12,12,73
563,14.05.2011,17,1,9,10,71
564,15.05.2011,10,0,8,8,70
565,16.05.2011,10,1,12,13,56
566,17.05.2011,12,1,11,12,47
567,18.05.2011,18,1,11,13,69
568,19.05.2011,19,1,11,13,72
569,20.05.2011,18,1,8,10,75
570,21.05.2011,18,0,7,8,84
571,22.05.2011,19,0,5,6,100
572,23.05.2011,20,1,9,10,83
573,24.05.2011,21,1,10,12,79
574,25.05.2011,25,1,12,13,71
575,26.05.2011,25,1,8,8,102
576,27.05.2011,19,1,11,12,69
577,28.05.2011,11,0,6,7,82
578,29.05.2011,14,0,6,6,80
579,30.05.2011,16,1,7,8,95
580,31.05.2011,18,1,7,8,116
581,01.06.2011,9,1,4,6,71
582,02.06.2011,7,0,4,5,81
583,03.06.2011,13,0,6,7,70
584,04.06.2011,15,0,6,6,80
585,05.06.2011,23,0,5,5,107
586,06.06.2011,25,1,7,8,94
587,07.06.2011,16,1,10,10,84
588,08.06.2011,19,0,11,11,67
589,09.06.2011,14,1,9,10,83
590,10.06.2011,16,0,11,11,84
591,11.06.2011,18,0,10,10,81
592,12.06.2011,9,0,5,5,83
593,13.06.2011,12,0,5,6,87
594,14.06.2011,13,1,16,17,49
595,15.06.2011,17,1,12,13,73
596,16.06.2011,18,0,8,8,90
597,17.06.2011,10,0,8,8,77
598,18.06.2011,9,1,4,5,70
599,19.06.2011,7,0,3,3,62
600,20.06.2011,9,1,8,9,69
601,21.06.2011,9,2,12,14,47
602,22.06.2011,12,1,8,10,57
603,23.06.2011,10,1,8,9,64
604,24.06.2011,9,1,11,12,62
605,25.06.2011,9,0,7,7,72
606,26.06.2011,8,0,7,7,54
607,27.06.2011,15,1,9,11,65
608,28.06.2011,10,,7,7,76
609,29.06.2011,13,1,6,7,88
610,30.06.2011,14,1,12,13,48
611,01.07.2011,11,1,7,8,62
612,02.07.2011,9,0,5,5,52
613,03.07.2011,5,1,8,9,29
614,04.07.2011,8,1,14,16,20
615,05.07.2011,13,0,7,7,55
616,06.07.2011,14,1,6,7,78
617,07.07.2011,17,1,12,13,89
618,08.07.2011,19,0,8,9,79
619,09.07.2011,14,0,8,8,69
620,10.07.2011,13,0,5,5,69
621,11.07.2011,11,1,6,7,60
622,12.07.2011,17,1,7,9,74
623,13.07.2011,20,0,7,7,92
624,14.07.2011,14,0,8,8,61
625,15.07.2011,9,0,7,7,57
626,16.07.2011,15,1,9,10,80
627,17.07.2011,12,0,5,5,86
628,18.07.2011,7,1,4,5,57
629,19.07.2011,7,1,5,7,62
630,20.07.2011,15,0,5,6,71
631,21.07.2011,11,0,9,10,59
632,22.07.2011,8,1,8,9,51
633,23.07.2011,10,0,4,4,61
634,24.07.2011,8,0,4,4,67
635,25.07.2011,7,1,8,9,46
636,26.07.2011,9,1,6,8,51
637,27.07.2011,13,1,7,8,54
638,28.07.2011,14,3,19,24,34
639,29.07.2011,9,1,14,15,48
640,30.07.2011,7,1,8,9,49
641,31.07.2011,6,1,9,11,34
642,01.08.2011,13,2,13,17,32
643,02.08.2011,14,2,8,11,40
644,03.08.2011,23,1,6,7,63
645,04.08.2011,21,0,8,8,62
646,05.08.2011,14,1,9,9,53
647,06.08.2011,18,1,6,7,64
648,07.08.2011,11,0,5,5,55
649,08.08.2011,7,1,7,9,50
650,09.08.2011,7,1,6,7,54
651,10.08.2011,12,1,7,8,53
652,11.08.2011,13,1,8,10,62
653,12.08.2011,13,1,12,13,54
654,13.08.2011,11,1,9,11,46
655,14.08.2011,18,1,7,8,45
656,15.08.2011,10,1,12,13,47
657,16.08.2011,13,2,13,16,46
658,17.08.2011,16,1,11,12,55
659,18.08.2011,22,1,10,12,79
660,19.08.2011,16,1,10,11,76
661,20.08.2011,13,1,8,9,67
662,21.08.2011,20,0,11,12,69
663,22.08.2011,18,1,9,11,67
664,23.08.2011,14,0,7,8,54
665,24.08.2011,21,1,12,14,80
666,25.08.2011,17,1,10,11,80
667,26.08.2011,30,1,5,6,106
668,27.08.2011,17,0,6,6,58
669,28.08.2011,6,0,4,4,57
670,29.08.2011,8,1,10,11,53
671,30.08.2011,10,0,10,10,49
672,31.08.2011,12,2,15,18,39
673,01.09.2011,11,3,17,22,35
674,02.09.2011,15,2,12,15,50
675,03.09.2011,21,1,7,9,77
676,04.09.2011,25,1,6,8,85
677,05.09.2011,17,1,16,18,41
678,06.09.2011,11,1,8,10,54
679,07.09.2011,11,1,9,11,49
680,08.09.2011,7,1,11,12,37
681,09.09.2011,8,2,12,14,34
682,10.09.2011,12,2,10,13,24
683,11.09.2011,13,1,7,8,58
684,12.09.2011,10,0,7,7,59
685,13.09.2011,15,1,10,10,57
686,14.09.2011,18,1,12,13,45
687,15.09.2011,13,1,12,14,43
688,16.09.2011,12,3,18,23,37
689,17.09.2011,19,1,9,10,55
690,18.09.2011,11,0,6,6,49
691,19.09.2011,7,2,11,14,30
692,20.09.2011,16,7,17,27,31
693,21.09.2011,17,2,14,17,42
694,22.09.2011,18,1,17,18,41
695,23.09.2011,22,3,25,29,35
696,24.09.2011,21,3,14,18,38
697,25.09.2011,25,1,12,13,46
698,26.09.2011,24,4,17,23,43
699,27.09.2011,21,4,21,27,24
700,28.09.2011,13,5,13,20,25
701,29.09.2011,26,26,36,75,6
702,30.09.2011,20,12,17,35,28
703,01.10.2011,25,8,21,34,27
704,02.10.2011,34,2,15,18,37
705,03.10.2011,33,2,14,16,60
706,04.10.2011,27,1,14,15,67
707,05.10.2011,16,1,12,13,44
708,06.10.2011,14,1,9,10,46
709,07.10.2011,11,1,14,16,31
710,08.10.2011,8,0,7,8,50
711,09.10.2011,7,1,9,11,42
712,10.10.2011,7,1,14,16,28
713,11.10.2011,4,1,14,15,51
714,12.10.2011,12,2,19,22,39
715,13.10.2011,10,3,15,19,30
716,14.10.2011,9,7,17,27,20
717,15.10.2011,15,5,12,20,28
718,16.10.2011,16,1,9,11,37
719,17.10.2011,20,2,16,19,33
720,18.10.2011,20,1,14,16,43
721,19.10.2011,9,1,11,12,42
722,20.10.2011,9,1,23,25,29
723,21.10.2011,13,4,25,31,22
724,22.10.2011,19,3,18,22,24
725,23.10.2011,40,0,12,12,33
726,24.10.2011,45,1,7,8,37
727,25.10.2011,38,1,8,9,42
728,26.10.2011,26,2,18,21,16
729,27.10.2011,23,2,13,16,17
730,28.10.2011,30,2,15,18,21
731,29.10.2011,30,9,17,31,11
732,30.10.2011,32,2,16,19,13
733,31.10.2011,27,15,25,47,3
734,01.11.2011,36,1,13,15,33
735,02.11.2011,44,3,18,22,19
736,03.11.2011,55,1,16,17,25
