,Feinstaub (PM10)µg/m³,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ozonµg/m³,Ortschaft
2009-10-29,19,2,24,28,7,Grunewald
2009-10-30,17,10,21,37,14,Grunewald
2009-10-31,26,5,21,27,13,Grunewald
2009-11-01,49,2,18,20,15,Grunewald
2009-11-02,32,3,21,25,10,Grunewald
2009-11-03,39,1,23,25,14,Grunewald
2009-11-04,29,7,20,32,9,Grunewald
2009-11-05,10,2,20,22,16,Grunewald
2009-11-06,13,2,21,24,15,Grunewald
2009-11-07,27,6,22,31,7,Grunewald
2009-11-08,51,6,24,33,6,Grunewald
2009-11-09,18,4,18,24,8,Grunewald
2009-11-10,14,9,17,31,2,Grunewald
2009-11-11,16,27,19,60,1,Grunewald
2009-11-12,23,8,17,29,10,Grunewald
2009-11-13,19,9,22,36,3,Grunewald
2009-11-14,18,10,21,37,6,Grunewald
2009-11-15,15,4,17,24,20,Grunewald
2009-11-16,18,27,26,67,3,Grunewald
2009-11-17,13,10,17,32,11,Grunewald
2009-11-18,10,1,8,9,40,Grunewald
2009-11-19,13,0,10,10,43,Grunewald
2009-11-20,19,12,31,49,9,Grunewald
2009-11-21,33,8,25,37,9,Grunewald
2009-11-22,32,4,21,28,18,Grunewald
2009-11-23,11,0,9,9,53,Grunewald
2009-11-24,11,0,6,7,53,Grunewald
2009-11-25,11,0,11,12,50,Grunewald
2009-11-26,8,0,9,10,53,Grunewald
2009-11-27,8,0,10,11,49,Grunewald
2009-11-28,9,0,7,8,48,Grunewald
2009-11-29,10,2,17,19,37,Grunewald
2009-11-30,24,7,26,37,9,Grunewald
2009-12-01,13,0,15,16,23,Grunewald
2009-12-02,15,6,20,30,18,Grunewald
2009-12-03,25,9,30,44,4,Grunewald
2009-12-04,34,10,29,45,5,Grunewald
2009-12-05,22,3,22,27,17,Grunewald
2009-12-06,18,1,19,21,12,Grunewald
2009-12-07,13,18,24,53,18,Grunewald
2009-12-08,27,18,29,57,2,Grunewald
2009-12-09,28,11,20,37,1,Grunewald
2009-12-10,16,6,33,43,3,Grunewald
2009-12-11,26,2,19,23,10,Grunewald
2009-12-12,17,4,18,24,6,Grunewald
2009-12-13,21,0,14,15,32,Grunewald
2009-12-14,20,1,11,12,24,Grunewald
2009-12-15,21,11,24,41,6,Grunewald
2009-12-16,24,9,31,45,10,Grunewald
2009-12-17,27,1,18,19,23,Grunewald
2009-12-18,24,1,22,23,29,Grunewald
2009-12-19,39,5,34,42,19,Grunewald
2009-12-20,52,2,23,26,25,Grunewald
2009-12-21,21,5,25,32,32,Grunewald
2009-12-22,25,2,21,23,29,Grunewald
2009-12-23,19,25,30,68,10,Grunewald
2009-12-24,30,0,15,16,24,Grunewald
2009-12-25,20,1,12,14,21,Grunewald
2009-12-26,9,0,5,6,53,Grunewald
2009-12-27,12,1,17,18,27,Grunewald
2009-12-28,14,0,9,9,39,Grunewald
2009-12-29,13,0,13,14,34,Grunewald
2009-12-30,43,3,28,33,17,Grunewald
2009-12-31,17,1,15,16,49,Grunewald
2010-01-01,33,0,15,15,46,Grunewald
2010-01-02,9,0,8,8,50,Grunewald
2010-01-03,18,4,20,26,24,Grunewald
2010-01-04,16,0,16,16,23,Grunewald
2010-01-05,26,5,34,41,13,Grunewald
2010-01-06,90,25,48,86,7,Grunewald
2010-01-07,45,4,38,44,16,Grunewald
2010-01-08,39,10,29,44,21,Grunewald
2010-01-09,18,0,8,9,47,Grunewald
2010-01-10,22,1,10,11,41,Grunewald
2010-01-11,18,2,28,31,23,Grunewald
2010-01-12,50,8,35,48,10,Grunewald
2010-01-13,47,2,21,24,25,Grunewald
2010-01-14,54,3,31,35,18,Grunewald
2010-01-15,78,3,31,36,15,Grunewald
2010-01-16,65,1,22,23,29,Grunewald
2010-01-17,52,1,24,25,29,Grunewald
2010-01-18,39,1,18,20,17,Grunewald
2010-01-19,29,24,34,72,2,Grunewald
2010-01-20,66,3,28,32,21,Grunewald
2010-01-21,50,1,30,32,35,Grunewald
2010-01-22,59,1,28,30,38,Grunewald
2010-01-23,79,2,27,30,47,Grunewald
2010-01-24,88,1,22,23,61,Grunewald
2010-01-25,87,3,39,43,48,Grunewald
