,date,PM10,NOx,NO_2,NOx
1,29.10.2009,21,29,40,85
2,30.10.2009,25,37,40,96
3,31.10.2009,34,28,37,80
4,01.11.2009,51,11,23,40
5,02.11.2009,38,45,45,114
6,03.11.2009,40,13,26,46
7,04.11.2009,36,51,41,118
8,05.11.2009,28,64,55,153
9,06.11.2009,25,65,56,155
10,07.11.2009,31,24,32,69
11,08.11.2009,53,15,29,51
12,09.11.2009,22,56,42,128
13,10.11.2009,27,109,52,219
14,11.11.2009,38,146,64,287
15,12.11.2009,46,130,78,276
16,13.11.2009,30,77,57,176
17,14.11.2009,26,39,44,104
18,15.11.2009,20,37,48,104
19,16.11.2009,29,103,61,218
20,17.11.2009,32,137,81,290
21,18.11.2009,17,40,43,105
22,19.11.2009,22,56,57,143
23,20.11.2009,36,87,67,199
24,21.11.2009,47,72,60,169
25,22.11.2009,41,32,43,91
26,23.11.2009,17,33,44,93
27,24.11.2009,19,56,58,142
28,25.11.2009,20,39,52,112
29,26.11.2009,19,45,53,122
30,27.11.2009,15,38,48,105
31,28.11.2009,14,23,35,71
32,29.11.2009,14,19,37,66
33,30.11.2009,37,108,64,228
34,01.12.2009,22,82,67,192
35,02.12.2009,30,100,69,222
36,03.12.2009,32,39,42,102
37,04.12.2009,45,46,41,111
38,05.12.2009,34,41,48,111
39,06.12.2009,22,28,38,80
40,07.12.2009,32,128,80,275
41,08.12.2009,29,27,32,73
42,09.12.2009,62,165,72,324
43,10.12.2009,22,35,42,95
44,11.12.2009,37,52,49,128
45,12.12.2009,38,58,46,134
46,13.12.2009,27,21,35,67
47,14.12.2009,44,144,85,305
48,15.12.2009,38,83,69,196
49,16.12.2009,36,43,53,118
50,17.12.2009,35,78,58,177
51,18.12.2009,38,20,30,61
52,19.12.2009,53,38,46,104
53,20.12.2009,65,31,42,90
54,21.12.2009,41,72,64,174
55,22.12.2009,39,79,62,182
56,23.12.2009,43,164,83,333
57,24.12.2009,32,6,19,28
58,25.12.2009,24,20,25,55
59,26.12.2009,18,17,27,52
60,27.12.2009,21,30,40,86
61,28.12.2009,20,62,55,149
62,29.12.2009,21,25,31,68
63,30.12.2009,48,19,32,61
64,31.12.2009,24,8,23,36
65,01.01.2010,63,11,28,45
66,02.01.2010,20,49,49,124
67,03.01.2010,19,20,32,63
68,04.01.2010,31,88,55,189
69,05.01.2010,37,62,55,149
70,06.01.2010,132,125,76,266
71,07.01.2010,66,132,79,281
72,08.01.2010,54,91,60,199
73,09.01.2010,33,6,19,29
74,10.01.2010,24,7,21,31
