,Feinstaub (PM10)µg/m³,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ozonµg/m³,Kohlenmonoxidmg/m³,Ortschaft
2019-09-07,10,10,21,36,52,0.2,Messwagen Leipziger Str.
2019-10-07,13,9,20,34,49,0.2,Messwagen Leipziger Str.
2019-11-07,18,19,42,71,56,0.2,Messwagen Leipziger Str.
2019-12-07,16,12,32,50,52,0.2,Messwagen Leipziger Str.
2019-07-13,16,9,26,40,55,0.2,Messwagen Leipziger Str.
2019-07-14,17,4,14,21,53,0.2,Messwagen Leipziger Str.
2019-07-15,14,17,26,52,48,0.2,Messwagen Leipziger Str.
2019-07-16,12,17,25,51,43,0.2,Messwagen Leipziger Str.
2019-07-17,16,12,24,42,50,0.2,Messwagen Leipziger Str.
2019-07-18,17,30,47,93,54,0.3,Messwagen Leipziger Str.
2019-07-19,20,21,44,75,58,0.3,Messwagen Leipziger Str.
2019-07-20,19,20,48,79,56,0.3,Messwagen Leipziger Str.
2019-07-21,16,5,18,25,66,0.2,Messwagen Leipziger Str.
2019-07-22,19,19,39,68,56,0.2,Messwagen Leipziger Str.
2019-07-23,19,7,27,38,59,0.2,Messwagen Leipziger Str.
2019-07-24,22,15,43,66,53,0.2,Messwagen Leipziger Str.
2019-07-25,25,21,43,74,52,0.2,Messwagen Leipziger Str.
2019-07-26,20,14,35,55,52,0.2,Messwagen Leipziger Str.
2019-07-27,22,10,29,44,64,0.2,Messwagen Leipziger Str.
2019-07-28,20,7,31,42,84,0.2,Messwagen Leipziger Str.
2019-07-29,27,18,52,79,73,0.3,Messwagen Leipziger Str.
2019-07-30,28,10,26,41,52,0.2,Messwagen Leipziger Str.
2019-07-31,20,11,36,52,50,0.2,Messwagen Leipziger Str.
2019-01-08,14,14,33,54,55,0.2,Messwagen Leipziger Str.
2019-02-08,19,26,59,99,35,0.3,Messwagen Leipziger Str.
2019-03-08,13,7,28,38,49,0.2,Messwagen Leipziger Str.
2019-04-08,13,3,16,21,60,0.2,Messwagen Leipziger Str.
2019-05-08,19,40,60,122,42,0.4,Messwagen Leipziger Str.
2019-06-08,19,22,42,76,60,0.3,Messwagen Leipziger Str.
2019-07-08,19,30,50,96,44,0.3,Messwagen Leipziger Str.
2019-08-08,17,23,38,74,55,0.3,Messwagen Leipziger Str.
2019-09-08,19,22,46,80,60,0.3,Messwagen Leipziger Str.
2019-10-08,14,15,27,49,60,0.2,Messwagen Leipziger Str.
2019-11-08,15,11,30,47,62,0.2,Messwagen Leipziger Str.
2019-12-08,17,22,37,70,58,0.3,Messwagen Leipziger Str.
2019-08-13,13,17,27,52,63,0.2,Messwagen Leipziger Str.
2019-08-14,14,17,37,62,55,0.3,Messwagen Leipziger Str.
2019-08-15,22,41,53,115,40,0.3,Messwagen Leipziger Str.
2019-08-16,16,21,33,64,37,0.3,Messwagen Leipziger Str.
2019-08-17,20,22,41,75,44,0.3,Messwagen Leipziger Str.
2019-08-18,10,18,27,54,36,0.3,Messwagen Leipziger Str.
2019-08-19,14,31,39,86,37,0.3,Messwagen Leipziger Str.
2019-08-20,17,24,48,84,43,0.3,Messwagen Leipziger Str.
2019-08-21,15,11,36,53,57,0.3,Messwagen Leipziger Str.
2019-08-22,21,34,64,116,50,0.4,Messwagen Leipziger Str.
2019-08-23,24,30,57,104,57,0.4,Messwagen Leipziger Str.
2019-08-24,24,10,42,56,74,0.3,Messwagen Leipziger Str.
2019-08-25,19,9,31,44,82,0.3,Messwagen Leipziger Str.
2019-08-26,31,23,61,96,62,0.4,Messwagen Leipziger Str.
2019-08-27,30,31,63,111,59,0.4,Messwagen Leipziger Str.
2019-08-28,27,32,64,112,61,0.4,Messwagen Leipziger Str.
2019-08-29,20,12,36,55,82,0.2,Messwagen Leipziger Str.
2019-08-30,23,12,47,66,79,0.3,Messwagen Leipziger Str.
2019-08-31,25,16,54,78,80,0.4,Messwagen Leipziger Str.
2019-01-09,21,4,20,26,89,0.2,Messwagen Leipziger Str.
2019-02-09,13,9,23,37,55,0.2,Messwagen Leipziger Str.
2019-03-09,18,34,45,96,40,0.3,Messwagen Leipziger Str.
2019-04-09,25,31,49,97,52,0.3,Messwagen Leipziger Str.
2019-05-09,16,19,25,54,51,0.2,Messwagen Leipziger Str.
2019-06-09,16,36,44,99,38,0.3,Messwagen Leipziger Str.
2019-07-09,20,24,45,82,35,0.3,Messwagen Leipziger Str.
2019-08-09,12,7,28,38,56,0.2,Messwagen Leipziger Str.
2019-09-09,11,,,,,,Messwagen Leipziger Str.
2019-10-09,,,,,,,Messwagen Leipziger Str.
2019-11-09,,,,,,,Messwagen Leipziger Str.
2019-12-09,,,,,,,Messwagen Leipziger Str.
2019-09-13,15,22,29,63,34,0.3,Messwagen Leipziger Str.
2019-09-14,14,16,32,56,40,0.3,Messwagen Leipziger Str.
2019-09-15,13,13,28,47,55,0.3,Messwagen Leipziger Str.
2019-09-16,18,16,26,50,41,0.2,Messwagen Leipziger Str.
2019-09-17,12,17,24,50,40,0.2,Messwagen Leipziger Str.
2019-09-18,12,9,19,32,50,0.2,Messwagen Leipziger Str.
2019-09-19,12,10,26,41,39,0.2,Messwagen Leipziger Str.
2019-09-20,14,16,31,56,35,0.2,Messwagen Leipziger Str.
2019-09-21,19,32,50,99,28,0.4,Messwagen Leipziger Str.
2019-09-22,20,17,40,66,41,0.4,Messwagen Leipziger Str.
2019-09-23,30,38,54,113,40,0.4,Messwagen Leipziger Str.
2019-09-24,35,37,46,102,20,0.4,Messwagen Leipziger Str.
2019-09-25,23,59,51,141,11,0.4,Messwagen Leipziger Str.
2019-09-26,16,60,49,141,12,0.4,Messwagen Leipziger Str.
2019-09-27,12,48,44,118,14,0.4,Messwagen Leipziger Str.
2019-09-28,12,21,25,56,26,0.2,Messwagen Leipziger Str.
2019-09-29,9,13,19,38,36,0.2,Messwagen Leipziger Str.
2019-09-30,7,17,22,47,44,0.2,Messwagen Leipziger Str.
2019-01-10,11,41,36,98,23,0.3,Messwagen Leipziger Str.
2019-02-10,8,15,29,52,36,0.2,Messwagen Leipziger Str.
2019-03-10,7,6,16,25,30,0.2,Messwagen Leipziger Str.
2019-04-10,12,52,42,121,14,0.4,Messwagen Leipziger Str.
2019-05-10,12,8,25,38,28,0.2,Messwagen Leipziger Str.
2019-06-10,11,19,32,62,29,0.3,Messwagen Leipziger Str.
2019-07-10,17,57,63,149,15,0.4,Messwagen Leipziger Str.
2019-08-10,15,42,39,102,13,0.3,Messwagen Leipziger Str.
2019-09-10,13,37,32,88,25,0.3,Messwagen Leipziger Str.
2019-10-10,11,34,34,86,30,0.3,Messwagen Leipziger Str.
2019-11-10,12,37,34,90,27,0.3,Messwagen Leipziger Str.
2019-12-10,13,24,36,73,36,0.3,Messwagen Leipziger Str.
2019-10-13,19,22,37,71,35,0.3,Messwagen Leipziger Str.
2019-10-14,20,39,47,107,29,0.3,Messwagen Leipziger Str.
2019-10-15,38,53,57,139,18,0.5,Messwagen Leipziger Str.
2019-10-16,20,39,40,100,19,0.3,Messwagen Leipziger Str.
2019-10-17,14,52,48,128,16,0.4,Messwagen Leipziger Str.
2019-10-18,12,50,43,120,22,0.4,Messwagen Leipziger Str.
2019-10-19,13,36,41,96,20,0.3,Messwagen Leipziger Str.
2019-10-20,19,28,43,85,17,0.4,Messwagen Leipziger Str.
2019-10-21,34,81,49,172,5,0.5,Messwagen Leipziger Str.
2019-10-22,20,30,42,87,12,0.3,Messwagen Leipziger Str.
2019-10-23,33,56,51,136,11,0.4,Messwagen Leipziger Str.
2019-10-24,55,56,51,136,13,0.5,Messwagen Leipziger Str.
2019-10-25,22,52,47,126,14,0.4,Messwagen Leipziger Str.
2019-10-26,14,26,34,75,29,0.3,Messwagen Leipziger Str.
2019-10-27,11,13,23,42,44,0.2,Messwagen Leipziger Str.
2019-10-28,11,28,36,78,31,0.3,Messwagen Leipziger Str.
2019-10-29,15,15,36,58,24,0.2,Messwagen Leipziger Str.
