,Feinstaub (PM10)µg/m³,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ozonµg/m³,Benzolµg/m³,Toluolµg/m³,Ortschaft
2013-08-20,17,6,23,32,45,1.5,8.2,Neukölln
2013-08-21,23,12,43,61,36,1.5,6.3,Neukölln
2013-08-22,28,20,35,65,50,1.9,8.0,Neukölln
2013-08-23,22,2,15,18,61,0.7,2.2,Neukölln
2013-08-24,18,1,12,14,63,0.7,1.6,Neukölln
2013-08-25,21,1,9,10,73,0.7,1.3,Neukölln
2013-08-26,17,1,16,18,59,0.9,1.9,Neukölln
2013-08-27,27,1,23,25,55,0.9,2.6,Neukölln
2013-08-28,30,5,29,36,48,1.2,4.5,Neukölln
2013-08-29,32,23,47,82,45,1.9,8.0,Neukölln
2013-08-30,42,21,64,97,51,2.5,10.0,Neukölln
2013-08-31,32,4,38,44,47,1.3,5.0,Neukölln
2013-09-01,21,3,15,19,49,0.8,2.1,Neukölln
2013-09-02,18,5,18,26,33,0.9,2.7,Neukölln
2013-09-03,10,12,24,42,18,1.1,4.3,Neukölln
2013-09-04,13,7,25,35,25,1.4,4.5,Neukölln
2013-09-05,18,3,17,22,50,0.6,2.3,Neukölln
2013-09-06,24,2,18,20,73,0.8,1.8,Neukölln
2013-09-07,22,1,15,17,83,0.9,1.5,Neukölln
2013-09-08,28,2,16,18,79,1.1,2.2,Neukölln
2013-09-09,16,5,26,34,36,1.0,3.2,Neukölln
2013-09-10,13,5,31,39,25,1.0,2.7,Neukölln
2013-09-11,12,8,32,44,19,0.9,2.6,Neukölln
2013-09-12,15,11,31,48,14,1.0,3.6,Neukölln
2013-09-13,18,19,34,63,33,1.2,4.7,Neukölln
2013-09-14,19,4,28,34,45,0.8,3.1,Neukölln
2013-09-15,12,2,19,23,33,0.7,2.4,Neukölln
2013-09-16,13,3,31,37,26,0.7,2.5,Neukölln
2013-09-17,18,8,33,45,29,0.9,3.3,Neukölln
2013-09-18,13,9,30,43,14,0.7,2.7,Neukölln
2013-09-19,16,9,32,47,19,0.9,3.5,Neukölln
2013-09-20,15,17,37,64,7,1.1,3.9,Neukölln
2013-09-21,15,7,28,38,22,0.9,3.4,Neukölln
2013-09-22,18,4,23,30,29,0.7,2.6,Neukölln
2013-09-23,16,8,19,31,32,0.6,2.8,Neukölln
2013-09-24,9,9,32,46,18,1.0,4.0,Neukölln
2013-09-25,11,8,22,35,25,0.6,2.2,Neukölln
2013-09-26,12,17,31,57,28,1.0,3.4,Neukölln
2013-09-27,14,25,41,79,21,1.1,4.4,Neukölln
2013-09-28,20,20,34,65,29,1.0,3.8,Neukölln
2013-09-29,10,2,14,17,35,0.5,0.9,Neukölln
2013-09-30,16,3,16,20,35,0.7,1.1,Neukölln
2013-10-01,17,5,22,30,33,0.8,1.4,Neukölln
2013-10-02,20,7,26,37,32,0.9,1.8,Neukölln
2013-10-03,26,3,14,18,42,0.9,1.2,Neukölln
2013-10-04,26,3,26,30,43,0.8,1.3,Neukölln
2013-10-05,26,6,34,43,28,1.2,2.6,Neukölln
2013-10-06,30,13,32,52,7,1.6,4.7,Neukölln
2013-10-07,21,25,45,84,10,1.4,5.3,Neukölln
2013-10-08,32,28,47,90,10,1.4,5.1,Neukölln
2013-10-09,32,13,37,57,13,1.1,3.6,Neukölln
2013-10-10,19,10,32,47,18,0.9,2.9,Neukölln
2013-10-11,41,3,20,24,37,1.4,1.9,Neukölln
2013-10-12,52,2,20,23,25,1.5,1.8,Neukölln
2013-10-13,19,14,30,51,18,1.1,3.2,Neukölln
2013-10-14,23,16,34,58,17,1.1,3.0,Neukölln
2013-10-15,22,9,41,56,13,1.1,2.9,Neukölln
2013-10-16,22,16,43,67,12,1.3,4.6,Neukölln
2013-10-17,18,6,25,35,29,0.8,2.2,Neukölln
2013-10-18,11,5,27,34,42,0.9,1.7,Neukölln
2013-10-19,17,5,27,34,23,1.0,1.5,Neukölln
2013-10-20,21,7,27,38,18,1.1,3.2,Neukölln
2013-10-21,17,8,37,49,25,1.0,3.7,Neukölln
2013-10-22,24,21,39,71,16,1.1,3.1,Neukölln
2013-10-23,22,4,33,40,21,0.9,2.1,Neukölln
2013-10-24,20,23,46,81,20,1.2,3.8,Neukölln
2013-10-25,31,37,43,100,6,1.7,5.0,Neukölln
2013-10-26,19,7,29,39,13,1.0,2.6,Neukölln
2013-10-27,13,2,13,16,47,0.5,1.3,Neukölln
2013-10-28,11,2,18,20,52,0.5,1.2,Neukölln
2013-10-29,12,4,27,33,44,0.6,1.5,Neukölln
2013-10-30,17,11,40,57,23,0.9,2.3,Neukölln
2013-10-31,22,11,39,56,19,1.1,2.4,Neukölln
2013-11-01,23,8,35,46,17,1.0,2.1,Neukölln
2013-11-02,19,6,29,39,13,1.0,2.4,Neukölln
2013-11-03,12,3,24,30,31,0.8,2.0,Neukölln
2013-11-04,8,2,22,25,40,0.6,1.1,Neukölln
2013-11-05,15,6,31,41,29,0.8,2.0,Neukölln
2013-11-06,14,6,33,42,26,0.9,2.3,Neukölln
2013-11-07,11,8,36,48,15,0.9,2.4,Neukölln
2013-11-08,14,13,45,66,15,1.1,2.8,Neukölln
2013-11-09,12,2,24,27,35,0.8,1.5,Neukölln
2013-11-10,10,3,23,29,38,0.8,1.5,Neukölln
2013-11-11,16,24,38,75,13,1.5,3.5,Neukölln
2013-11-12,24,13,38,58,9,1.1,2.1,Neukölln
2013-11-13,25,14,40,62,16,1.3,3.4,Neukölln
2013-11-14,27,26,42,81,8,1.4,2.9,Neukölln
2013-11-15,34,4,27,34,26,1.2,1.9,Neukölln
2013-11-16,35,15,31,55,18,1.2,2.3,Neukölln
2013-11-17,27,12,31,49,6,1.3,2.2,Neukölln
2013-11-18,29,13,28,48,11,1.6,2.1,Neukölln
2013-11-19,32,18,33,61,4,1.6,2.6,Neukölln
2013-11-20,18,14,30,51,,1.4,3.0,Neukölln
2013-11-21,15,19,36,65,24,1.0,2.2,Neukölln
2013-11-22,19,13,25,46,9,1.7,3.1,Neukölln
2013-11-23,18,6,21,29,11,1.7,2.6,Neukölln
2013-11-24,12,4,25,31,30,1.0,2.5,Neukölln
2013-11-25,15,10,37,53,25,1.3,3.2,Neukölln
2013-11-26,16,32,49,98,19,1.7,4.6,Neukölln
2013-11-27,22,27,47,88,4,1.6,3.1,Neukölln
2013-11-28,23,10,34,50,28,1.0,2.1,Neukölln
2013-11-29,23,7,35,46,25,1.0,2.2,Neukölln
2013-11-30,9,5,28,36,29,1.0,2.2,Neukölln
2013-12-01,18,2,22,26,34,0.8,1.6,Neukölln
2013-12-02,27,31,43,91,11,1.4,3.5,Neukölln
2013-12-03,27,55,37,121,4,1.8,4.0,Neukölln
2013-12-04,29,37,41,97,4,1.7,3.4,Neukölln
2013-12-05,16,5,24,32,35,0.8,1.7,Neukölln
2013-12-06,10,3,15,19,56,0.7,1.1,Neukölln
2013-12-07,15,5,24,31,41,0.8,1.3,Neukölln
2013-12-08,13,4,26,31,31,0.9,1.5,Neukölln
2013-12-09,10,8,32,45,22,1.0,2.4,Neukölln
2013-12-10,14,18,36,64,6,1.2,3.3,Neukölln
2013-12-11,24,8,31,43,15,1.0,2.5,Neukölln
2013-12-12,14,13,29,50,8,1.2,1.9,Neukölln
2013-12-13,18,38,34,92,1,1.7,3.2,Neukölln
2013-12-14,22,16,35,60,3,1.4,2.4,Neukölln
2013-12-15,19,5,30,37,18,1.2,1.9,Neukölln
2013-12-16,17,13,44,64,11,1.4,2.2,Neukölln
2013-12-17,23,49,58,133,6,2.1,4.6,Neukölln
2013-12-18,34,36,46,102,1,2.5,3.5,Neukölln
2013-12-19,27,14,43,64,4,2.3,2.5,Neukölln
2013-12-20,26,32,41,90,5,1.9,3.2,Neukölln
2013-12-21,14,3,24,28,31,0.9,1.3,Neukölln
2013-12-22,12,1,18,20,38,0.9,1.3,Neukölln
2013-12-23,10,3,29,34,37,0.8,1.6,Neukölln
2013-12-24,10,2,19,22,37,1.2,1.2,Neukölln
2013-12-25,19,7,27,37,24,1.5,1.9,Neukölln
2013-12-26,27,4,22,28,15,1.6,2.0,Neukölln
2013-12-27,13,3,21,26,35,1.0,1.2,Neukölln
2013-12-28,11,7,32,43,25,1.1,1.8,Neukölln
2013-12-29,10,2,23,26,35,0.9,1.4,Neukölln
2013-12-30,14,8,32,44,18,1.1,1.7,Neukölln
2013-12-31,43,11,36,52,10,1.5,1.9,Neukölln
2014-01-01,120,9,30,44,9,1.8,1.7,Neukölln
2014-01-02,30,7,32,43,12,1.7,1.8,Neukölln
2014-01-03,15,6,34,43,19,1.4,1.7,Neukölln
2014-01-04,17,4,29,34,33,1.2,1.7,Neukölln
2014-01-05,19,5,33,41,15,1.4,2.1,Neukölln
2014-01-06,11,5,36,43,22,1.0,1.6,Neukölln
2014-01-07,12,6,35,43,22,1.0,1.9,Neukölln
2014-01-08,14,8,39,52,15,1.1,2.2,Neukölln
2014-01-09,14,9,32,45,20,1.0,1.9,Neukölln
2014-01-10,11,4,22,28,46,0.8,1.4,Neukölln
2014-01-11,14,4,23,29,34,1.0,1.7,Neukölln
2014-01-12,15,3,16,20,50,0.8,1.1,Neukölln
2014-01-13,23,12,38,57,9,1.2,1.9,Neukölln
2014-01-14,30,28,32,75,5,1.8,2.8,Neukölln
2014-01-15,34,8,30,42,10,1.8,2.1,Neukölln
2014-01-16,28,12,35,53,6,1.9,2.0,Neukölln
2014-01-17,24,26,41,81,2,1.7,2.9,Neukölln
2014-01-18,28,16,30,54,10,1.8,2.3,Neukölln
2014-01-19,40,3,11,15,20,2.0,1.4,Neukölln
2014-01-20,28,5,17,25,15,1.9,1.4,Neukölln
2014-01-21,28,6,25,35,14,2.1,1.8,Neukölln
2014-01-22,45,5,23,31,16,2.2,1.6,Neukölln
2014-01-23,49,4,23,29,26,2.3,1.7,Neukölln
2014-01-24,64,4,28,34,32,2.9,2.2,Neukölln
2014-01-25,50,4,28,34,34,2.4,1.9,Neukölln
2014-01-26,60,3,20,24,38,2.7,1.7,Neukölln
2014-01-27,84,10,39,54,14,4.3,3.1,Neukölln
2014-01-28,81,10,33,48,16,3.9,2.8,Neukölln
2014-01-29,43,3,22,26,31,,1.4,Neukölln
2014-01-30,60,4,23,30,29,,2.0,Neukölln
2014-01-31,69,26,47,86,17,3.6,3.3,Neukölln
2014-02-01,44,7,39,49,21,2.1,2.0,Neukölln
2014-02-02,49,8,33,46,10,2.2,2.5,Neukölln
2014-02-03,35,9,28,41,16,2.0,1.8,Neukölln
2014-02-04,36,6,43,53,27,1.7,1.6,Neukölln
2014-02-05,43,7,39,49,21,1.8,1.7,Neukölln
2014-02-06,28,9,41,55,18,1.6,2.0,Neukölln
2014-02-07,22,6,32,41,29,1.3,1.7,Neukölln
2014-02-08,14,3,26,30,42,0.9,1.2,Neukölln
2014-02-09,12,1,19,21,50,0.9,1.2,Neukölln
2014-02-10,20,5,31,38,40,1.0,1.4,Neukölln
2014-02-11,23,6,34,43,25,1.4,2.3,Neukölln
2014-02-12,19,7,38,49,28,1.1,1.8,Neukölln
2014-02-13,20,5,34,41,31,1.0,1.5,Neukölln
2014-02-14,21,8,34,46,34,1.1,1.9,Neukölln
2014-02-15,15,2,19,23,40,0.9,1.1,Neukölln
2014-02-16,12,2,17,21,53,0.8,1.2,Neukölln
2014-02-17,20,10,39,54,26,1.1,2.1,Neukölln
2014-02-18,27,17,48,74,10,1.4,2.9,Neukölln
2014-02-19,28,15,43,67,10,1.6,3.2,Neukölln
2014-02-20,28,12,38,56,17,1.2,2.8,Neukölln
2014-02-21,20,6,33,42,25,1.1,2.2,Neukölln
2014-02-22,17,4,30,36,38,1.0,1.9,Neukölln
2014-02-23,19,3,33,38,34,1.2,1.7,Neukölln
2014-02-24,29,7,41,53,31,1.4,1.7,Neukölln
2014-02-25,46,11,43,60,25,1.8,2.0,Neukölln
2014-02-26,56,40,58,119,12,2.4,5.2,Neukölln
2014-02-27,60,24,51,88,8,2.3,4.2,Neukölln
2014-02-28,49,18,40,67,10,1.7,3.0,Neukölln
2014-03-01,48,10,31,46,26,2.1,2.4,Neukölln
2014-03-02,55,15,36,58,24,2.6,4.0,Neukölln
2014-03-03,51,3,21,26,39,1.8,1.7,Neukölln
2014-03-04,58,8,27,40,16,2.2,2.3,Neukölln
2014-03-05,71,18,34,61,10,2.2,3.1,Neukölln
2014-03-06,73,15,37,60,9,2.0,3.2,Neukölln
2014-03-07,51,17,46,72,16,2.0,3.0,Neukölln
2014-03-08,46,7,39,51,37,1.5,2.4,Neukölln
2014-03-09,49,4,39,45,37,1.6,2.2,Neukölln
2014-03-10,69,48,67,140,37,2.8,7.0,Neukölln
2014-03-11,52,23,36,72,41,2.1,5.4,Neukölln
2014-03-12,29,14,42,63,39,1.5,2.9,Neukölln
2014-03-13,54,36,73,129,24,2.7,7.7,Neukölln
2014-03-14,57,11,57,75,33,1.7,4.2,Neukölln
2014-03-15,33,2,14,17,68,0.8,1.2,Neukölln
2014-03-16,10,1,9,12,64,0.6,1.0,Neukölln
2014-03-17,17,2,19,22,53,0.6,1.3,Neukölln
2014-03-18,27,4,27,33,36,0.8,2.1,Neukölln
2014-03-19,19,3,27,31,44,0.8,1.9,Neukölln
2014-03-20,27,6,32,42,48,0.9,2.1,Neukölln
2014-03-21,24,2,21,25,71,0.7,1.5,Neukölln
2014-03-22,14,2,25,29,45,0.8,1.6,Neukölln
2014-03-23,17,3,27,32,48,0.9,2.1,Neukölln
2014-03-24,21,7,38,49,39,1.1,2.7,Neukölln
2014-03-25,18,10,41,56,30,1.2,3.1,Neukölln
2014-03-26,17,6,26,36,47,1.0,1.6,Neukölln
2014-03-27,23,2,20,22,62,1.0,1.3,Neukölln
2014-03-28,41,7,29,40,24,1.7,2.7,Neukölln
2014-03-29,56,10,35,50,33,1.9,3.3,Neukölln
2014-03-30,53,3,31,36,70,1.8,2.6,Neukölln
2014-03-31,52,12,56,74,49,2.1,5.5,Neukölln
2014-04-01,57,8,40,53,51,1.4,3.2,Neukölln
2014-04-02,42,2,21,24,66,1.3,1.5,Neukölln
2014-04-03,63,15,42,65,52,1.8,3.7,Neukölln
2014-04-04,33,3,20,24,66,1.0,1.4,Neukölln
2014-04-05,34,1,22,23,54,1.2,1.3,Neukölln
2014-04-06,38,2,29,32,56,1.3,2.5,Neukölln
2014-04-07,28,5,36,44,33,1.0,3.0,Neukölln
2014-04-08,22,5,25,32,52,0.7,2.0,Neukölln
2014-04-09,15,3,17,22,65,0.7,1.4,Neukölln
2014-04-10,13,5,22,30,48,0.8,1.8,Neukölln
2014-04-11,17,9,39,53,34,1.0,2.7,Neukölln
2014-04-12,22,3,31,36,43,1.0,2.6,Neukölln
2014-04-13,19,2,17,20,64,0.7,2.0,Neukölln
2014-04-14,15,3,18,23,64,0.7,1.5,Neukölln
2014-04-15,17,3,19,24,57,0.8,1.9,Neukölln
2014-04-16,14,5,29,37,48,0.9,2.0,Neukölln
2014-04-17,20,9,39,53,46,1.0,2.3,Neukölln
2014-04-18,16,1,20,21,62,0.8,1.5,Neukölln
2014-04-19,29,2,21,24,59,1.0,2.0,Neukölln
2014-04-20,31,1,13,14,84,0.8,1.1,Neukölln
2014-04-21,21,1,11,13,77,0.7,0.8,Neukölln
2014-04-22,24,3,23,27,64,0.8,1.6,Neukölln
2014-04-23,26,12,33,51,48,1.0,3.6,Neukölln
2014-04-24,28,5,24,32,46,0.9,2.3,Neukölln
2014-04-25,28,2,20,23,73,0.8,1.7,Neukölln
2014-04-26,31,1,17,19,73,0.8,1.6,Neukölln
2014-04-27,22,1,12,12,68,0.7,1.0,Neukölln
2014-04-28,25,1,17,19,71,0.7,1.5,Neukölln
2014-04-29,30,5,28,36,79,0.9,2.7,Neukölln
2014-04-30,27,5,37,44,72,1.0,3.7,Neukölln
2014-05-01,28,2,18,20,81,0.8,2.3,Neukölln
2014-05-02,13,2,15,18,53,0.6,1.0,Neukölln
2014-05-03,13,6,24,33,54,0.8,2.1,Neukölln
2014-05-04,18,4,23,29,66,0.8,2.5,Neukölln
2014-05-05,20,12,36,54,52,0.9,2.5,Neukölln
2014-05-06,28,2,33,36,67,0.7,1.8,Neukölln
2014-05-07,18,4,29,35,57,0.8,2.9,Neukölln
2014-05-08,16,4,26,32,49,0.7,2.6,Neukölln
2014-05-09,16,3,21,26,50,0.7,2.5,Neukölln
2014-05-10,14,1,16,17,70,0.5,1.5,Neukölln
2014-05-11,12,1,12,14,64,0.5,1.4,Neukölln
2014-05-12,11,4,19,25,51,0.7,2.3,Neukölln
2014-05-13,14,3,22,27,61,0.9,3.9,Neukölln
2014-05-14,17,4,21,26,60,1.0,4.3,Neukölln
2014-05-15,17,5,19,26,54,,,Neukölln
2014-05-16,13,2,14,18,75,,2.2,Neukölln
2014-05-17,16,1,14,16,73,0.7,2.8,Neukölln
2014-05-18,18,3,16,21,50,0.6,2.4,Neukölln
2014-05-19,17,4,23,29,42,0.8,2.5,Neukölln
2014-05-20,24,6,34,43,62,1.0,4.4,Neukölln
2014-05-21,28,4,34,40,86,1.0,4.0,Neukölln
2014-05-22,32,1,20,22,104,0.7,1.9,Neukölln
2014-05-23,36,3,25,29,73,0.8,2.7,Neukölln
2014-05-24,16,2,16,18,70,0.7,3.2,Neukölln
2014-05-25,14,1,16,18,86,0.7,3.1,Neukölln
2014-05-26,18,2,15,18,84,0.7,1.9,Neukölln
2014-05-27,18,1,15,17,59,0.6,1.9,Neukölln
2014-05-28,11,4,17,23,26,0.5,1.4,Neukölln
2014-05-29,13,1,13,15,44,0.5,1.5,Neukölln
2014-05-30,14,6,30,39,43,0.9,4.2,Neukölln
2014-05-31,19,3,22,27,67,0.7,2.8,Neukölln
2014-06-01,20,2,17,20,76,0.6,1.7,Neukölln
2014-06-02,17,2,16,19,69,0.5,1.9,Neukölln
2014-06-03,16,2,21,24,62,0.6,1.8,Neukölln
2014-06-04,20,2,18,22,69,0.5,1.5,Neukölln
2014-06-05,17,3,25,30,54,0.7,2.1,Neukölln
2014-06-06,21,7,39,50,61,1.0,5.2,Neukölln
2014-06-07,30,10,38,54,78,1.6,7.1,Neukölln
2014-06-08,42,16,48,72,74,2.5,12.3,Neukölln
2014-06-09,23,0,10,11,109,0.6,1.5,Neukölln
2014-06-10,30,1,20,21,95,0.7,2.5,Neukölln
2014-06-11,26,2,26,29,74,0.8,3.4,Neukölln
2014-06-12,21,4,15,22,65,0.7,2.4,Neukölln
2014-06-13,20,6,21,30,51,0.7,2.6,Neukölln
2014-06-14,13,2,15,18,55,0.6,2.2,Neukölln
2014-06-15,14,2,22,26,54,0.7,2.8,Neukölln
2014-06-16,17,4,24,30,58,0.7,2.9,Neukölln
2014-06-17,17,3,17,22,61,0.8,2.5,Neukölln
2014-06-18,16,4,28,34,57,0.8,3.1,Neukölln
2014-06-19,18,4,16,22,43,0.6,2.3,Neukölln
2014-06-20,21,6,18,27,45,0.8,3.0,Neukölln
2014-06-21,15,3,14,18,42,0.6,2.1,Neukölln
2014-06-22,13,2,9,12,54,0.5,1.6,Neukölln
2014-06-23,19,3,17,22,66,0.6,2.3,Neukölln
2014-06-24,13,5,23,31,40,0.8,2.7,Neukölln
2014-06-25,15,7,29,39,17,1.2,3.2,Neukölln
2014-06-26,16,15,34,57,27,1.2,4.2,Neukölln
2014-06-27,23,21,37,69,50,1.4,5.3,Neukölln
2014-06-28,21,2,24,26,68,0.9,2.5,Neukölln
2014-06-29,15,2,18,21,49,0.7,2.3,Neukölln
2014-06-30,13,4,22,29,50,0.8,2.9,Neukölln
2014-07-01,15,3,24,29,52,0.8,3.2,Neukölln
2014-07-02,15,4,26,32,51,0.8,3.0,Neukölln
2014-07-03,19,6,35,44,59,1.2,4.2,Neukölln
2014-07-04,27,4,38,44,94,1.1,3.8,Neukölln
2014-07-05,30,1,20,22,97,0.7,2.4,Neukölln
2014-07-06,15,1,12,13,61,0.5,1.8,Neukölln
2014-07-07,16,4,19,25,49,0.9,3.1,Neukölln
2014-07-08,23,3,23,27,44,1.0,3.2,Neukölln
2014-07-09,34,3,19,23,42,0.9,2.6,Neukölln
2014-07-10,19,3,18,22,60,0.8,2.4,Neukölln
2014-07-11,21,3,17,21,50,0.9,3.3,Neukölln
2014-07-12,12,1,10,13,48,0.5,1.9,Neukölln
2014-07-13,12,2,15,17,52,0.6,2.2,Neukölln
2014-07-14,17,3,22,27,56,0.8,2.7,Neukölln
2014-07-15,17,3,24,28,66,0.9,3.5,Neukölln
2014-07-16,19,4,32,38,62,1.1,4.8,Neukölln
2014-07-17,22,2,23,27,77,0.8,2.7,Neukölln
2014-07-18,23,2,25,29,94,0.8,2.9,Neukölln
2014-07-19,25,1,18,20,100,0.8,3.2,Neukölln
2014-07-20,27,1,12,13,117,0.7,1.8,Neukölln
2014-07-21,28,0,11,12,95,0.6,1.5,Neukölln
2014-07-22,21,2,10,13,80,0.8,1.5,Neukölln
2014-07-23,20,2,12,16,71,0.7,1.7,Neukölln
2014-07-24,19,1,18,20,59,0.6,1.8,Neukölln
2014-07-25,20,1,18,21,46,0.6,1.6,Neukölln
2014-07-26,27,2,19,22,65,1.0,3.0,Neukölln
2014-07-27,31,1,19,22,85,0.9,3.1,Neukölln
2014-07-28,30,2,23,26,77,1.1,3.3,Neukölln
2014-07-29,28,3,21,25,72,1.1,3.0,Neukölln
2014-07-30,26,3,21,26,52,0.9,3.2,Neukölln
2014-07-31,14,6,23,33,50,0.8,2.7,Neukölln
2014-08-01,21,14,29,50,57,1.4,6.4,Neukölln
2014-08-02,23,1,12,13,78,0.5,1.4,Neukölln
2014-08-03,22,1,16,17,69,0.8,2.7,Neukölln
2014-08-04,17,3,24,28,55,0.8,2.9,Neukölln
2014-08-05,15,2,22,25,53,0.7,2.7,Neukölln
2014-08-06,15,5,30,37,50,1.2,3.4,Neukölln
2014-08-07,21,4,27,33,57,2.1,5.2,Neukölln
2014-08-08,21,2,29,32,70,1.4,3.0,Neukölln
2014-08-09,20,2,21,24,67,1.2,2.2,Neukölln
2014-08-10,17,3,21,25,63,1.0,3.1,Neukölln
2014-08-11,11,2,18,21,57,0.8,2.1,Neukölln
2014-08-12,,4,19,25,,,3.3,Neukölln
2014-08-13,,2,16,19,,,,Neukölln
2014-08-14,14,3,20,24,52,0.9,2.5,Neukölln
2014-08-15,13,3,26,31,41,0.8,2.2,Neukölln
2014-08-16,11,2,17,20,47,0.7,1.9,Neukölln
2014-08-17,13,1,11,13,61,0.6,1.2,Neukölln
2014-08-18,12,2,13,16,59,0.6,1.2,Neukölln
2014-08-19,14,3,15,19,52,0.7,1.8,Neukölln
2014-08-20,,3,18,22,46,0.7,1.8,Neukölln
2014-08-21,,6,35,45,41,1.0,2.4,Neukölln
2014-08-22,,3,32,37,55,1.1,2.4,Neukölln
2014-08-23,14,2,20,23,59,0.8,2.0,Neukölln
2014-08-24,11,2,18,20,55,0.7,1.9,Neukölln
2014-08-25,15,4,25,32,55,0.8,1.8,Neukölln
2014-08-26,15,2,27,30,60,0.7,1.5,Neukölln
2014-08-27,20,9,41,54,37,1.3,4.3,Neukölln
2014-08-28,20,19,52,81,44,1.5,5.2,Neukölln
2014-08-29,24,10,46,62,24,1.5,4.7,Neukölln
2014-08-30,19,5,28,35,30,1.1,3.7,Neukölln
2014-08-31,14,3,21,25,27,0.8,2.9,Neukölln
2014-09-01,17,8,34,47,20,1.1,4.1,Neukölln
2014-09-02,10,2,16,18,43,0.6,1.5,Neukölln
2014-09-03,12,2,15,18,50,0.8,1.6,Neukölln
2014-09-04,21,2,15,19,61,0.6,1.3,Neukölln
2014-09-05,33,2,17,20,70,0.8,1.6,Neukölln
2014-09-06,37,2,18,21,75,0.9,1.8,Neukölln
2014-09-07,37,2,28,32,54,1.2,4.1,Neukölln
2014-09-08,24,5,30,37,52,1.1,3.3,Neukölln
2014-09-09,19,5,24,32,50,0.8,2.1,Neukölln
2014-09-10,13,5,27,34,37,0.9,2.0,Neukölln
2014-09-11,15,3,21,27,36,0.7,1.9,Neukölln
2014-09-12,27,2,14,18,53,0.7,1.6,Neukölln
2014-09-13,30,2,15,19,49,0.9,2.5,Neukölln
2014-09-14,27,2,16,19,52,0.9,2.4,Neukölln
2014-09-15,47,9,22,35,68,0.8,1.0,Neukölln
2014-09-16,45,2,19,22,70,0.8,1.1,Neukölln
2014-09-17,42,2,20,23,69,0.9,1.2,Neukölln
2014-09-18,35,1,26,28,65,,3.5,Neukölln
2014-09-19,38,11,36,54,23,1.6,14.5,Neukölln
2014-09-20,41,12,34,53,13,1.7,12.8,Neukölln
2014-09-21,25,4,21,26,43,1.2,16.3,Neukölln
2014-09-22,19,5,18,26,46,0.8,7.0,Neukölln
2014-09-23,14,12,31,49,35,1.0,11.0,Neukölln
2014-09-24,21,5,34,42,26,1.0,11.0,Neukölln
2014-09-25,,9,32,46,22,1.0,7.0,Neukölln
2014-09-26,16,11,32,49,15,0.9,4.0,Neukölln
2014-09-27,24,15,33,56,25,1.0,3.8,Neukölln
2014-09-28,26,27,39,80,26,1.5,4.3,Neukölln
2014-09-29,30,31,47,94,15,1.7,6.2,Neukölln
2014-09-30,26,17,45,71,13,,4.7,Neukölln
2014-10-01,35,34,48,100,15,,,Neukölln
2014-10-02,43,49,54,129,12,,,Neukölln
2014-10-03,28,2,21,25,39,1.2,2.3,Neukölln
2014-10-04,37,2,17,19,49,0.9,1.6,Neukölln
2014-10-05,42,1,14,15,49,1.0,1.3,Neukölln
2014-10-06,49,3,17,22,45,1.2,1.7,Neukölln
2014-10-07,42,3,28,32,34,1.0,2.0,Neukölln
2014-10-08,17,5,29,37,30,0.7,2.2,Neukölln
2014-10-09,27,8,32,44,17,0.9,3.0,Neukölln
2014-10-10,17,18,38,65,17,1.1,3.7,Neukölln
2014-10-11,29,9,29,43,10,1.3,4.8,Neukölln
2014-10-12,17,5,22,30,25,0.9,4.2,Neukölln
2014-10-13,26,10,30,45,17,1.1,4.2,Neukölln
2014-10-14,19,28,40,83,8,1.7,9.5,Neukölln
2014-10-15,18,19,39,69,12,1.4,6.8,Neukölln
2014-10-16,19,28,40,82,3,1.1,5.2,Neukölln
2014-10-17,22,17,39,65,12,0.6,1.1,Neukölln
2014-10-18,28,14,30,52,10,0.4,1.0,Neukölln
2014-10-19,17,3,18,22,33,0.2,0.8,Neukölln
2014-10-20,13,4,22,29,33,,,Neukölln
2014-10-21,13,5,22,29,24,,,Neukölln
2014-10-22,12,7,26,38,23,,2.7,Neukölln
2014-10-23,23,6,25,35,16,1.1,2.4,Neukölln
2014-10-24,22,4,24,29,16,1.0,1.1,Neukölln
2014-10-25,30,10,23,39,10,1.4,1.6,Neukölln
2014-10-26,27,13,23,43,4,1.5,2.5,Neukölln
2014-10-27,25,11,27,43,12,1.1,1.9,Neukölln
2014-10-28,31,15,38,61,11,1.4,2.0,Neukölln
2014-10-29,36,26,33,73,9,1.6,2.7,Neukölln
2014-10-30,34,35,32,86,1,1.1,2.6,Neukölln
2014-10-31,38,37,29,86,3,1.5,4.0,Neukölln
2014-11-01,38,59,32,123,5,2.1,7.1,Neukölln
2014-11-02,26,14,29,51,7,1.2,2.9,Neukölln
2014-11-03,23,6,30,40,14,0.9,2.0,Neukölln
2014-11-04,40,10,36,51,14,1.2,2.3,Neukölln
2014-11-05,35,20,33,64,7,1.1,2.8,Neukölln
2014-11-06,16,8,35,47,20,0.8,2.4,Neukölln
2014-11-07,27,19,34,63,6,0.9,2.4,Neukölln
2014-11-08,25,20,33,64,13,1.1,3.4,Neukölln
2014-11-09,31,7,23,34,6,1.4,2.1,Neukölln
2014-11-10,27,18,25,53,7,1.2,2.2,Neukölln
2014-11-11,26,26,27,67,4,1.2,3.0,Neukölln
2014-11-12,48,13,26,47,6,1.6,3.0,Neukölln
