,date,PM10,NOx,NO_2,NOx,O_3,Benzolµg/m³,Toluolµg/m³
1,29.10.2009,18,9,31,45,10,1.2,3.2
2,30.10.2009,17,16,35,60,11,1.4,3.3
3,31.10.2009,28,6,30,40,17,1.4,2.3
4,01.11.2009,47,7,25,35,13,1.8,2.1
5,02.11.2009,34,17,36,62,7,2.2,3.1
6,03.11.2009,38,10,30,45,11,2.2,2.7
7,04.11.2009,34,28,35,77,6,2.4,4.0
8,05.11.2009,13,15,38,61,13,1.2,2.8
9,06.11.2009,16,15,39,62,10,1.2,2.9
10,07.11.2009,29,13,33,53,7,1.7,2.9
11,08.11.2009,52,8,25,37,5,2.8,3.0
12,09.11.2009,19,11,21,37,7,1.9,2.6
13,10.11.2009,14,27,28,68,2,1.8,3.3
14,11.11.2009,21,53,44,125,1,2.1,5.3
15,12.11.2009,24,25,41,79,8,1.4,3.4
16,13.11.2009,,21,38,69,5,1.4,3.6
17,14.11.2009,14,12,36,54,6,1.3,3.1
18,15.11.2009,26,4,29,36,26,0.9,2.1
19,16.11.2009,21,44,49,117,5,1.6,4.3
20,17.11.2009,17,34,47,98,8,1.5,4.6
21,18.11.2009,9,8,25,38,32,0.6,1.5
22,19.11.2009,12,8,31,43,29,0.7,1.8
23,20.11.2009,23,29,52,96,7,1.4,3.9
24,21.11.2009,33,20,45,76,7,1.6,4.0
25,22.11.2009,33,8,34,46,15,1.5,3.1
26,23.11.2009,12,7,27,38,42,0.6,1.5
27,24.11.2009,,5,28,36,39,0.6,1.3
28,25.11.2009,,10,34,50,36,0.7,1.8
29,26.11.2009,,8,31,44,40,0.7,1.6
30,27.11.2009,11,9,31,45,37,0.7,1.6
31,28.11.2009,9,5,23,31,39,0.7,1.4
32,29.11.2009,12,6,32,42,30,0.9,1.8
33,30.11.2009,26,24,41,78,8,1.7,3.3
34,01.12.2009,12,5,27,34,17,0.9,1.9
35,02.12.2009,19,27,45,87,7,1.3,3.1
36,03.12.2009,28,27,43,85,2,1.7,3.3
37,04.12.2009,38,22,35,69,1,2.7,3.9
