,date,PM10,NOx,NO_2,NOx
1,29.10.2009,20,5,28,35
2,30.10.2009,20,8,31,43
3,31.10.2009,34,4,27,33
4,01.11.2009,53,4,19,25
5,02.11.2009,37,9,32,46
6,03.11.2009,44,8,28,40
7,04.11.2009,39,22,33,67
8,05.11.2009,15,4,29,36
9,06.11.2009,22,8,34,47
10,07.11.2009,37,12,28,47
11,08.11.2009,56,5,22,29
12,09.11.2009,20,8,21,34
13,10.11.2009,,17,22,48
14,11.11.2009,,36,32,87
15,12.11.2009,36,17,37,64
16,13.11.2009,26,12,33,52
17,14.11.2009,27,10,32,47
18,15.11.2009,22,6,32,41
19,16.11.2009,31,37,41,97
20,17.11.2009,24,24,43,79
21,18.11.2009,15,3,22,26
22,19.11.2009,17,3,30,35
23,20.11.2009,26,13,42,61
24,21.11.2009,42,30,45,90
25,22.11.2009,39,9,33,47
26,23.11.2009,12,2,21,24
27,24.11.2009,15,1,25,27
28,25.11.2009,15,1,25,27
29,26.11.2009,13,2,24,27
30,27.11.2009,,2,22,25
31,28.11.2009,10,1,17,18
32,29.11.2009,13,1,22,24
33,30.11.2009,31,26,38,78
34,01.12.2009,15,8,30,42
35,02.12.2009,21,18,40,67
36,03.12.2009,30,13,34,53
37,04.12.2009,42,14,30,51
38,05.12.2009,28,3,32,37
39,06.12.2009,21,8,31,43
40,07.12.2009,25,26,43,82
41,08.12.2009,31,14,29,50
42,09.12.2009,40,32,30,79
43,10.12.2009,22,15,37,60
44,11.12.2009,33,13,30,49
45,12.12.2009,31,12,26,44
46,13.12.2009,20,1,15,18
47,14.12.2009,28,18,36,63
48,15.12.2009,23,9,37,51
49,16.12.2009,28,5,35,42
50,17.12.2009,34,6,25,35
51,18.12.2009,28,2,15,18
52,19.12.2009,46,6,30,39
53,20.12.2009,63,6,33,43
54,21.12.2009,31,5,47,55
55,22.12.2009,30,9,44,58
56,23.12.2009,28,27,52,93
57,24.12.2009,32,1,19,20
58,25.12.2009,24,4,21,26
59,26.12.2009,11,1,13,15
60,27.12.2009,15,2,27,30
61,28.12.2009,12,3,30,34
62,29.12.2009,18,2,24,28
63,30.12.2009,44,2,23,26
64,31.12.2009,20,1,9,10
65,01.01.2010,48,1,14,15
66,02.01.2010,11,3,22,26
67,03.01.2010,19,2,22,25
68,04.01.2010,21,4,24,30
69,05.01.2010,32,11,40,55
70,06.01.2010,121,25,51,88
71,07.01.2010,48,15,46,68
72,08.01.2010,43,21,36,66
73,09.01.2010,20,1,7,8
74,10.01.2010,20,1,7,8
75,11.01.2010,23,2,18,21
76,12.01.2010,61,7,36,45
77,13.01.2010,52,3,23,27
78,14.01.2010,59,4,29,34
79,15.01.2010,94,6,33,41
80,16.01.2010,71,2,24,28
81,17.01.2010,57,2,27,30
82,18.01.2010,51,20,40,69
83,19.01.2010,45,19,35,62
84,20.01.2010,74,4,25,30
85,21.01.2010,50,2,24,26
86,22.01.2010,65,2,30,34
87,23.01.2010,88,2,29,32
88,24.01.2010,94,1,24,26
89,25.01.2010,95,2,33,36
90,26.01.2010,128,14,55,74
91,27.01.2010,103,35,69,119
92,28.01.2010,18,4,29,35
93,29.01.2010,17,2,27,30
94,30.01.2010,15,2,17,20
95,31.01.2010,25,2,23,26
96,01.02.2010,22,5,37,45
97,02.02.2010,21,4,23,29
98,03.02.2010,16,2,24,27
99,04.02.2010,28,9,49,61
100,05.02.2010,53,2,32,36
101,06.02.2010,59,1,21,22
102,07.02.2010,55,1,13,14
103,08.02.2010,33,1,20,22
104,09.02.2010,63,1,23,25
105,10.02.2010,123,1,29,31
106,11.02.2010,59,2,21,23
107,12.02.2010,19,4,25,31
108,13.02.2010,14,3,22,26
109,14.02.2010,18,3,26,31
110,15.02.2010,26,5,42,49
111,16.02.2010,45,6,38,46
112,17.02.2010,95,3,38,43
113,18.02.2010,103,6,63,72
114,19.02.2010,54,19,61,90
115,20.02.2010,22,2,24,28
116,21.02.2010,27,2,32,34
117,22.02.2010,21,3,33,37
118,23.02.2010,18,4,29,35
119,24.02.2010,27,1,23,26
120,25.02.2010,30,7,38,48
121,26.02.2010,,3,39,43
122,27.02.2010,,1,18,19
123,28.02.2010,11,1,18,19
124,01.03.2010,8,2,16,18
125,02.03.2010,22,2,19,23
126,03.03.2010,19,3,32,37
127,04.03.2010,26,6,35,44
128,05.03.2010,19,3,29,34
129,06.03.2010,19,1,15,15
130,07.03.2010,16,1,20,23
131,08.03.2010,21,1,19,21
132,09.03.2010,47,8,50,63
133,10.03.2010,60,8,38,50
134,11.03.2010,76,5,33,40
135,12.03.2010,28,8,37,50
136,13.03.2010,15,1,18,19
137,14.03.2010,9,1,17,19
138,15.03.2010,17,4,31,37
139,16.03.2010,18,3,24,28
140,17.03.2010,38,5,42,51
141,18.03.2010,45,6,46,54
142,19.03.2010,46,7,48,58
143,20.03.2010,26,2,28,31
144,21.03.2010,17,1,17,19
145,22.03.2010,24,3,33,38
146,23.03.2010,30,6,42,52
147,24.03.2010,43,17,45,71
148,25.03.2010,53,6,45,54
149,26.03.2010,49,8,41,53
150,27.03.2010,16,2,19,22
151,28.03.2010,19,2,21,25
152,29.03.2010,18,4,38,44
153,30.03.2010,,3,28,32
154,31.03.2010,,2,26,28
155,01.04.2010,17,2,23,26
156,02.04.2010,24,3,26,31
157,03.04.2010,35,1,26,28
158,04.04.2010,24,2,19,22
159,05.04.2010,27,3,24,29
