,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ortschaft
2011-09-15,2,17,20,Schöneberg
2011-09-16,3,26,31,Schöneberg
2011-09-17,7,34,45,Schöneberg
2011-09-18,2,18,22,Schöneberg
2011-09-19,11,29,46,Schöneberg
2011-09-20,13,33,54,Schöneberg
2011-09-21,19,40,70,Schöneberg
2011-09-22,4,27,33,Schöneberg
2011-09-23,8,34,46,Schöneberg
2011-09-24,27,42,84,Schöneberg
2011-09-25,11,40,57,Schöneberg
2011-09-26,32,62,111,Schöneberg
2011-09-27,6,41,50,Schöneberg
2011-09-28,70,56,162,Schöneberg
2011-09-29,90,68,204,Schöneberg
2011-09-30,107,71,234,Schöneberg
2011-10-01,63,66,162,Schöneberg
2011-10-02,40,57,118,Schöneberg
2011-10-03,4,31,38,Schöneberg
2011-10-04,2,27,31,Schöneberg
2011-10-05,1,20,22,Schöneberg
2011-10-06,3,16,21,Schöneberg
2011-10-07,5,22,30,Schöneberg
2011-10-08,1,10,12,Schöneberg
2011-10-09,2,17,20,Schöneberg
2011-10-10,9,22,35,Schöneberg
2011-10-11,2,20,22,Schöneberg
2011-10-12,3,18,22,Schöneberg
2011-10-13,6,27,37,Schöneberg
2011-10-14,21,40,73,Schöneberg
2011-10-15,19,43,73,Schöneberg
2011-10-16,3,25,29,Schöneberg
2011-10-17,25,43,81,Schöneberg
2011-10-18,8,27,39,Schöneberg
2011-10-19,4,26,31,Schöneberg
2011-10-20,4,28,33,Schöneberg
2011-10-21,28,40,83,Schöneberg
2011-10-22,25,40,79,Schöneberg
2011-10-23,4,26,32,Schöneberg
2011-10-24,4,24,31,Schöneberg
2011-10-25,4,23,29,Schöneberg
2011-10-26,30,32,78,Schöneberg
2011-10-27,23,32,67,Schöneberg
2011-10-28,30,37,83,Schöneberg
2011-10-29,53,37,117,Schöneberg
2011-10-30,17,29,55,Schöneberg
2011-10-31,34,41,92,Schöneberg
2011-11-01,16,41,66,Schöneberg
2011-11-02,29,38,82,Schöneberg
2011-11-03,16,38,61,Schöneberg
2011-11-04,13,43,63,Schöneberg
2011-11-05,11,39,56,Schöneberg
2011-11-06,13,40,60,Schöneberg
2011-11-07,28,49,91,Schöneberg
2011-11-08,25,47,85,Schöneberg
2011-11-09,29,41,85,Schöneberg
2011-11-10,15,31,54,Schöneberg
2011-11-11,7,28,38,Schöneberg
2011-11-12,10,37,52,Schöneberg
2011-11-13,25,48,87,Schöneberg
2011-11-14,69,57,162,Schöneberg
2011-11-15,7,33,44,Schöneberg
2011-11-16,10,35,50,Schöneberg
2011-11-17,13,37,57,Schöneberg
2011-11-18,39,44,103,Schöneberg
2011-11-19,44,34,102,Schöneberg
2011-11-20,26,37,77,Schöneberg
2011-11-21,20,42,73,Schöneberg
2011-11-22,17,36,61,Schöneberg
2011-11-23,49,38,112,Schöneberg
2011-11-24,74,40,154,Schöneberg
2011-11-25,22,42,75,Schöneberg
2011-11-26,3,26,30,Schöneberg
2011-11-27,1,12,13,Schöneberg
2011-11-28,13,34,53,Schöneberg
2011-11-29,22,44,77,Schöneberg
2011-11-30,16,44,69,Schöneberg
2011-12-01,24,40,77,Schöneberg
2011-12-02,5,29,36,Schöneberg
2011-12-03,3,21,25,Schöneberg
2011-12-04,2,19,22,Schöneberg
2011-12-05,4,22,28,Schöneberg
2011-12-06,5,25,32,Schöneberg
2011-12-07,7,28,39,Schöneberg
2011-12-08,4,24,30,Schöneberg
2011-12-09,3,20,24,Schöneberg
2011-12-10,3,19,24,Schöneberg
2011-12-11,4,31,37,Schöneberg
2011-12-12,12,39,58,Schöneberg
2011-12-13,5,35,42,Schöneberg
2011-12-14,7,33,45,Schöneberg
2011-12-15,7,34,44,Schöneberg
2011-12-16,6,29,38,Schöneberg
2011-12-17,2,14,17,Schöneberg
2011-12-18,1,14,16,Schöneberg
2011-12-19,6,31,41,Schöneberg
2011-12-20,9,37,51,Schöneberg
2011-12-21,7,36,47,Schöneberg
2011-12-22,17,34,60,Schöneberg
2011-12-23,19,37,66,Schöneberg
2011-12-24,1,19,21,Schöneberg
2011-12-25,1,18,20,Schöneberg
2011-12-26,2,14,17,Schöneberg
2011-12-27,3,18,22,Schöneberg
2011-12-28,7,30,40,Schöneberg
2011-12-29,3,19,23,Schöneberg
2011-12-30,2,20,23,Schöneberg
2011-12-31,7,28,39,Schöneberg
2012-01-01,9,30,44,Schöneberg
2012-01-02,3,25,30,Schöneberg
2012-01-03,3,23,27,Schöneberg
2012-01-04,4,17,22,Schöneberg
2012-01-05,1,15,17,Schöneberg
2012-01-06,4,24,29,Schöneberg
2012-01-07,2,15,17,Schöneberg
2012-01-08,1,17,18,Schöneberg
2012-01-09,8,31,43,Schöneberg
2012-01-10,2,24,27,Schöneberg
2012-01-11,3,27,32,Schöneberg
2012-01-12,3,20,24,Schöneberg
2012-01-13,1,16,19,Schöneberg
2012-01-14,3,21,26,Schöneberg
2012-01-15,5,25,33,Schöneberg
2012-01-16,12,42,60,Schöneberg
2012-01-17,4,34,40,Schöneberg
2012-01-18,27,57,98,Schöneberg
2012-01-19,8,30,43,Schöneberg
2012-01-20,3,24,29,Schöneberg
2012-01-21,2,19,23,Schöneberg
2012-01-22,1,11,12,Schöneberg
2012-01-23,19,40,69,Schöneberg
2012-01-24,26,52,91,Schöneberg
2012-01-25,30,55,100,Schöneberg
2012-01-26,25,43,81,Schöneberg
2012-01-27,7,38,49,Schöneberg
2012-01-28,10,44,59,Schöneberg
2012-01-29,5,34,42,Schöneberg
2012-01-30,7,36,46,Schöneberg
2012-01-31,6,34,43,Schöneberg
2012-02-01,7,36,47,Schöneberg
2012-02-02,12,45,63,Schöneberg
2012-02-03,11,45,62,Schöneberg
2012-02-04,15,48,71,Schöneberg
2012-02-05,15,45,68,Schöneberg
2012-02-06,14,46,68,Schöneberg
2012-02-07,10,43,58,Schöneberg
2012-02-08,14,46,67,Schöneberg
2012-02-09,6,32,41,Schöneberg
2012-02-10,10,46,62,Schöneberg
2012-02-11,7,47,58,Schöneberg
2012-02-12,9,43,58,Schöneberg
2012-02-13,8,38,50,Schöneberg
2012-02-14,26,46,86,Schöneberg
2012-02-15,3,18,23,Schöneberg
2012-02-16,5,27,35,Schöneberg
2012-02-17,4,25,30,Schöneberg
2012-02-18,6,26,34,Schöneberg
2012-02-19,1,13,14,Schöneberg
2012-02-20,3,26,31,Schöneberg
2012-02-21,5,35,43,Schöneberg
2012-02-22,5,30,38,Schöneberg
2012-02-23,3,21,25,Schöneberg
2012-02-24,4,21,27,Schöneberg
2012-02-25,1,11,13,Schöneberg
2012-02-26,1,16,18,Schöneberg
2012-02-27,9,38,52,Schöneberg
2012-02-28,5,25,33,Schöneberg
2012-02-29,5,30,38,Schöneberg
2012-03-01,7,26,36,Schöneberg
2012-03-02,4,28,34,Schöneberg
2012-03-03,4,33,40,Schöneberg
2012-03-04,2,19,22,Schöneberg
2012-03-05,5,29,36,Schöneberg
2012-03-06,5,35,43,Schöneberg
2012-03-07,7,42,53,Schöneberg
2012-03-08,6,35,44,Schöneberg
2012-03-09,4,30,36,Schöneberg
2012-03-10,2,21,24,Schöneberg
2012-03-11,1,17,19,Schöneberg
2012-03-12,4,25,31,Schöneberg
2012-03-13,2,21,24,Schöneberg
2012-03-14,2,25,28,Schöneberg
2012-03-15,19,39,67,Schöneberg
2012-03-16,79,67,188,Schöneberg
2012-03-17,16,48,72,Schöneberg
2012-03-18,3,23,28,Schöneberg
2012-03-19,2,15,18,Schöneberg
2012-03-20,3,26,30,Schöneberg
2012-03-21,2,26,30,Schöneberg
2012-03-22,3,33,39,Schöneberg
2012-03-23,10,48,63,Schöneberg
2012-03-24,10,31,47,Schöneberg
2012-03-25,3,19,24,Schöneberg
2012-03-26,12,40,59,Schöneberg
2012-03-27,3,28,34,Schöneberg
2012-03-28,3,20,23,Schöneberg
2012-03-29,1,14,15,Schöneberg
2012-03-30,2,15,17,Schöneberg
2012-03-31,1,12,13,Schöneberg
2012-04-01,1,11,12,Schöneberg
2012-04-02,3,17,21,Schöneberg
2012-04-03,5,32,39,Schöneberg
2012-04-04,4,30,35,Schöneberg
2012-04-05,4,34,41,Schöneberg
2012-04-06,6,33,43,Schöneberg
2012-04-07,1,15,17,Schöneberg
2012-04-08,2,18,21,Schöneberg
2012-04-09,2,17,20,Schöneberg
2012-04-10,6,29,38,Schöneberg
2012-04-11,4,31,37,Schöneberg
2012-04-12,7,38,49,Schöneberg
2012-04-13,10,34,49,Schöneberg
2012-04-14,20,35,66,Schöneberg
2012-04-15,1,18,20,Schöneberg
2012-04-16,2,15,17,Schöneberg
2012-04-17,2,20,24,Schöneberg
2012-04-18,3,29,33,Schöneberg
2012-04-19,7,45,55,Schöneberg
2012-04-20,14,46,67,Schöneberg
2012-04-21,2,30,33,Schöneberg
2012-04-22,1,15,16,Schöneberg
2012-04-23,4,27,34,Schöneberg
2012-04-24,3,29,34,Schöneberg
2012-04-25,4,26,32,Schöneberg
2012-04-26,4,34,39,Schöneberg
2012-04-27,2,30,33,Schöneberg
2012-04-28,3,36,42,Schöneberg
2012-04-29,2,27,29,Schöneberg
2012-04-30,1,14,15,Schöneberg
2012-05-01,1,15,17,Schöneberg
2012-05-02,3,23,28,Schöneberg
2012-05-03,6,31,40,Schöneberg
2012-05-04,2,22,25,Schöneberg
2012-05-05,2,17,19,Schöneberg
2012-05-06,1,16,17,Schöneberg
2012-05-07,3,26,30,Schöneberg
2012-05-08,5,29,37,Schöneberg
2012-05-09,6,34,43,Schöneberg
2012-05-10,5,31,38,Schöneberg
2012-05-11,5,26,33,Schöneberg
2012-05-12,1,9,10,Schöneberg
2012-05-13,2,16,18,Schöneberg
2012-05-14,5,30,37,Schöneberg
2012-05-15,4,24,29,Schöneberg
2012-05-16,2,14,18,Schöneberg
2012-05-17,2,12,16,Schöneberg
2012-05-18,3,29,33,Schöneberg
2012-05-19,2,20,22,Schöneberg
2012-05-20,2,16,18,Schöneberg
2012-05-21,1,23,25,Schöneberg
2012-05-22,2,22,24,Schöneberg
2012-05-23,2,22,25,Schöneberg
2012-05-24,2,13,16,Schöneberg
2012-05-25,3,15,19,Schöneberg
2012-05-26,2,11,14,Schöneberg
2012-05-27,1,10,10,Schöneberg
2012-05-28,1,10,11,Schöneberg
2012-05-29,2,13,16,Schöneberg
2012-05-30,2,17,19,Schöneberg
2012-05-31,2,20,22,Schöneberg
2012-06-01,1,12,14,Schöneberg
2012-06-02,1,10,11,Schöneberg
2012-06-03,1,15,17,Schöneberg
2012-06-04,2,17,21,Schöneberg
2012-06-05,2,20,23,Schöneberg
2012-06-06,8,33,45,Schöneberg
2012-06-07,3,24,28,Schöneberg
2012-06-08,3,18,21,Schöneberg
2012-06-09,1,15,17,Schöneberg
2012-06-10,1,17,19,Schöneberg
2012-06-11,3,29,34,Schöneberg
2012-06-12,2,21,24,Schöneberg
2012-06-13,3,19,23,Schöneberg
2012-06-14,3,16,19,Schöneberg
2012-06-15,4,26,33,Schöneberg
2012-06-16,2,27,31,Schöneberg
2012-06-17,2,18,21,Schöneberg
2012-06-18,3,26,31,Schöneberg
2012-06-19,2,21,24,Schöneberg
2012-06-20,3,22,26,Schöneberg
2012-06-21,3,20,24,Schöneberg
2012-06-22,3,15,20,Schöneberg
2012-06-23,2,14,17,Schöneberg
2012-06-24,2,12,15,Schöneberg
2012-06-25,2,10,13,Schöneberg
2012-06-26,1,11,13,Schöneberg
2012-06-27,2,20,23,Schöneberg
2012-06-28,4,19,25,Schöneberg
2012-06-29,2,26,30,Schöneberg
2012-06-30,1,19,20,Schöneberg
2012-07-01,1,9,10,Schöneberg
2012-07-02,4,16,23,Schöneberg
2012-07-03,4,28,34,Schöneberg
2012-07-04,2,17,21,Schöneberg
2012-07-05,3,21,25,Schöneberg
2012-07-06,2,17,21,Schöneberg
2012-07-07,2,22,25,Schöneberg
2012-07-08,1,18,20,Schöneberg
2012-07-09,1,15,17,Schöneberg
2012-07-10,2,21,25,Schöneberg
2012-07-11,2,19,23,Schöneberg
2012-07-12,3,15,19,Schöneberg
2012-07-13,5,24,32,Schöneberg
2012-07-14,1,12,14,Schöneberg
2012-07-15,1,9,11,Schöneberg
2012-07-16,2,15,18,Schöneberg
2012-07-17,4,16,22,Schöneberg
2012-07-18,7,22,32,Schöneberg
2012-07-19,3,15,20,Schöneberg
2012-07-20,1,9,11,Schöneberg
2012-07-21,2,10,13,Schöneberg
2012-07-22,3,17,21,Schöneberg
2012-07-23,20,31,61,Schöneberg
2012-07-24,2,27,31,Schöneberg
2012-07-25,2,30,33,Schöneberg
2012-07-26,4,32,37,Schöneberg
2012-07-27,2,27,30,Schöneberg
2012-07-28,1,16,17,Schöneberg
2012-07-29,1,11,12,Schöneberg
2012-07-30,3,18,23,Schöneberg
2012-07-31,5,22,29,Schöneberg
2012-08-01,2,18,21,Schöneberg
2012-08-02,3,27,30,Schöneberg
2012-08-03,3,30,34,Schöneberg
2012-08-04,2,21,24,Schöneberg
2012-08-05,2,20,23,Schöneberg
2012-08-06,2,19,23,Schöneberg
2012-08-07,2,11,15,Schöneberg
2012-08-08,2,11,13,Schöneberg
2012-08-09,3,17,21,Schöneberg
2012-08-10,3,18,22,Schöneberg
2012-08-11,1,12,14,Schöneberg
2012-08-12,2,13,15,Schöneberg
2012-08-13,4,21,27,Schöneberg
2012-08-14,4,19,26,Schöneberg
2012-08-15,3,21,26,Schöneberg
2012-08-16,4,26,32,Schöneberg
2012-08-17,3,24,28,Schöneberg
2012-08-18,1,27,28,Schöneberg
2012-08-19,2,33,36,Schöneberg
2012-08-20,5,38,47,Schöneberg
2012-08-21,4,21,26,Schöneberg
2012-08-22,1,19,21,Schöneberg
2012-08-23,6,31,40,Schöneberg
2012-08-24,7,51,62,Schöneberg
2012-08-25,1,18,19,Schöneberg
2012-08-26,1,11,12,Schöneberg
2012-08-27,7,24,35,Schöneberg
2012-08-28,7,38,48,Schöneberg
2012-08-29,5,35,42,Schöneberg
2012-08-30,3,38,42,Schöneberg
2012-08-31,3,25,29,Schöneberg
2012-09-01,2,16,19,Schöneberg
2012-09-02,6,34,44,Schöneberg
2012-09-03,15,41,63,Schöneberg
2012-09-04,19,38,67,Schöneberg
2012-09-05,3,30,34,Schöneberg
2012-09-06,2,17,20,Schöneberg
2012-09-07,2,20,23,Schöneberg
2012-09-08,2,16,19,Schöneberg
2012-09-09,6,20,29,Schöneberg
2012-09-10,10,48,62,Schöneberg
2012-09-11,5,31,39,Schöneberg
2012-09-12,1,19,21,Schöneberg
2012-09-13,7,33,44,Schöneberg
2012-09-14,5,26,34,Schöneberg
2012-09-15,1,12,13,Schöneberg
2012-09-16,2,24,27,Schöneberg
2012-09-17,15,36,59,Schöneberg
2012-09-18,15,35,59,Schöneberg
2012-09-19,2,17,21,Schöneberg
2012-09-20,4,28,34,Schöneberg
2012-09-21,11,34,51,Schöneberg
2012-09-22,1,17,19,Schöneberg
2012-09-23,2,21,24,Schöneberg
2012-09-24,3,27,32,Schöneberg
2012-09-25,6,34,43,Schöneberg
2012-09-26,9,37,50,Schöneberg
2012-09-27,2,22,26,Schöneberg
2012-09-28,5,28,36,Schöneberg
2012-09-29,2,22,26,Schöneberg
2012-09-30,5,25,33,Schöneberg
2012-10-01,35,53,107,Schöneberg
2012-10-02,15,51,73,Schöneberg
2012-10-03,1,23,25,Schöneberg
2012-10-04,3,22,27,Schöneberg
2012-10-05,6,22,30,Schöneberg
2012-10-06,3,20,25,Schöneberg
2012-10-07,2,13,17,Schöneberg
2012-10-08,4,25,32,Schöneberg
2012-10-09,4,24,29,Schöneberg
2012-10-10,4,24,30,Schöneberg
2012-10-11,7,31,42,Schöneberg
2012-10-12,10,33,48,Schöneberg
2012-10-13,5,29,36,Schöneberg
2012-10-14,4,26,32,Schöneberg
2012-10-15,13,31,51,Schöneberg
2012-10-16,15,34,56,Schöneberg
2012-10-17,12,38,56,Schöneberg
2012-10-18,22,45,78,Schöneberg
2012-10-19,25,48,87,Schöneberg
2012-10-20,126,68,261,Schöneberg
2012-10-21,63,37,133,Schöneberg
2012-10-22,3,23,27,Schöneberg
2012-10-23,7,31,41,Schöneberg
2012-10-24,17,38,64,Schöneberg
2012-10-25,3,23,27,Schöneberg
2012-10-26,5,35,43,Schöneberg
2012-10-27,2,25,27,Schöneberg
2012-10-28,45,42,111,Schöneberg
2012-10-29,54,47,130,Schöneberg
2012-10-30,19,34,63,Schöneberg
2012-10-31,19,35,64,Schöneberg
2012-11-01,11,38,55,Schöneberg
2012-11-02,7,33,44,Schöneberg
2012-11-03,4,25,31,Schöneberg
2012-11-04,2,25,28,Schöneberg
2012-11-05,5,28,35,Schöneberg
2012-11-06,4,20,26,Schöneberg
2012-11-07,3,17,22,Schöneberg
2012-11-08,5,25,33,Schöneberg
2012-11-09,7,33,45,Schöneberg
2012-11-10,5,29,37,Schöneberg
2012-11-11,3,24,29,Schöneberg
2012-11-12,8,34,47,Schöneberg
2012-11-13,54,54,137,Schöneberg
2012-11-14,43,53,118,Schöneberg
2012-11-15,46,45,116,Schöneberg
2012-11-16,28,34,77,Schöneberg
2012-11-17,12,27,46,Schöneberg
2012-11-18,18,28,56,Schöneberg
2012-11-19,19,30,59,Schöneberg
2012-11-20,28,31,74,Schöneberg
2012-11-21,13,32,52,Schöneberg
2012-11-22,31,45,92,Schöneberg
2012-11-23,41,41,103,Schöneberg
2012-11-24,22,33,67,Schöneberg
2012-11-25,5,26,34,Schöneberg
2012-11-26,16,41,66,Schöneberg
2012-11-27,57,46,134,Schöneberg
2012-11-28,41,52,115,Schöneberg
2012-11-29,5,24,31,Schöneberg
2012-11-30,9,25,39,Schöneberg
2012-12-01,11,34,51,Schöneberg
2012-12-02,8,30,42,Schöneberg
2012-12-03,9,31,44,Schöneberg
2012-12-04,7,33,43,Schöneberg
2012-12-05,6,31,40,Schöneberg
2012-12-06,18,38,65,Schöneberg
2012-12-07,36,49,104,Schöneberg
2012-12-08,33,49,100,Schöneberg
2012-12-09,5,36,44,Schöneberg
2012-12-10,19,37,66,Schöneberg
2012-12-11,5,32,41,Schöneberg
2012-12-12,22,44,77,Schöneberg
2012-12-13,25,49,86,Schöneberg
2012-12-14,11,45,62,Schöneberg
2012-12-15,22,48,81,Schöneberg
2012-12-16,15,45,67,Schöneberg
2012-12-17,58,51,139,Schöneberg
2012-12-18,54,41,124,Schöneberg
2012-12-19,36,33,87,Schöneberg
2012-12-20,16,28,53,Schöneberg
2012-12-21,8,29,42,Schöneberg
2012-12-22,8,28,39,Schöneberg
2012-12-23,17,37,63,Schöneberg
2012-12-24,9,43,57,Schöneberg
2012-12-25,1,16,18,Schöneberg
2012-12-26,1,14,16,Schöneberg
2012-12-27,2,20,23,Schöneberg
2012-12-28,5,32,40,Schöneberg
2012-12-29,5,28,35,Schöneberg
2012-12-30,2,18,21,Schöneberg
2012-12-31,1,17,19,Schöneberg
2013-01-01,3,20,24,Schöneberg
2013-01-02,2,18,21,Schöneberg
2013-01-03,3,18,23,Schöneberg
2013-01-04,2,16,19,Schöneberg
2013-01-05,1,20,22,Schöneberg
2013-01-06,2,18,20,Schöneberg
2013-01-07,6,28,37,Schöneberg
2013-01-08,18,30,58,Schöneberg
2013-01-09,16,31,56,Schöneberg
2013-01-10,3,20,24,Schöneberg
2013-01-11,4,25,32,Schöneberg
2013-01-12,4,26,32,Schöneberg
2013-01-13,3,25,29,Schöneberg
2013-01-14,11,37,55,Schöneberg
2013-01-15,16,42,67,Schöneberg
2013-01-16,9,40,54,Schöneberg
2013-01-17,5,36,44,Schöneberg
2013-01-18,5,27,35,Schöneberg
2013-01-19,4,25,31,Schöneberg
2013-01-20,3,25,30,Schöneberg
2013-01-21,5,29,36,Schöneberg
2013-01-22,4,33,40,Schöneberg
2013-01-23,19,49,78,Schöneberg
2013-01-24,20,49,79,Schöneberg
2013-01-25,28,65,108,Schöneberg
2013-01-26,4,39,45,Schöneberg
2013-01-27,4,37,44,Schöneberg
2013-01-28,18,46,74,Schöneberg
2013-01-29,6,36,45,Schöneberg
2013-01-30,3,24,28,Schöneberg
2013-01-31,2,14,17,Schöneberg
2013-02-01,3,25,29,Schöneberg
2013-02-02,1,21,22,Schöneberg
2013-02-03,2,17,19,Schöneberg
2013-02-04,4,25,31,Schöneberg
2013-02-05,3,23,27,Schöneberg
2013-02-06,6,36,46,Schöneberg
2013-02-07,5,26,34,Schöneberg
2013-02-08,5,27,35,Schöneberg
2013-02-09,4,27,32,Schöneberg
2013-02-10,2,22,25,Schöneberg
2013-02-11,6,36,45,Schöneberg
2013-02-12,7,33,43,Schöneberg
2013-02-13,7,34,45,Schöneberg
2013-02-14,11,39,55,Schöneberg
2013-02-15,9,44,57,Schöneberg
2013-02-16,15,44,68,Schöneberg
2013-02-17,4,29,35,Schöneberg
2013-02-18,6,34,43,Schöneberg
2013-02-19,4,26,32,Schöneberg
2013-02-20,2,21,24,Schöneberg
2013-02-21,4,31,38,Schöneberg
2013-02-22,4,29,36,Schöneberg
2013-02-23,3,24,28,Schöneberg
2013-02-24,5,30,38,Schöneberg
2013-02-25,8,33,45,Schöneberg
2013-02-26,5,25,34,Schöneberg
2013-02-27,6,36,46,Schöneberg
2013-02-28,4,28,35,Schöneberg
2013-03-01,4,30,36,Schöneberg
2013-03-02,2,24,28,Schöneberg
2013-03-03,2,17,20,Schöneberg
2013-03-04,33,55,105,Schöneberg
2013-03-05,6,52,62,Schöneberg
2013-03-06,20,70,100,Schöneberg
2013-03-07,3,38,42,Schöneberg
2013-03-08,3,27,31,Schöneberg
2013-03-09,2,24,27,Schöneberg
2013-03-10,2,23,26,Schöneberg
2013-03-11,4,30,36,Schöneberg
2013-03-12,4,32,39,Schöneberg
2013-03-13,5,42,49,Schöneberg
2013-03-14,21,53,85,Schöneberg
2013-03-15,6,45,54,Schöneberg
2013-03-16,9,42,55,Schöneberg
2013-03-17,3,20,24,Schöneberg
2013-03-18,4,31,38,Schöneberg
2013-03-19,3,31,36,Schöneberg
2013-03-20,4,31,37,Schöneberg
2013-03-21,3,33,39,Schöneberg
2013-03-22,3,28,33,Schöneberg
2013-03-23,3,21,26,Schöneberg
2013-03-24,2,25,28,Schöneberg
2013-03-25,3,28,32,Schöneberg
2013-03-26,3,30,35,Schöneberg
2013-03-27,3,30,34,Schöneberg
2013-03-28,3,33,37,Schöneberg
2013-03-29,2,29,32,Schöneberg
2013-03-30,1,22,24,Schöneberg
2013-03-31,2,15,18,Schöneberg
2013-04-01,1,19,21,Schöneberg
2013-04-02,4,38,44,Schöneberg
2013-04-03,3,37,41,Schöneberg
2013-04-04,3,30,35,Schöneberg
2013-04-05,4,31,37,Schöneberg
2013-04-06,2,26,29,Schöneberg
2013-04-07,18,52,79,Schöneberg
2013-04-08,15,46,69,Schöneberg
2013-04-09,2,26,29,Schöneberg
2013-04-10,4,29,35,Schöneberg
2013-04-11,17,45,72,Schöneberg
2013-04-12,21,41,72,Schöneberg
2013-04-13,1,17,19,Schöneberg
2013-04-14,5,29,36,Schöneberg
2013-04-15,4,26,32,Schöneberg
2013-04-16,12,54,73,Schöneberg
2013-04-17,3,34,38,Schöneberg
2013-04-18,3,28,32,Schöneberg
2013-04-19,2,21,24,Schöneberg
2013-04-20,1,12,14,Schöneberg
2013-04-21,2,15,17,Schöneberg
2013-04-22,8,31,43,Schöneberg
2013-04-23,3,21,26,Schöneberg
2013-04-24,2,25,29,Schöneberg
2013-04-25,3,26,30,Schöneberg
2013-04-26,3,25,29,Schöneberg
2013-04-27,1,13,15,Schöneberg
2013-04-28,1,12,14,Schöneberg
2013-04-29,3,20,25,Schöneberg
2013-04-30,3,23,26,Schöneberg
2013-05-01,2,15,17,Schöneberg
2013-05-02,3,28,33,Schöneberg
2013-05-03,3,20,24,Schöneberg
2013-05-04,3,30,35,Schöneberg
2013-05-05,1,19,21,Schöneberg
2013-05-06,3,24,29,Schöneberg
2013-05-07,3,26,31,Schöneberg
2013-05-08,4,31,38,Schöneberg
2013-05-09,1,21,22,Schöneberg
2013-05-10,4,22,28,Schöneberg
2013-05-11,2,22,25,Schöneberg
2013-05-12,3,13,17,Schöneberg
2013-05-13,5,18,25,Schöneberg
2013-05-14,2,22,26,Schöneberg
2013-05-15,3,23,28,Schöneberg
2013-05-16,3,22,26,Schöneberg
2013-05-17,3,24,29,Schöneberg
2013-05-18,2,18,22,Schöneberg
2013-05-19,1,12,14,Schöneberg
2013-05-20,1,11,12,Schöneberg
2013-05-21,3,23,27,Schöneberg
2013-05-22,3,18,22,Schöneberg
2013-05-23,2,16,20,Schöneberg
2013-05-24,5,24,31,Schöneberg
2013-05-25,2,19,21,Schöneberg
2013-05-26,2,16,19,Schöneberg
2013-05-27,4,19,25,Schöneberg
2013-05-28,3,31,35,Schöneberg
2013-05-29,4,38,44,Schöneberg
2013-05-30,3,24,28,Schöneberg
2013-05-31,2,21,23,Schöneberg
2013-06-01,1,12,14,Schöneberg
2013-06-02,1,10,11,Schöneberg
2013-06-03,2,13,16,Schöneberg
2013-06-04,4,19,25,Schöneberg
2013-06-05,3,22,26,Schöneberg
2013-06-06,4,22,28,Schöneberg
2013-06-07,3,24,28,Schöneberg
2013-06-08,2,22,26,Schöneberg
2013-06-09,0,13,14,Schöneberg
2013-06-10,1,12,14,Schöneberg
2013-06-11,3,27,32,Schöneberg
2013-06-12,4,30,36,Schöneberg
2013-06-13,3,23,28,Schöneberg
2013-06-14,2,18,21,Schöneberg
2013-06-15,4,23,29,Schöneberg
2013-06-16,0,11,11,Schöneberg
2013-06-17,2,19,22,Schöneberg
2013-06-18,2,19,22,Schöneberg
2013-06-19,2,21,24,Schöneberg
2013-06-20,1,16,18,Schöneberg
2013-06-21,2,14,17,Schöneberg
2013-06-22,1,13,15,Schöneberg
2013-06-23,1,9,10,Schöneberg
2013-06-24,2,11,15,Schöneberg
2013-06-25,3,17,21,Schöneberg
2013-06-26,2,10,13,Schöneberg
2013-06-27,3,18,22,Schöneberg
2013-06-28,3,20,25,Schöneberg
2013-06-29,2,11,14,Schöneberg
2013-06-30,1,7,9,Schöneberg
2013-07-01,2,19,22,Schöneberg
2013-07-02,4,22,28,Schöneberg
2013-07-03,3,23,27,Schöneberg
2013-07-04,2,14,17,Schöneberg
2013-07-05,4,21,28,Schöneberg
2013-07-06,1,11,12,Schöneberg
2013-07-07,1,11,12,Schöneberg
2013-07-08,2,21,24,Schöneberg
2013-07-09,2,23,25,Schöneberg
2013-07-10,2,15,19,Schöneberg
2013-07-11,2,13,16,Schöneberg
2013-07-12,5,22,29,Schöneberg
2013-07-13,2,15,18,Schöneberg
2013-07-14,1,13,14,Schöneberg
2013-07-15,2,16,19,Schöneberg
2013-07-16,2,22,25,Schöneberg
2013-07-17,4,20,25,Schöneberg
2013-07-18,2,16,20,Schöneberg
2013-07-19,2,14,16,Schöneberg
2013-07-20,1,7,8,Schöneberg
2013-07-21,3,27,32,Schöneberg
2013-07-22,23,41,76,Schöneberg
2013-07-23,1,15,17,Schöneberg
2013-07-24,2,22,25,Schöneberg
2013-07-25,1,23,25,Schöneberg
2013-07-26,2,29,32,Schöneberg
2013-07-27,1,20,21,Schöneberg
2013-07-28,0,15,15,Schöneberg
2013-07-29,3,22,26,Schöneberg
2013-07-30,2,20,24,Schöneberg
2013-07-31,2,14,16,Schöneberg
2013-08-01,4,26,32,Schöneberg
2013-08-02,3,28,32,Schöneberg
2013-08-03,1,19,20,Schöneberg
2013-08-04,1,10,11,Schöneberg
2013-08-05,2,23,26,Schöneberg
2013-08-06,3,29,33,Schöneberg
2013-08-07,2,23,25,Schöneberg
2013-08-08,2,19,22,Schöneberg
2013-08-09,1,18,20,Schöneberg
2013-08-10,4,25,30,Schöneberg
2013-08-11,1,16,17,Schöneberg
