,Feinstaub (PM10)µg/m³,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ozonµg/m³,Ortschaft
2010-03-08,18,2,26,29,58,Marienfelde
2010-03-09,46,8,47,60,35,Marienfelde
2010-03-10,56,6,39,48,43,Marienfelde
2010-03-11,70,7,34,44,37,Marienfelde
2010-03-12,25,3,17,22,43,Marienfelde
2010-03-13,12,0,5,5,72,Marienfelde
2010-03-14,8,0,6,6,78,Marienfelde
2010-03-15,13,1,13,15,66,Marienfelde
2010-03-16,13,1,10,11,67,Marienfelde
2010-03-17,25,2,21,24,43,Marienfelde
2010-03-18,31,5,21,28,60,Marienfelde
2010-03-19,31,1,18,20,62,Marienfelde
2010-03-20,22,1,8,10,59,Marienfelde
2010-03-21,15,0,6,6,64,Marienfelde
2010-03-22,16,2,14,16,71,Marienfelde
2010-03-23,25,2,21,23,48,Marienfelde
2010-03-24,32,7,30,40,45,Marienfelde
2010-03-25,44,3,24,29,61,Marienfelde
2010-03-26,37,3,21,25,60,Marienfelde
2010-03-27,11,1,8,9,67,Marienfelde
2010-03-28,15,1,6,7,58,Marienfelde
2010-03-29,14,1,21,24,46,Marienfelde
2010-03-30,23,3,25,30,36,Marienfelde
2010-03-31,19,0,10,10,66,Marienfelde
2010-04-01,11,1,11,12,66,Marienfelde
2010-04-02,21,1,14,15,62,Marienfelde
2010-04-03,31,1,17,19,60,Marienfelde
2010-04-04,20,0,8,9,69,Marienfelde
2010-04-05,19,0,7,7,67,Marienfelde
2010-04-06,24,3,20,24,54,Marienfelde
2010-04-07,26,2,16,18,73,Marienfelde
2010-04-08,32,2,17,19,72,Marienfelde
2010-04-09,22,1,9,11,62,Marienfelde
2010-04-10,13,1,8,9,66,Marienfelde
2010-04-11,14,1,7,9,62,Marienfelde
2010-04-12,36,2,18,21,65,Marienfelde
2010-04-13,35,2,23,26,73,Marienfelde
2010-04-14,30,2,21,25,65,Marienfelde
2010-04-15,15,1,25,27,60,Marienfelde
2010-04-16,20,1,18,19,62,Marienfelde
2010-04-17,25,1,14,16,64,Marienfelde
2010-04-18,26,2,11,14,82,Marienfelde
2010-04-19,29,3,20,24,75,Marienfelde
2010-04-20,24,2,14,17,70,Marienfelde
2010-04-21,15,1,8,9,73,Marienfelde
2010-04-22,15,1,15,16,65,Marienfelde
2010-04-23,24,12,25,44,58,Marienfelde
2010-04-24,29,8,29,41,58,Marienfelde
2010-04-25,27,0,9,9,92,Marienfelde
2010-04-26,31,2,18,20,75,Marienfelde
2010-04-27,15,0,10,10,64,Marienfelde
2010-04-28,23,7,20,30,61,Marienfelde
2010-04-29,31,1,16,17,92,Marienfelde
2010-04-30,31,0,12,12,90,Marienfelde
2010-05-01,22,1,7,7,65,Marienfelde
2010-05-02,16,1,11,12,62,Marienfelde
2010-05-03,15,1,22,23,46,Marienfelde
2010-05-04,12,1,13,15,61,Marienfelde
2010-05-05,16,2,13,17,67,Marienfelde
2010-05-06,12,1,11,13,59,Marienfelde
2010-05-07,9,2,13,16,27,Marienfelde
2010-05-08,12,3,11,15,38,Marienfelde
2010-05-09,24,4,16,21,52,Marienfelde
2010-05-10,25,2,24,27,38,Marienfelde
2010-05-11,21,1,17,19,52,Marienfelde
2010-05-12,22,1,11,13,49,Marienfelde
2010-05-13,20,,,,41,Marienfelde
2010-05-14,14,0,12,12,56,Marienfelde
