,Feinstaub (PM10)µg/m³,Stickstoffmonoxidµg/m³,Stickstoffdioxidµg/m³,Stickoxideµg/m³,Ozonµg/m³,Ortschaft
2011-05-28,,1,8,8,80,Marienfelde
2011-05-29,,0,8,9,77,Marienfelde
2011-05-30,,1,9,10,101,Marienfelde
2011-05-31,,0,8,8,111,Marienfelde
2011-06-01,,1,10,11,66,Marienfelde
2011-06-02,,0,8,9,81,Marienfelde
2011-06-03,,1,13,15,68,Marienfelde
2011-06-04,,1,9,9,85,Marienfelde
2011-06-05,,0,8,7,108,Marienfelde
2011-06-06,,0,9,9,94,Marienfelde
2011-06-07,,1,11,12,77,Marienfelde
2011-06-08,,1,13,15,63,Marienfelde
2011-06-09,,1,6,7,88,Marienfelde
2011-06-10,,1,11,13,86,Marienfelde
2011-06-11,,1,14,15,80,Marienfelde
2011-06-12,,1,9,10,83,Marienfelde
2011-06-13,,0,7,7,91,Marienfelde
2011-06-14,,2,15,17,63,Marienfelde
2011-06-15,,1,14,15,84,Marienfelde
2011-06-16,,0,12,12,86,Marienfelde
2011-06-17,,0,9,9,76,Marienfelde
2011-06-18,,0,7,7,68,Marienfelde
2011-06-19,,0,3,4,61,Marienfelde
2011-06-20,,1,7,8,70,Marienfelde
2011-06-21,,1,12,14,42,Marienfelde
2011-06-22,,2,10,12,51,Marienfelde
2011-06-23,,1,9,10,63,Marienfelde
2011-06-24,,1,9,10,64,Marienfelde
2011-06-25,,1,5,6,75,Marienfelde
2011-06-26,,0,8,8,56,Marienfelde
2011-06-27,,1,13,15,68,Marienfelde
2011-06-28,,2,11,13,79,Marienfelde
2011-06-29,,1,17,19,92,Marienfelde
2011-06-30,,0,8,9,57,Marienfelde
2011-07-01,,1,4,6,65,Marienfelde
2011-07-02,,0,4,4,56,Marienfelde
2011-07-03,,0,4,4,37,Marienfelde
2011-07-04,,1,7,9,29,Marienfelde
2011-07-05,,1,11,14,60,Marienfelde
2011-07-06,,2,10,12,75,Marienfelde
2011-07-07,,1,12,14,83,Marienfelde
2011-07-08,,1,12,14,70,Marienfelde
2011-07-09,,1,8,9,69,Marienfelde
2011-07-10,,1,4,6,79,Marienfelde
2011-07-11,,1,10,12,67,Marienfelde
2011-07-12,,2,14,17,73,Marienfelde
2011-07-13,,1,17,19,76,Marienfelde
2011-07-14,,1,9,10,58,Marienfelde
2011-07-15,,0,7,8,56,Marienfelde
2011-07-16,,1,8,9,79,Marienfelde
2011-07-17,,0,5,5,82,Marienfelde
2011-07-18,,1,4,6,54,Marienfelde
2011-07-19,,1,9,10,59,Marienfelde
2011-07-20,,1,12,13,75,Marienfelde
2011-07-21,,1,8,8,65,Marienfelde
2011-07-22,,0,5,4,56,Marienfelde
2011-07-23,,0,4,3,62,Marienfelde
2011-07-24,,0,5,5,62,Marienfelde
2011-07-25,,1,8,9,43,Marienfelde
2011-07-26,,1,11,12,53,Marienfelde
2011-07-27,,4,19,24,51,Marienfelde
2011-07-28,,5,18,25,40,Marienfelde
2011-07-29,,1,8,9,58,Marienfelde
2011-07-30,,0,5,5,54,Marienfelde
2011-07-31,,0,3,4,43,Marienfelde
2011-08-01,,1,9,11,34,Marienfelde
2011-08-02,,3,16,21,41,Marienfelde
2011-08-03,,3,20,25,48,Marienfelde
2011-08-04,,2,16,19,44,Marienfelde
2011-08-05,,1,9,10,48,Marienfelde
2011-08-06,,1,9,10,57,Marienfelde
2011-08-07,,0,5,6,53,Marienfelde
2011-08-08,,1,8,9,42,Marienfelde
2011-08-09,,0,5,6,55,Marienfelde
2011-08-10,,1,5,6,55,Marienfelde
2011-08-11,,1,9,11,63,Marienfelde
2011-08-12,,1,13,14,51,Marienfelde
2011-08-13,,1,7,9,47,Marienfelde
2011-08-14,,1,10,12,37,Marienfelde
2011-08-15,,1,9,11,47,Marienfelde
2011-08-16,,2,13,16,45,Marienfelde
2011-08-17,,2,25,28,,Marienfelde
2011-08-18,,,,,,Marienfelde
2011-08-19,,0,4,4,,Marienfelde
2011-08-20,,0,8,8,65,Marienfelde
2011-08-21,,0,9,10,68,Marienfelde
2011-08-22,,1,10,11,65,Marienfelde
2011-08-23,,1,19,21,42,Marienfelde
2011-08-24,,1,16,17,73,Marienfelde
2011-08-25,,1,13,14,70,Marienfelde
2011-08-26,,1,24,25,77,Marienfelde
2011-08-27,,0,6,6,61,Marienfelde
2011-08-28,,1,4,5,54,Marienfelde
2011-08-29,,1,9,10,50,Marienfelde
2011-08-30,,1,10,11,51,Marienfelde
2011-08-31,,2,14,18,35,Marienfelde
2011-09-01,,3,14,18,36,Marienfelde
2011-09-02,,2,22,25,43,Marienfelde
2011-09-03,,1,14,15,68,Marienfelde
2011-09-04,,0,13,13,75,Marienfelde
2011-09-05,,1,14,15,44,Marienfelde
2011-09-06,,1,9,10,51,Marienfelde
2011-09-07,,0,9,9,49,Marienfelde
2011-09-08,,1,10,10,40,Marienfelde
2011-09-09,,1,13,15,29,Marienfelde
2011-09-10,,2,10,13,19,Marienfelde
2011-09-11,,1,5,6,57,Marienfelde
2011-09-12,,0,7,8,58,Marienfelde
2011-09-13,,1,10,10,55,Marienfelde
2011-09-14,,0,13,13,44,Marienfelde
2011-09-15,,1,12,13,39,Marienfelde
2011-09-16,,4,16,22,36,Marienfelde
2011-09-17,,1,11,13,50,Marienfelde
2011-09-18,,0,6,6,42,Marienfelde
2011-09-19,,2,11,13,24,Marienfelde
2011-09-20,,6,15,25,31,Marienfelde
2011-09-21,,2,16,18,39,Marienfelde
2011-09-22,,1,14,16,39,Marienfelde
2011-09-23,,3,18,22,35,Marienfelde
2011-09-24,,5,19,27,35,Marienfelde
2011-09-25,,1,14,15,41,Marienfelde
2011-09-26,,4,20,27,43,Marienfelde
2011-09-27,,5,25,33,21,Marienfelde
2011-09-28,,14,16,38,29,Marienfelde
2011-09-29,,12,25,44,24,Marienfelde
2011-09-30,,11,23,40,31,Marienfelde
2011-10-01,,12,23,41,33,Marienfelde
2011-10-02,,6,17,25,41,Marienfelde
2011-10-03,,1,11,12,62,Marienfelde
2011-10-04,,1,14,15,63,Marienfelde
2011-10-05,,1,15,16,42,Marienfelde
2011-10-06,,1,9,10,46,Marienfelde
2011-10-07,,2,15,17,31,Marienfelde
2011-10-08,,0,5,5,55,Marienfelde
2011-10-09,,1,6,7,43,Marienfelde
2011-10-10,,2,13,15,28,Marienfelde
2011-10-11,,0,9,9,58,Marienfelde
2011-10-12,,1,10,11,46,Marienfelde
2011-10-13,,2,16,19,32,Marienfelde
2011-10-14,,18,26,53,16,Marienfelde
2011-10-15,,15,22,46,21,Marienfelde
2011-10-16,,1,12,13,31,Marienfelde
2011-10-17,,6,23,32,21,Marienfelde
2011-10-18,,2,13,16,42,Marienfelde
2011-10-19,,1,12,14,39,Marienfelde
2011-10-20,,1,21,23,28,Marienfelde
2011-10-21,,4,23,28,21,Marienfelde
2011-10-22,,8,25,37,19,Marienfelde
2011-10-23,,1,16,18,29,Marienfelde
2011-10-24,,5,19,26,26,Marienfelde
2011-10-25,,5,24,32,28,Marienfelde
2011-10-26,,5,19,27,11,Marienfelde
2011-10-27,,11,24,41,6,Marienfelde
2011-10-28,,6,20,28,16,Marienfelde
2011-10-29,,10,21,37,9,Marienfelde
2011-10-30,,3,15,19,11,Marienfelde
2011-10-31,,15,28,51,4,Marienfelde
2011-11-01,,4,23,29,21,Marienfelde
2011-11-02,,6,24,33,10,Marienfelde
2011-11-03,,5,24,32,11,Marienfelde
2011-11-04,,6,28,37,12,Marienfelde
2011-11-05,,3,22,27,17,Marienfelde
2011-11-06,,2,24,27,18,Marienfelde
2011-11-07,,13,37,57,7,Marienfelde
2011-11-08,,14,34,55,11,Marienfelde
2011-11-09,,14,32,54,5,Marienfelde
2011-11-10,,10,25,40,9,Marienfelde
2011-11-11,,9,24,37,21,Marienfelde
2011-11-12,,5,27,35,16,Marienfelde
2011-11-13,,8,33,45,11,Marienfelde
2011-11-14,,32,39,87,5,Marienfelde
2011-11-15,,2,18,22,25,Marienfelde
2011-11-16,,4,26,32,24,Marienfelde
2011-11-17,,6,32,41,7,Marienfelde
2011-11-18,,14,35,55,3,Marienfelde
2011-11-19,,16,23,47,3,Marienfelde
2011-11-20,,9,22,35,13,Marienfelde
2011-11-21,,16,33,57,9,Marienfelde
2011-11-22,,8,30,41,7,Marienfelde
2011-11-23,,25,28,66,3,Marienfelde
2011-11-24,,37,27,84,2,Marienfelde
2011-11-25,,10,33,49,13,Marienfelde
2011-11-26,,1,18,19,29,Marienfelde
2011-11-27,,0,5,6,52,Marienfelde
2011-11-28,,1,18,20,40,Marienfelde
2011-11-29,,12,29,47,16,Marienfelde
2011-11-30,,2,27,30,22,Marienfelde
2011-12-01,,14,29,50,10,Marienfelde
2011-12-02,,2,16,18,37,Marienfelde
2011-12-03,,0,10,10,42,Marienfelde
2011-12-04,,0,7,7,53,Marienfelde
2011-12-05,,0,11,11,52,Marienfelde
2011-12-06,,1,14,15,43,Marienfelde
2011-12-07,,5,15,23,45,Marienfelde
2011-12-08,,1,11,12,48,Marienfelde
2011-12-09,,0,11,12,56,Marienfelde
2011-12-10,,0,13,13,45,Marienfelde
2011-12-11,,1,12,13,39,Marienfelde
2011-12-12,,3,21,26,27,Marienfelde
2011-12-13,,2,13,16,47,Marienfelde
2011-12-14,,1,10,11,54,Marienfelde
2011-12-15,,2,12,15,52,Marienfelde
2011-12-16,,0,12,12,46,Marienfelde
2011-12-17,,0,6,6,55,Marienfelde
2011-12-18,,0,7,8,53,Marienfelde
2011-12-19,,1,16,18,39,Marienfelde
2011-12-20,,2,17,20,33,Marienfelde
2011-12-21,,1,21,22,28,Marienfelde
2011-12-22,,5,22,30,21,Marienfelde
2011-12-23,,4,25,31,7,Marienfelde
2011-12-24,,0,7,8,44,Marienfelde
2011-12-25,,0,7,7,40,Marienfelde
2011-12-26,,0,7,8,35,Marienfelde
2011-12-27,,0,11,12,37,Marienfelde
2011-12-28,,1,11,13,29,Marienfelde
2011-12-29,,0,10,10,46,Marienfelde
2011-12-30,,0,8,8,55,Marienfelde
2011-12-31,,1,10,12,38,Marienfelde
2012-01-01,,1,11,13,22,Marienfelde
2012-01-02,,0,12,12,45,Marienfelde
2012-01-03,,3,13,17,50,Marienfelde
2012-01-04,,0,9,9,59,Marienfelde
2012-01-05,,0,6,6,63,Marienfelde
2012-01-06,,0,12,12,47,Marienfelde
2012-01-07,,0,7,7,50,Marienfelde
2012-01-08,,0,5,6,53,Marienfelde
2012-01-09,,1,15,16,33,Marienfelde
2012-01-10,,0,10,11,53,Marienfelde
2012-01-11,,1,18,19,31,Marienfelde
2012-01-12,,1,11,13,45,Marienfelde
2012-01-13,,1,6,7,62,Marienfelde
2012-01-14,,0,9,9,53,Marienfelde
2012-01-15,,4,19,24,32,Marienfelde
2012-01-16,,5,30,37,12,Marienfelde
2012-01-17,,0,17,17,37,Marienfelde
2012-01-18,,,,,13,Marienfelde
2012-01-19,,1,14,15,26,Marienfelde
2012-01-20,,0,10,11,55,Marienfelde
2012-01-21,,0,9,9,51,Marienfelde
2012-01-22,,1,6,6,59,Marienfelde
2012-01-23,,5,23,31,25,Marienfelde
2012-01-24,,10,39,54,7,Marienfelde
2012-01-25,,23,37,72,13,Marienfelde
2012-01-26,,23,26,61,24,Marienfelde
2012-01-27,,2,21,23,31,Marienfelde
2012-01-28,,5,31,38,20,Marienfelde
2012-01-29,,2,21,23,38,Marienfelde
2012-01-30,,10,34,49,34,Marienfelde
2012-01-31,,8,28,40,36,Marienfelde
2012-02-01,,2,24,28,39,Marienfelde
2012-02-02,,8,38,50,23,Marienfelde
2012-02-03,,12,42,60,17,Marienfelde
2012-02-04,,23,40,76,14,Marienfelde
2012-02-05,,11,31,47,20,Marienfelde
2012-02-06,,8,44,57,22,Marienfelde
2012-02-07,,5,35,43,31,Marienfelde
2012-02-08,,8,37,50,30,Marienfelde
2012-02-09,,2,22,25,46,Marienfelde
2012-02-10,,3,33,38,41,Marienfelde
2012-02-11,,2,35,38,32,Marienfelde
2012-02-12,,3,29,34,37,Marienfelde
2012-02-13,,1,22,24,33,Marienfelde
2012-02-14,,5,33,41,22,Marienfelde
2012-02-15,,0,9,9,72,Marienfelde
2012-02-16,,1,19,20,50,Marienfelde
2012-02-17,,1,12,13,51,Marienfelde
2012-02-18,,1,13,15,35,Marienfelde
2012-02-19,,0,5,6,62,Marienfelde
2012-02-20,,0,12,13,61,Marienfelde
2012-02-21,,1,21,22,43,Marienfelde
2012-02-22,,2,18,20,46,Marienfelde
2012-02-23,,1,14,15,47,Marienfelde
2012-02-24,,1,17,19,32,Marienfelde
2012-02-25,,0,5,5,72,Marienfelde
2012-02-26,,0,12,12,64,Marienfelde
2012-02-27,,9,29,42,32,Marienfelde
2012-02-28,,1,19,21,25,Marienfelde
2012-02-29,,1,13,14,32,Marienfelde
2012-03-01,,2,17,19,24,Marienfelde
2012-03-02,,3,20,25,42,Marienfelde
2012-03-03,,2,21,23,45,Marienfelde
2012-03-04,,1,12,13,63,Marienfelde
2012-03-05,,3,24,28,53,Marienfelde
2012-03-06,,5,27,35,50,Marienfelde
2012-03-07,,2,26,29,46,Marienfelde
2012-03-08,,1,20,23,38,Marienfelde
2012-03-09,,3,19,23,46,Marienfelde
2012-03-10,,1,12,12,50,Marienfelde
2012-03-11,,0,6,6,75,Marienfelde
2012-03-12,,0,10,10,55,Marienfelde
2012-03-13,,0,8,9,59,Marienfelde
2012-03-14,,0,11,12,60,Marienfelde
2012-03-15,,4,26,32,28,Marienfelde
2012-03-16,,11,36,53,23,Marienfelde
2012-03-17,,2,29,32,48,Marienfelde
2012-03-18,,1,13,15,52,Marienfelde
2012-03-19,,0,9,9,72,Marienfelde
2012-03-20,,2,23,26,45,Marienfelde
2012-03-21,,1,19,20,42,Marienfelde
2012-03-22,,3,27,32,50,Marienfelde
2012-03-23,,13,38,58,38,Marienfelde
2012-03-24,,2,20,24,55,Marienfelde
2012-03-25,,2,11,14,46,Marienfelde
2012-03-26,,5,25,33,42,Marienfelde
2012-03-27,,2,22,25,44,Marienfelde
2012-03-28,,2,15,17,70,Marienfelde
2012-03-29,,0,7,7,79,Marienfelde
2012-03-30,,0,6,7,74,Marienfelde
2012-03-31,,1,6,8,77,Marienfelde
2012-04-01,,1,5,6,68,Marienfelde
2012-04-02,,1,12,13,70,Marienfelde
2012-04-03,,2,21,24,46,Marienfelde
2012-04-04,,2,23,26,31,Marienfelde
2012-04-05,,1,14,15,61,Marienfelde
2012-04-06,,6,18,28,48,Marienfelde
2012-04-07,,0,6,7,70,Marienfelde
2012-04-08,,0,8,9,67,Marienfelde
2012-04-09,,1,7,8,70,Marienfelde
2012-04-10,,2,10,12,61,Marienfelde
2012-04-11,,2,17,19,60,Marienfelde
2012-04-12,,2,22,25,45,Marienfelde
2012-04-13,,1,14,15,49,Marienfelde
2012-04-14,,5,19,26,59,Marienfelde
2012-04-15,,0,8,8,83,Marienfelde
2012-04-16,,0,10,11,80,Marienfelde
2012-04-17,,1,11,14,73,Marienfelde
2012-04-18,,1,14,15,78,Marienfelde
2012-04-19,,2,23,25,76,Marienfelde
2012-04-20,,5,28,36,57,Marienfelde
2012-04-21,,0,10,11,69,Marienfelde
2012-04-22,,1,6,7,74,Marienfelde
2012-04-23,,2,13,16,68,Marienfelde
2012-04-24,,2,18,20,67,Marienfelde
2012-04-25,,1,12,14,67,Marienfelde
2012-04-26,,1,13,13,73,Marienfelde
2012-04-27,,1,16,16,79,Marienfelde
2012-04-28,,1,15,17,88,Marienfelde
2012-04-29,,0,11,12,84,Marienfelde
2012-04-30,,1,10,12,81,Marienfelde
2012-05-01,,0,8,8,91,Marienfelde
2012-05-02,,1,13,14,92,Marienfelde
2012-05-03,,3,20,24,48,Marienfelde
2012-05-04,,1,12,13,75,Marienfelde
2012-05-05,,1,12,14,54,Marienfelde
2012-05-06,,0,8,8,61,Marienfelde
2012-05-07,,1,14,15,50,Marienfelde
2012-05-08,,1,14,16,56,Marienfelde
2012-05-09,,1,11,12,59,Marienfelde
2012-05-10,,1,9,11,60,Marienfelde
2012-05-11,,1,10,11,64,Marienfelde
2012-05-12,,0,4,4,90,Marienfelde
2012-05-13,,0,7,7,69,Marienfelde
2012-05-14,,1,11,12,66,Marienfelde
2012-05-15,,2,13,16,69,Marienfelde
2012-05-16,,0,8,8,71,Marienfelde
2012-05-17,,0,5,5,74,Marienfelde
2012-05-18,,1,13,14,72,Marienfelde
2012-05-19,,0,11,11,95,Marienfelde
2012-05-20,,1,11,12,104,Marienfelde
2012-05-21,,0,10,11,100,Marienfelde
2012-05-22,,0,11,11,102,Marienfelde
2012-05-23,,1,14,16,90,Marienfelde
2012-05-24,,1,9,10,89,Marienfelde
2012-05-25,,1,10,12,88,Marienfelde
2012-05-26,,0,7,7,90,Marienfelde
2012-05-27,,0,5,6,92,Marienfelde
2012-05-28,,0,7,6,85,Marienfelde
2012-05-29,,1,12,13,82,Marienfelde
2012-05-30,,1,8,9,72,Marienfelde
2012-05-31,,1,13,15,61,Marienfelde
2012-06-01,,0,6,6,76,Marienfelde
2012-06-02,,0,6,6,76,Marienfelde
2012-06-03,,0,9,10,61,Marienfelde
2012-06-04,,1,7,9,54,Marienfelde
2012-06-05,,0,9,10,58,Marienfelde
2012-06-06,,1,15,17,48,Marienfelde
2012-06-07,,1,11,12,55,Marienfelde
2012-06-08,,1,7,9,66,Marienfelde
2012-06-09,,0,6,7,74,Marienfelde
2012-06-10,,1,8,9,73,Marienfelde
2012-06-11,,2,15,19,74,Marienfelde
2012-06-12,,1,9,10,73,Marienfelde
2012-06-13,,1,9,10,68,Marienfelde
2012-06-14,,1,12,13,65,Marienfelde
2012-06-15,,1,10,11,74,Marienfelde
2012-06-16,,1,10,11,54,Marienfelde
2012-06-17,,0,5,6,71,Marienfelde
2012-06-18,,1,14,16,80,Marienfelde
2012-06-19,,1,11,12,82,Marienfelde
2012-06-20,,1,13,14,50,Marienfelde
2012-06-21,,1,13,15,45,Marienfelde
2012-06-22,,0,7,7,64,Marienfelde
2012-06-23,,1,7,8,63,Marienfelde
2012-06-24,,1,5,6,70,Marienfelde
2012-06-25,,0,4,4,71,Marienfelde
2012-06-26,,1,5,5,72,Marienfelde
2012-06-27,,1,11,12,54,Marienfelde
2012-06-28,,1,9,11,46,Marienfelde
2012-06-29,,1,10,11,72,Marienfelde
2012-06-30,,0,8,8,77,Marienfelde
2012-07-01,,0,5,5,75,Marienfelde
2012-07-02,,2,12,14,61,Marienfelde
2012-07-03,,2,17,20,39,Marienfelde
2012-07-04,,3,16,20,57,Marienfelde
2012-07-05,,1,12,14,58,Marienfelde
2012-07-06,,0,6,7,76,Marienfelde
2012-07-07,,0,10,11,56,Marienfelde
2012-07-08,,0,5,5,56,Marienfelde
2012-07-09,,0,6,6,61,Marienfelde
2012-07-10,,0,9,10,67,Marienfelde
2012-07-11,,1,11,12,55,Marienfelde
2012-07-12,,1,9,10,48,Marienfelde
2012-07-13,,2,7,11,36,Marienfelde
2012-07-14,,1,5,6,53,Marienfelde
2012-07-15,,0,5,5,50,Marienfelde
2012-07-16,,1,8,9,51,Marienfelde
2012-07-17,,1,7,8,43,Marienfelde
2012-07-18,,1,10,11,33,Marienfelde
2012-07-19,,1,7,8,51,Marienfelde
2012-07-20,,0,5,5,64,Marienfelde
2012-07-21,,0,6,6,50,Marienfelde
2012-07-22,,0,6,6,50,Marienfelde
2012-07-23,,3,13,17,55,Marienfelde
2012-07-24,,1,17,19,79,Marienfelde
2012-07-25,,1,18,19,95,Marienfelde
2012-07-26,,2,21,24,93,Marienfelde
2012-07-27,,1,16,17,107,Marienfelde
2012-07-28,,0,9,8,93,Marienfelde
2012-07-29,,1,6,7,71,Marienfelde
2012-07-30,,1,8,10,58,Marienfelde
2012-07-31,,1,14,16,56,Marienfelde
2012-08-01,,1,15,17,74,Marienfelde
2012-08-02,,1,18,20,80,Marienfelde
2012-08-03,,2,20,22,40,Marienfelde
2012-08-04,,1,10,11,69,Marienfelde
2012-08-05,,1,11,12,43,Marienfelde
2012-08-06,,1,10,11,54,Marienfelde
2012-08-07,,0,7,8,66,Marienfelde
2012-08-08,,0,8,9,61,Marienfelde
2012-08-09,,1,8,10,49,Marienfelde
2012-08-10,,1,8,9,49,Marienfelde
2012-08-11,,0,10,11,50,Marienfelde
2012-08-12,,0,9,9,53,Marienfelde
2012-08-13,,2,15,17,45,Marienfelde
2012-08-14,,3,13,17,51,Marienfelde
2012-08-15,,2,14,17,,Marienfelde
2012-08-16,,2,14,16,,Marienfelde
2012-08-17,,2,15,18,49,Marienfelde
2012-08-18,,0,11,12,69,Marienfelde
2012-08-19,,0,8,9,91,Marienfelde
2012-08-20,,1,20,22,99,Marienfelde
2012-08-21,,1,13,15,83,Marienfelde
2012-08-22,,1,12,13,74,Marienfelde
2012-08-23,,2,16,18,60,Marienfelde
2012-08-24,,2,29,32,31,Marienfelde
2012-08-25,,1,10,12,54,Marienfelde
2012-08-26,,1,4,6,59,Marienfelde
2012-08-27,,1,8,10,61,Marienfelde
2012-08-28,,1,19,21,55,Marienfelde
2012-08-29,,5,22,30,56,Marienfelde
2012-08-30,,1,15,17,54,Marienfelde
2012-08-31,,1,15,16,39,Marienfelde
2012-09-01,,0,8,8,51,Marienfelde
2012-09-02,,1,14,16,41,Marienfelde
2012-09-03,,4,21,27,47,Marienfelde
2012-09-04,,12,19,38,38,Marienfelde
2012-09-05,,7,21,31,37,Marienfelde
2012-09-06,,2,11,14,61,Marienfelde
2012-09-07,,2,21,23,49,Marienfelde
2012-09-08,,0,7,8,35,Marienfelde
2012-09-09,,1,8,9,37,Marienfelde
2012-09-10,,2,17,21,67,Marienfelde
2012-09-11,,1,10,11,87,Marienfelde
2012-09-12,,1,11,12,53,Marienfelde
2012-09-13,,4,17,23,40,Marienfelde
2012-09-14,,1,12,14,51,Marienfelde
2012-09-15,,1,5,6,46,Marienfelde
2012-09-16,,1,8,9,50,Marienfelde
2012-09-17,,1,16,17,54,Marienfelde
2012-09-18,,4,18,24,51,Marienfelde
2012-09-19,,1,10,12,43,Marienfelde
2012-09-20,,3,15,20,32,Marienfelde
2012-09-21,,1,14,16,42,Marienfelde
2012-09-22,,1,10,11,45,Marienfelde
2012-09-23,,0,9,9,44,Marienfelde
2012-09-24,,0,14,14,46,Marienfelde
2012-09-25,,1,9,10,56,Marienfelde
2012-09-26,,1,18,19,39,Marienfelde
2012-09-27,,0,11,11,51,Marienfelde
2012-09-28,,1,13,14,51,Marienfelde
2012-09-29,,1,10,11,49,Marienfelde
2012-09-30,,0,9,10,49,Marienfelde
2012-10-01,,5,26,33,26,Marienfelde
2012-10-02,,5,20,28,38,Marienfelde
2012-10-03,,1,9,10,55,Marienfelde
2012-10-04,,1,9,10,54,Marienfelde
2012-10-05,,1,10,12,42,Marienfelde
2012-10-06,,1,7,8,47,Marienfelde
2012-10-07,,1,5,7,45,Marienfelde
2012-10-08,,1,13,14,43,Marienfelde
2012-10-09,,5,13,20,41,Marienfelde
2012-10-10,,7,18,29,32,Marienfelde
2012-10-11,,4,20,25,26,Marienfelde
2012-10-12,,7,19,30,23,Marienfelde
2012-10-13,,1,10,12,39,Marienfelde
2012-10-14,,1,9,10,42,Marienfelde
2012-10-15,,2,17,20,18,Marienfelde
2012-10-16,,2,14,16,27,Marienfelde
2012-10-17,,1,14,16,30,Marienfelde
2012-10-18,,2,16,18,30,Marienfelde
2012-10-19,,3,25,30,22,Marienfelde
2012-10-20,,8,22,34,11,Marienfelde
2012-10-21,,13,17,36,26,Marienfelde
2012-10-22,,2,16,19,30,Marienfelde
2012-10-23,,3,21,25,14,Marienfelde
2012-10-24,,6,22,31,15,Marienfelde
2012-10-25,,2,11,14,46,Marienfelde
2012-10-26,,4,22,28,44,Marienfelde
2012-10-27,,1,16,18,44,Marienfelde
2012-10-28,,4,20,26,29,Marienfelde
2012-10-29,,13,20,40,26,Marienfelde
2012-10-30,,5,22,29,14,Marienfelde
2012-10-31,,4,18,24,17,Marienfelde
2012-11-01,,4,20,25,22,Marienfelde
2012-11-02,,1,10,11,44,Marienfelde
2012-11-03,,0,8,8,46,Marienfelde
2012-11-04,,0,8,8,43,Marienfelde
2012-11-05,,1,14,14,39,Marienfelde
2012-11-06,,1,12,13,46,Marienfelde
2012-11-07,,0,12,13,46,Marienfelde
2012-11-08,,1,14,15,39,Marienfelde
2012-11-09,,1,19,20,28,Marienfelde
2012-11-10,,1,13,14,26,Marienfelde
2012-11-11,,1,11,13,26,Marienfelde
2012-11-12,,3,25,31,18,Marienfelde
2012-11-13,,5,29,37,12,Marienfelde
2012-11-14,,16,35,59,7,Marienfelde
2012-11-15,,19,34,62,3,Marienfelde
2012-11-16,,10,27,43,3,Marienfelde
2012-11-17,,5,16,23,10,Marienfelde
2012-11-18,,4,18,25,5,Marienfelde
2012-11-19,,8,24,37,6,Marienfelde
2012-11-20,,10,23,38,6,Marienfelde
2012-11-21,,2,22,26,10,Marienfelde
2012-11-22,,3,25,29,15,Marienfelde
2012-11-23,,11,26,43,5,Marienfelde
2012-11-24,,5,23,30,5,Marienfelde
2012-11-25,,1,12,13,27,Marienfelde
2012-11-26,,2,20,22,30,Marienfelde
2012-11-27,,9,23,38,8,Marienfelde
2012-11-28,,27,47,88,5,Marienfelde
2012-11-29,,2,22,24,17,Marienfelde
2012-11-30,,1,16,19,14,Marienfelde
2012-12-01,,2,21,24,12,Marienfelde
2012-12-02,,3,18,22,13,Marienfelde
2012-12-03,,1,17,18,30,Marienfelde
2012-12-04,,1,17,18,34,Marienfelde
2012-12-05,,2,19,23,34,Marienfelde
2012-12-06,,4,25,31,20,Marienfelde
2012-12-07,,11,36,53,9,Marienfelde
2012-12-08,,20,39,70,4,Marienfelde
2012-12-09,,1,25,27,24,Marienfelde
2012-12-10,,5,29,36,17,Marienfelde
2012-12-11,,1,19,20,41,Marienfelde
2012-12-12,,8,34,47,20,Marienfelde
2012-12-13,,10,40,55,6,Marienfelde
2012-12-14,,1,27,29,30,Marienfelde
2012-12-15,,1,20,21,33,Marienfelde
2012-12-16,,1,15,16,30,Marienfelde
2012-12-17,,11,34,50,9,Marienfelde
2012-12-18,,28,33,75,2,Marienfelde
2012-12-19,,28,32,74,2,Marienfelde
2012-12-20,,14,25,47,11,Marienfelde
2012-12-21,,9,24,37,18,Marienfelde
2012-12-22,,3,21,26,17,Marienfelde
2012-12-23,,5,32,39,7,Marienfelde
2012-12-24,,0,9,10,41,Marienfelde
2012-12-25,,1,7,8,47,Marienfelde
2012-12-26,,0,6,6,51,Marienfelde
2012-12-27,,0,10,11,55,Marienfelde
2012-12-28,,1,13,14,51,Marienfelde
2012-12-29,,1,10,12,39,Marienfelde
2012-12-30,,0,7,7,54,Marienfelde
2012-12-31,,0,5,5,64,Marienfelde
2013-01-01,,0,6,6,57,Marienfelde
2013-01-02,,0,11,12,51,Marienfelde
2013-01-03,,0,11,11,40,Marienfelde
2013-01-04,,0,8,8,53,Marienfelde
2013-01-05,,0,15,15,48,Marienfelde
2013-01-06,,1,9,10,42,Marienfelde
2013-01-07,,1,14,15,27,Marienfelde
2013-01-08,,2,21,24,8,Marienfelde
2013-01-09,,3,24,29,9,Marienfelde
2013-01-10,,1,12,13,56,Marienfelde
2013-01-11,,1,11,13,43,Marienfelde
2013-01-12,,1,16,17,31,Marienfelde
2013-01-13,,1,13,14,31,Marienfelde
2013-01-14,,4,24,30,16,Marienfelde
2013-01-15,,4,29,36,10,Marienfelde
2013-01-16,,3,34,39,15,Marienfelde
2013-01-17,,1,25,26,38,Marienfelde
2013-01-18,,5,19,26,50,Marienfelde
2013-01-19,,0,12,13,55,Marienfelde
2013-01-20,,0,13,13,51,Marienfelde
2013-01-21,,1,16,18,56,Marienfelde
